Collection,Color Story,Product Name,SKU,Dimensions,Material,Finish/Frame Finish,Notes,Image Filename,Image URL,Image Available,Finish Image Filename,Finish Image Available
Fire Tables,Fire Tables,"41"" Round Fire Table",SW6003-FT41R,"41"" Round x 17"" H",GFRC/Concrete,,Requires external propane tank storage,SW6003-FT41R.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_FT41R_silo_image_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"40"" Square Fire Table",SW6003-FT4040,"40"" W x 40"" D x 17"" H",GFRC/Concrete,,Requires external propane tank storage,SW6003-FT4040.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_FT4040_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,Rectangular Fire Table,SW6003-FT6030,"60"" W x 30"" D x 17"" H",GFRC/Concrete,,Requires external propane tank storage,SW6003-FT6030.jpg,"https://hookerfurnishings.com/media/catalog/product/B/a/Bazaar_Gravelstone_Rectangular_Fire_Table_6003_FT6030.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,Concrete Fire Bowl,SW6003-FT41BWL,"41"" W x 41"" D x 17"" H",Concrete,,Requires external propane tank storage,SW6003-FT41BWL.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_FT41BWL_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"Optional Glass Surround (23"" Round)",SW6003-G23R,"23"" W x 23"" D x 7"" H",Glass,,Optional accessory for fire tables,SW6003-G23R.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_G23R_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"Optional Glass Surround (28"" Square)",SW6003-G2828,"28"" W x 28"" D x 6"" H",Glass,,Optional accessory for fire tables,SW6003-G2828.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_G2828_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"Optional Glass Surround (48"" x 15"")",SW6003-G4815,"48"" W x 15"" D x 6"" H",Glass,,Optional accessory for fire tables,,,No,,No
Fire Tables,Fire Tables,"20"" Square Tank Cover/End Table - Dark Grey GFRC",SW6003-DTC,"20"" W x 20"" D x 20"" H",GFRC,Dark Grey GFRC,,SW6003-DTC.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_DTC_silo_image_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,Dark Grey GFRC.png,Yes
Fire Tables,Fire Tables,"20"" Square Tank Cover/End Table - Bone GFRC",SW6203-FBTC,"20"" W x 20"" D x 20"" H",GFRC,Bone GFRC,,SW6203-FBTC.jpg,"https://hookerfurnishings.com/media/catalog/product/6/2/6203_FBTC_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"20"" Square Tank Cover/End Table",SW6003-TC,"20"" W x 20"" D x 20"" H",Concrete,,,SW6003-TC.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_TC_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
Fire Tables,Fire Tables,"20"" Round Tank Cover/End Table",SW6003-RTC,"20"" Round x 20"" H",Concrete,,,SW6003-RTC.jpg,"https://hookerfurnishings.com/media/catalog/product/6/0/6003_RTC_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Sand Armless Club Chair,SW4922-21,"28"" W x 30"" D x 37"" H",Aluminum/Rope,,,SW4922-21.jpg,"https://hookerfurnishings.com/media/catalog/product/4/9/4922_21_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Marino Armless Club Chair,SW4701-21,"28"" W x 30"" D x 37"" H",Aluminum/Rope,,,SW4701-21.jpg,"https://hookerfurnishings.com/media/catalog/product/4/7/4701_21_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Miami Armless Club Chair,SW4402-21,"28"" W x 30"" D x 37"" H",Aluminum/Rope,,,SW4402-21.jpg,"https://hookerfurnishings.com/media/catalog/product/4/4/4402_21_silo_image_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Milano Armless Club Chair,SW4102-21,"28"" W x 30"" D x 37"" H",Aluminum/Rope,,,SW4102-21.jpg,"https://hookerfurnishings.com/media/catalog/product/4/1/4102_21_silo_image_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Bahia Highback Accent Chair,SW4902-21HB,"29"" W x 29.5"" D x 40"" H",Aluminum/Rope,,Cushionless,SW4902-21HB.jpg,"https://hookerfurnishings.com/media/catalog/product/4/9/4902_21HB_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Bahia Accent Chair,SW4902-21A,"29"" W x 25"" D x 27"" H",Aluminum/Rope,,Cushionless,SW4902-21A.jpg,"https://hookerfurnishings.com/media/catalog/product/4/9/4902_21A_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Bahia Barstool,SW4902-7B,"20"" W x 23"" D x 41"" H",Aluminum/Rope,,Cushionless,SW4902-7B.jpg,"https://hookerfurnishings.com/media/catalog/product/4/9/4902_7B_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Bahia Armless Dining Chair,SW4902-1A,"20"" W x 23"" D x 34"" H",Aluminum/Rope,,Cushionless,SW4902-1A.jpg,"https://hookerfurnishings.com/media/catalog/product/4/9/4902_1A_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Grigio Highback Accent Chair,SW4602-21HB,"29"" W x 29.5"" D x 40"" H",Aluminum/Rope,,Cushionless,SW4602-21HB.jpg,"https://hookerfurnishings.com/media/catalog/product/4/6/4602_21HB_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Grigio Accent Chair,SW4602-21A,"29"" W x 25"" D x 27"" H",Aluminum/Rope,,Cushionless,SW4602-21A.jpg,"https://hookerfurnishings.com/media/catalog/product/4/6/4602_21a_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Grigio Barstool,SW4602-7B,"20"" W x 23"" D x 41"" H",Aluminum/Rope,,Cushionless,SW4602-7B.jpg,"https://hookerfurnishings.com/media/catalog/product/x/h/xh968vikd2ahnonyymvy.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Grigio Armless Dining Chair,SW4602-1A,"20"" W x 23"" D x 34"" H",Aluminum/Rope,,Cushionless,SW4602-1A.jpg,"https://hookerfurnishings.com/media/catalog/product/4/6/4602_1A_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"18"" Round Pouf",SWPOUF18R-CSH,"18"" W x 18"" D x 18"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF18R-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_CO36R_silo_image_1_2.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"36"" Round Pouf",SWPOUF-CO36R-CSH,"36"" Round x 18"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF-CO36R-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_CO36R_silo_image_1_2.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"42"" Round Pouf",SWPOUF-CO42R-CSH,"42"" Round x 18"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF-CO42R-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_CO42R_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"18"" Cube Pouf",SWPOUF18C-CSH,"18"" W x 18"" D x 18"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF18C-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_18C_silo_image_1_2.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"24"" x 48"" Rectangle Pouf",SWPOUF-CO2448-CSH,"24"" W x 48"" D x 18"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF-CO2448-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_CO2448_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"48"" Square Pouf",SWPOUF-CO48SQ-CSH,"48"" W x 48"" D x 19"" H",All-Weather Fabric,,"Waterproof, all-weather",SWPOUF-CO48SQ-CSH.jpg,"https://hookerfurnishings.com/media/catalog/product/P/O/POUF_CO48SQ_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,"Throw Pillow 18""",SWPILLOW-18,"18"" x 18""",All-Weather Fabric,,Custom throw pillow,,,No,,No
The Bazaar,The Bazaar,"Throw Pillow 20""",SWPILLOW-20,"20"" x 20""",All-Weather Fabric,,Custom throw pillow,,,No,,No
The Bazaar,The Bazaar,"Throw Pillow 22""",SWPILLOW-22,"22"" x 22""",All-Weather Fabric,,Custom throw pillow,,,No,,No
The Bazaar,The Bazaar,"Throw Pillow 24""",SWPILLOW-24,"24"" x 24""",All-Weather Fabric,,Custom throw pillow,,,No,,No
The Bazaar,The Bazaar,"Lumbar Pillow 9x22""",SWLUMBAR-9X22,"9"" x 22""",All-Weather Fabric,,Custom throw pillow,,,No,,No
The Bazaar,The Bazaar,Dune Coffee Table,SW7207-CT,"44"" Round x 18"" H",Mixed Materials,,,SW7207-CT.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7207_CT_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Dune End Table,SW7207-ET,"21"" Round x 22"" H",Mixed Materials,,,SW7207-ET.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7207_ET_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Trellis Coffee Table,SW7206-CT,"40"" Round x 18"" H",Mixed Materials,,,SW7206-CT.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7206_CT_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Trellis End Table,SW7206-ET,"21"" Round x 21"" H",Mixed Materials,,,SW7206-ET.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7206_ET_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,,No
The Bazaar,The Bazaar,Travertino Coffee Table,SW7208-CT,"41"" Round x 20"" H",Stone,Travertino,,SW7208-CT.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7208_CT_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,Travertino.png,Yes
The Bazaar,The Bazaar,Travertino End Table,SW7208-ET,"21"" Round x 21"" H",Stone,Travertino,,SW7208-ET.jpg,"https://hookerfurnishings.com/media/catalog/product/7/2/7208_ET_silo_image_1_1.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=&width=",Yes,Travertino.png,Yes
