Product Category,Product Name,SKU,Size,MSRP,Sale Price
OUTDOOR RUG - PLATINUM,Paradise Cove - Spa,RP-004-470-80,"7'10"" x 10'",$722,$542
OUTDOOR RUG - PLATINUM,Paradise Cove - Spa,RP-004-470-35,"5'3"" x 7'4""",$358,$269
OUTDOOR RUG - PLATINUM,Desert Sunset - Orange,RP-001-910-80,"7'10"" x 10'",$722,$542
OUTDOOR RUG - PLATINUM,Desert Sunset - Orange,RP-001-910-35,"5'3"" x 7'4""",$358,$269
OUTDOOR RUG - PLATINUM,Illusion - Black Mirage,RP-505-360-80,"7'10"" x 10'",$722,$542
OUTDOOR RUG - PLATINUM,Illusion - Black Mirage,RP-505-360-35,"5'3"" x 7'4""",$358,$269
OUTDOOR RUG - PLATINUM,Trellis - Stone Grey,RP-008-350-80,"7'10"" x 10'",$722,$542
OUTDOOR RUG - PLATINUM,Trellis - Stone Grey,RP-008-350-35,"5'3"" x 7'4""",$358,$269
OUTDOOR RUG - GOLD,Reflections - Ocean Blue,RG-334-369-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,Reflections - Ocean Blue,RG-334-369-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,North Shore - Sky Blue,RG-097-365-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,North Shore - Sky Blue,RG-097-365-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,Seaside Harbor - Blue,RG-253-099-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,Seaside Harbor - Blue,RG-253-099-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,South Beach - Spectrum,RG-533-050-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,South Beach - Spectrum,RG-533-050-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,Prism - Taupe,RG-252-560-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,Prism - Taupe,RG-252-560-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,Canyon - Taupe,RG-203-651-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,Canyon - Taupe,RG-203-651-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,Sand Dune - Beige,RG-204-651-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,Sand Dune - Beige,RG-204-651-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - GOLD,North Shore - Pebble,RG-097-965-80,"7'10"" x 10'",$623,$468
OUTDOOR RUG - GOLD,North Shore - Pebble,RG-097-965-35,"5'3"" x 7'4""",$314,$236
OUTDOOR RUG - SILVER,Serenity Stripe - Linen,RS-511-061-80,"7'10"" x 10'",$468,$351
OUTDOOR RUG - SILVER,Serenity Stripe - Linen,RS-511-061-35,"5'3"" x 7'4""",$242,$182
OUTDOOR RUG - SILVER,Athens - Silver,RS-607-637-80,"7'10"" x 10'",$468,$351
OUTDOOR RUG - SILVER,Athens - Silver,RS-607-637-35,"5'3"" x 7'4""",$242,$182
OUTDOOR RUG - SILVER,Urban Hex - Black,RS-721-690-80,"7'10"" x 10'",$468,$351
OUTDOOR RUG - SILVER,Urban Hex - Black,RS-721-690-35,"5'3"" x 7'4""",$242,$182
PROTECTIVE COVER - DINING TABLE,"30"" Bistro Table & Chairs",PFC530,,$104,$78
PROTECTIVE COVER - DINING TABLE,"36"" Round/Square Bistro Table & Chairs",PFC536,,$129,$97
PROTECTIVE COVER - DINING TABLE,"48"" Round/Square Table & Chairs",PFC551,,$179,$135
PROTECTIVE COVER - DINING TABLE,"54"" Round/Square Table & Chairs",PFC571,,$197,$148
PROTECTIVE COVER - DINING TABLE,"60"" Round/Square Table & Chairs",PFC590,,$268,$201
PROTECTIVE COVER - DINING TABLE,Small Oval/Rectangle Table & Chairs,PFC592,,$162,$122
PROTECTIVE COVER - DINING TABLE,Medium Oval/Rectangle Table & Chairs,PFC594,,$202,$152
PROTECTIVE COVER - DINING TABLE,Large Oval/Rectangle Table & Chairs,PFC596,,$252,$189
PROTECTIVE COVER - DINING TABLE,X-Large Oval/Rectangle Table & Chairs,PFC598,,$335,$252
PROTECTIVE COVER - MODULAR,Modular Right End,PFC401,,$104,$78
PROTECTIVE COVER - MODULAR,Modular Armless,PFC402,,$132,$99
PROTECTIVE COVER - MODULAR,Modular Left End,PFC403,,$104,$78
PROTECTIVE COVER - MODULAR,Modular Corner,PFC404,,$149,$112
PROTECTIVE COVER - MODULAR,Modular Extension,PFC405,,$77,$58
PROTECTIVE COVER - MODULAR,Modular Wedge Right End,PFC406-R,,$132,$99
PROTECTIVE COVER - MODULAR,Modular Wedge,PFC406-C,,$149,$112
PROTECTIVE COVER - MODULAR,Modular Wedge Left End,PFC406-L,,$132,$99
PROTECTIVE COVER - CHAIRS & CHAISES,Dining Chair,PFC115,,$68,$51
PROTECTIVE COVER - CHAIRS & CHAISES,Counter Height Chair,PFC116,,$77,$58
PROTECTIVE COVER - CHAIRS & CHAISES,Bar Height Chair,PFC117,,$78,$59
PROTECTIVE COVER - CHAIRS & CHAISES,Small Chaise,PFC119S,,$114,$86
PROTECTIVE COVER - CHAIRS & CHAISES,Large Chaise,PFC119L,,$141,$106
PROTECTIVE COVER - FIRE PIT/OTTOMAN,"Fits 36"" to 42"" Round",PFC805,,$75,$57
PROTECTIVE COVER - FIRE PIT/OTTOMAN,"Fits 48"" to 54"" Round",PFC810,,$84,$63
PROTECTIVE COVER - FIRE PIT/OTTOMAN,"Fits 19"" to 26"" Square",PFC815,,$55,$42
PROTECTIVE COVER - FIRE PIT/OTTOMAN,"Fits 42"" to 48"" Square",PFC820,,$93,$70
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Small Rectangle,PFC825,,$57,$43
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Medium Rectangle,PFC830,,$74,$56
PROTECTIVE COVER - FIRE PIT/OTTOMAN,Large Rectangle,PFC835,,$75,$57
PROTECTIVE COVER - FIRE PIT/OTTOMAN,X-Large Rectangle,PFC840,,$93,$70
PROTECTIVE COVER - UMBRELLA,Umbrella,PFC901,,$46,$35
PROTECTIVE COVER - UMBRELLA,Large Umbrella,PFC902,,$52,$39
PROTECTIVE COVER - UMBRELLA,X-Large Umbrella,PFC910,,$74,$56
PROTECTIVE COVER - UMBRELLA,Cantilever style,PFC912,,$74,$56
PROTECTIVE COVER - UMBRELLA,Large Cantilever style,PFC955,,$83,$63
PROTECTIVE COVER - UMBRELLA,X-Large Cantilever style,PFC920,,$91,$69
PROTECTIVE COVER - DEEP SEATING,Lounge Chair,PFC711,,$92,$69
PROTECTIVE COVER - DEEP SEATING,Large Lounge Chair,PFC712,,$109,$82
PROTECTIVE COVER - DEEP SEATING,X-Large Lounge Chair,PFC741,,$115,$87
PROTECTIVE COVER - DEEP SEATING,Loveseat,PFC720,,$102,$77
PROTECTIVE COVER - DEEP SEATING,Large Loveseat,PFC722,,$140,$105
PROTECTIVE COVER - DEEP SEATING,X-Large Loveseat,PFC742,,$168,$126
PROTECTIVE COVER - DEEP SEATING,Sofa,PFC723,,$157,$118
PROTECTIVE COVER - DEEP SEATING,Large Sofa,PFC733,,$180,$135
PROTECTIVE COVER - DEEP SEATING,X-Large Sofa,PFC743,,$194,$146
PROTECTIVE COVER - DEEP SEATING,Curved Sofa,PFC753,,$181,$136
