SKU,Product_Name,MSRP,Sale_Price
AKZP13LX,13' Starlux AKZ Plus Cantilever,3605.0,2703.75
AKZPRTLX,10'x13' Starlux AKZ Plus Cantilever,3600.0,2700.0
AKZP13_SSWO,13' AKZ Plus Cantilever - Silver Shadow/Weathered Oak,3240.0,2430.0
AKZP13_00,13' AKZ Plus Cantilever - Bronze/Anthracite/Black,3085.0,2313.75
AKZPRT_SSWO,10'x13' AKZ Plus Cantilever - Silver Shadow/Weathered Oak,3235.0,2426.25
AKZPRT_00,10'x13' AKZ Plus Cantilever - Bronze/Anthracite/Black,3080.0,2310.0
AKZPSQ11,11.5'x11.5' AKZ Plus Cantilever,3015.0,2261.25
AKZP,11' AKZ Plus Cantilever,2795.0,2096.25
AG25TR,11.5' AG25T Cantilever,2345.0,1758.75
AG25TSQR,10'x10' AG25TSQ Cantilever,2245.0,1683.75
AG25TR10,10' AG25T Cantilever,2160.0,1620.0
P-AKZPBATTERY,AKZP Battery,448.0,336.0
BASE-13R-_,AKZ13 Rolling Base,1380.0,1035.0
BASE-13-_,AKZ13 Base,600.0,450.0
BASE-AKZ-_,AKZ Base,325.0,243.75
AMK-C22,Concrete Mount Kit - Cantilever,245.0,183.75
AMK-G,In-Ground Mount Kit - Cantilever,190.0,142.5
AMK-W,Wood Mount Kit - Cantilever,155.0,116.25
ET3RT,10'x13' Easy Track Specialty,2250.0,1687.5
ET310,10' Easy Track Specialty,1420.0,1065.0
USA45-09,10' Shanghai Collar Tilt,1120.0,840.0
UM851,11' Twist Market Umbrella,1195.0,896.25
UM850,9' Twist Market Umbrella,875.0,656.25
UM800LX,9' Starlux Collar Tilt Market Umbrella,1310.0,982.5
UM801,11' Collar Tilt Market Umbrella,1180.0,885.0
UM800,9' Collar Tilt Market Umbrella,825.0,618.75
UM841_SS,11' Flex Market Umbrella - Silver Shadow,1095.0,821.25
UM841_00,11' Flex Market Umbrella - Bronze/Black,1045.0,783.75
UM840_SS,9' Flex Market Umbrella - Silver Shadow,760.0,570.0
UM840_00,9' Flex Market Umbrella - Bronze/Black,745.0,558.75
UM847SQ_SS,7.5'x7.5' Flex Market Umbrella - Silver Shadow,720.0,540.0
UM847SQ_00,7.5'x7.5' Flex Market Umbrella - Bronze/Black,700.0,525.0
UM812,11' Auto Tilt Market Umbrella,1015.0,761.25
UM810_SSWO,9' Auto Tilt Market Umbrella - Silver Shadow/Weathered Oak,775.0,581.25
UM810_00,9' Auto Tilt Market Umbrella - Bronze/Anthracite/White/Black,720.0,540.0
UM8810RT,8'x10' Auto Tilt Market Umbrella,875.0,656.25
UM977,7.5' Glide Tilt Market Umbrella,495.0,371.25
UM920,9' Push Button Tilt Market Umbrella,565.0,423.75
UM907,7.5' Push Button Tilt Market Umbrella,425.0,318.75
UM809-1H,9' Quad Pulley Lift Wood Market Umbrella,570.0,427.5
V_CANT_A,Designer Canopy Valance Standard - Cantilever Grade A,200.0,150.0
V_CANT_C,Designer Canopy Valance Standard - Cantilever Grade C,130.0,97.5
DC9_A,Designer Canopy Top Vent & Valance Accent - Cantilever Grade A,305.0,228.75
DC9_C,Designer Canopy Top Vent & Valance Accent - Cantilever Grade C,235.0,176.25
DC11_A,Designer Canopy Sandwich - Cantilever Grade A,105.0,78.75
DC4_A,Designer Canopy Sandwich - Market Grade A,105.0,78.75
DC5_C,Designer Canopy Three Fabrics - Market Grade C,105.0,78.75
DC21_AWN,Designer Canopy Trim Accent - Market Sunbrella Awning,200.0,150.0
DC21_A,Designer Canopy Trim Accent - Market Grade A,180.0,135.0
DC22_C,Designer Canopy Top Vent & Trim Accent - Market Grade C,160.0,120.0
V_MKT_AWN,Designer Valance Standard - 9' Market Sunbrella Awning,255.0,191.25
V_MKT_A,Designer Valance Standard - 9' Market Grade A,155.0,116.25
V_MKT_C,Designer Valance Standard - 9' Market Grade C,95.0,71.25
VR_AWN,Designer Valance Scallops Roman - Sunbrella Awning,300.0,225.0
VR_A,Designer Valance Scallops Roman - Grade A,270.0,202.5
VR_C,Designer Valance Scallops Roman - Grade C,210.0,157.5
VT_AWN,Designer Valance Wave With Trim - Sunbrella Awning,375.0,281.25
VT_A,Designer Valance Wave With Trim - Grade A,325.0,243.75
VT_C,Designer Valance Wave With Trim - Grade C,255.0,191.25
F_AWN,"Designer Valance Fringe 6"" - Sunbrella Awning",680.0,510.0
B1_B2_B3_B4_AWN,Designer Accent Binding Options B1/B2/B3/B4 - Sunbrella Awning,140.0,105.0
BA150,Commercial Base 150 lbs,785.0,588.75
BSK120,Steel Base 120 lbs,660.0,495.0
BTT100,Athens Base 108 lbs,870.0,652.5
BRW100,Aurora Base 100 lbs,655.0,491.25
BKM100,Monaco Round Base 100 lbs,620.0,465.0
BKMSQ100,Monaco Square Base 100 lbs,620.0,465.0
BG50,Garden Base 50 lbs,310.0,232.5
BA50,Art Deco Base 50 lbs,300.0,225.0
BW50,Classic Base 50 lbs,190.0,142.5
BS70-2.0,Steel Base 70 lbs,355.0,266.25
BS359,Steel Base 35 lbs,160.0,120.0
BW30,Add-On Weight 30 lbs,105.0,78.75
BT2,"Aluminum Stem for 2"" Poles - Cast Aluminum Bases",80.0,60.0
BT218,"Aluminum Stem for 2"" Poles - BW50 Series",80.0,60.0
ZB115,Z-Plate 115 lbs,735.0,551.25
ZBWH-SM,Add-On Wheels for ZB115 Set of 4,50.0,37.5
MKC23,Concrete Mount Kit - Market,240.0,180.0
MKG23,In-Ground Mount Kit - Market,180.0,135.0
MKW21,Wood Deck Mount Kit - Market,150.0,112.5
MKSB21,External Stem - Market,75.0,56.25
EVO,EVO Umbrella Light,475.0,356.25
LUNAPRO,Luna Pro Umbrella Light,300.0,225.0
HALO,Halo Umbrella Light,160.0,120.0
RP-004-470-80,Paradise Cove Spa Platinum Rug 8'x10',722.0,541.5
RP-004-470-35,"Paradise Cove Spa Platinum Rug 3'5""x5'",358.0,268.5
RP-001-910-80,Desert Sunset Orange Platinum Rug 8'x10',722.0,541.5
RP-001-910-35,"Desert Sunset Orange Platinum Rug 3'5""x5'",358.0,268.5
RP-505-360-80,Illusion Black Mirage Platinum Rug 8'x10',722.0,541.5
RP-505-360-35,"Illusion Black Mirage Platinum Rug 3'5""x5'",358.0,268.5
RP-008-350-80,Trellis Stone Grey Platinum Rug 8'x10',722.0,541.5
RP-008-350-35,"Trellis Stone Grey Platinum Rug 3'5""x5'",358.0,268.5
RG-334-369-80,Reflections Ocean Blue Gold Rug 8'x10',623.0,467.25
RG-334-369-35,"Reflections Ocean Blue Gold Rug 3'5""x5'",314.0,235.5
RG-097-365-80,North Shore Sky Blue Gold Rug 8'x10',623.0,467.25
RG-097-365-35,"North Shore Sky Blue Gold Rug 3'5""x5'",314.0,235.5
RG-253-099-80,Seaside Harbor Blue Gold Rug 8'x10',623.0,467.25
RG-253-099-35,"Seaside Harbor Blue Gold Rug 3'5""x5'",314.0,235.5
RG-533-050-80,South Beach Spectrum Gold Rug 8'x10',623.0,467.25
RG-533-050-35,"South Beach Spectrum Gold Rug 3'5""x5'",314.0,235.5
RG-252-560-80,Prism Taupe Gold Rug 8'x10',623.0,467.25
RG-252-560-35,"Prism Taupe Gold Rug 3'5""x5'",314.0,235.5
RG-203-651-80,Canyon Taupe Gold Rug 8'x10',623.0,467.25
RG-203-651-35,"Canyon Taupe Gold Rug 3'5""x5'",314.0,235.5
RG-204-651-80,Sand Dune Beige Gold Rug 8'x10',623.0,467.25
RG-204-651-35,"Sand Dune Beige Gold Rug 3'5""x5'",314.0,235.5
RG-097-965-80,North Shore Pebble Gold Rug 8'x10',623.0,467.25
RG-097-965-35,"North Shore Pebble Gold Rug 3'5""x5'",314.0,235.5
RS-511-061-80,Serenity Stripe Linen Silver Rug 8'x10',468.0,351.0
