Finish Color Name,Finish Code,Product Name,Product SKU
Bronze,00,13' Starlux AKZ Plus Cantilever,AKZP13LX
Bronze,00,10'x13' Starlux AKZ Plus Cantilever,AKZPRTLX
Bronze,00,13' AKZ Plus Cantilever,AKZP13
Bronze,00,10'x13' AKZ Plus Cantilever,AKZPRT
Bronze,00,11.5' AKZ Plus Square Cantilever,AKZPSQ11
Bronze,00,11' AKZ Plus Cantilever,AKZP
Bronze,00,11.5' AG25T Cantilever,AG25TR
Bronze,00,10' AG25TSQ Cantilever,AG25TSQR
Bronze,00,10' AG25T Cantilever,AG25TR10
Bronze,00,AKZ13 Rolling Base (Cantilever),BASE-13R
Bronze,00,AKZ13 Base (Cantilever),BASE-13
Bronze,00,AKZ Base (Cantilever),BASE-AKZ
Bronze,00,10'x13' Easy Track Specialty Umbrella,ET3RT
Bronze,00,10' Easy Track Specialty Umbrella,ET310
Bronze,00,9' Starlux Collar Tilt Market Umbrella,UM800LX
Bronze,00,11' Collar Tilt Market Umbrella,UM801
Bronze,00,9' Collar Tilt Market Umbrella,UM800
Bronze,00,11' FLEX Market Umbrella,UM841
Bronze,00,9' FLEX Market Umbrella,UM840
Bronze,00,7.5' FLEX Square Market Umbrella,UM847SQ
Bronze,00,11' Auto Tilt Market Umbrella,UM812
Bronze,00,9' Auto Tilt Market Umbrella,UM810
Bronze,00,8'x10' Auto Tilt Market Umbrella,UM8810RT
Bronze,00,9' Glide Tilt Market Umbrella,UM970
Bronze,00,7.5' Glide Tilt Market Umbrella,UM977
Bronze,00,9' Push Button Tilt Market Umbrella,UM920
Bronze,00,7.5' Push Button Tilt Market Umbrella,UM907
Bronze,00,BA150 Commercial Cast Aluminum Base (150 lbs),BA1500
Bronze,00,BSK120 Steel Base with Casters (120 lbs),BSK1200
Bronze,00,BKM100 Monaco Round Base with Wheels (100 lbs),BKM1000
Bronze,00,BKMSQ100 Monaco Square Base with Wheels (100 lbs),BKMSQ1000
Bronze,00,BG50 Garden Cast Aluminum Base (50 lbs),BG500
Bronze,00,BA50 Art Deco Cast Aluminum Base (50 lbs),BA500
Bronze,00,BW50 Classic Cast Iron Base (50 lbs),BW500
Bronze,00,BS70_-2.0 Steel Base (70 lbs),BS700-2.0
Bronze,00,Luna Pro Umbrella Light with Bluetooth Speaker,LUNAPRO-00
Bronze,00,Halo Umbrella Light,HALO-00
Bronze,00,"Aluminum Stem for 2"" Poles (Cast Aluminum Bases)",BT2-00
Bronze,00,"Aluminum Stem for 2"" Poles (BW50 Classic Base)",BT2180
Bronze,00,Frame Touch-Up Paint,TOUCHUP-BRZ20
Anthracite,02,13' AKZ Plus Cantilever,AKZP13
Anthracite,02,10'x13' AKZ Plus Cantilever,AKZPRT
Anthracite,02,11' AKZ Plus Cantilever,AKZP
Anthracite,02,AKZ13 Rolling Base (Cantilever),BASE-13R
Anthracite,02,AKZ13 Base (Cantilever),BASE-13
Anthracite,02,AKZ Base (Cantilever),BASE-AKZ
Anthracite,02,11' TWIST Market Umbrella,UM851
Anthracite,02,9' TWIST Market Umbrella,UM850
Anthracite,02,9' Collar Tilt Market Umbrella,UM800
Anthracite,02,11' Auto Tilt Market Umbrella,UM812
Anthracite,02,9' Auto Tilt Market Umbrella,UM810
Anthracite,02,8'x10' Auto Tilt Market Umbrella,UM8810RT
Anthracite,02,9' Push Button Tilt Market Umbrella,UM920
Anthracite,02,BG50 Garden Cast Aluminum Base (50 lbs),BG502
Anthracite,02,BW50 Classic Cast Iron Base (50 lbs),BW502
Anthracite,02,BS70_-2.0 Steel Base (70 lbs),BS702-2.0
Anthracite,02,"Aluminum Stem for 2"" Poles (Cast Aluminum Bases)",BT2-02
Anthracite,02,"Aluminum Stem for 2"" Poles (BW50 Classic Base)",BT2182
Anthracite,02,Frame Touch-Up Paint,TOUCHUP-ANTHR
White,03,11' TWIST Market Umbrella,UM851
White,03,9' TWIST Market Umbrella,UM850
