Finish Name,Finish Code,Finish Category,Finish Image URL,Collection,Sub-Collection,Product Name,Product SKU,Product URL
Roca,ROC,Frame Finish,https://platform.brownjordan.com/media/catalog/product/R/o/Roca_ROC_Swatch_700pxX700px_29e6.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Sky,SKY,Frame Finish,https://platform.brownjordan.com/media/catalog/product/S/k/Sky_SKY_Swatch_700pxX700px_5794.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Aged Bronze,ABR,Frame Finish,https://platform.brownjordan.com/media/catalog/product/a/g/aged_bronze_abr_finish_aluminum_patio_furniture_532_large_PDP_fd59.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Aluminum Metallic,ALM,Frame Finish,https://platform.brownjordan.com/media/catalog/product/f/r/frame_finish_aluminum_metallic_alm_PDP_e4b0.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Aragon,ARG,Frame Finish,https://platform.brownjordan.com/media/catalog/product/A/r/Aragon_ARG_Swatch_700x700_ab40.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Almond Silk,ASK,Frame Finish,https://platform.brownjordan.com/media/catalog/product/f/r/frame_finish_almond_silk_ask_PDP_32c2.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Crete,CRE,Frame Finish,https://platform.brownjordan.com/media/catalog/product/c/r/cre_swatch_tropitone_PDP_2039.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Graphite,GPH,Frame Finish,https://platform.brownjordan.com/media/catalog/product/f/r/frame_finish_gph_graphite_PDP_d1cb.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Greco,GRE,Frame Finish,https://platform.brownjordan.com/media/catalog/product/g/r/greco_gre_finish_outdoor_furniture_751_large_PDP_88bd.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Kaffee,KFF,Frame Finish,https://platform.brownjordan.com/media/catalog/product/f/r/frame_finish_kaffee_kff_700px_PDP_4a38.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Moab,MOA,Frame Finish,https://platform.brownjordan.com/media/catalog/product/m/o/moab_moa_finish_finish_752_large_PDP_90e6.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Mocha,MOC,Frame Finish,https://platform.brownjordan.com/media/catalog/product/m/o/mocha_moc_finish_aluminum_patio_tables_542_large_PDP_0e2a.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Nickel,NKL,Frame Finish,https://platform.brownjordan.com/media/catalog/product/t/r/tropitone_nkl__PDP_c8e4.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Obsidian,OBS,Frame Finish,https://platform.brownjordan.com/media/catalog/product/o/b/obsidian_obs_finish_outdoor_patio_furniture_753_large_PDP_021a.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Ocean,OCN,Frame Finish,https://platform.brownjordan.com/media/catalog/product/O/c/Ocean_OCN_Swatch_4inwX6inH_5bae.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
Parchment,PMT,Frame Finish,https://platform.brownjordan.com/media/catalog/product/f/r/frame_finish_parchment_pmt_PDP_87d5.jpg,Arzo,Cabanas,"Aluminum Cabana, 10' Square w/ Fabric Curtains & Vent",NS010A238V,https://www.tropitone.com/groups/shade/cabanas/aluminum-cabana-10-square-w-fabric-curtains-and-vent-ns010a238v
