Collection,Product Name,SKU,Height (in),Width/Diam (in),Depth/Length (in),Arm Height (in),Seat Height (in),Weight (lbs),Spec Sheet PDF URL,Source URL,SKU Flag
Anello,"Anello 42"" Round Chat Height Fire Pit",5162-42RDC,24,42,42,,,145,https://www.owlee.com/wp-content/uploads/2025/09/Casual-Fireside_Retail_SpecSheets_2026_Anello.pdf,https://www.owlee.com/collections/casual-fireside/anello-42-round-chat-height-fire-pit/,
Arc,Dining Side Chair,3433-S,36.25,20,28.25,,19.75,29,https://www.owlee.com/wp-content/uploads/2024/07/ARC_Retail_SpecSheet_3433-S-Dining-Side-Chair.pdf,https://www.owlee.com/collections/arc/dining-side-chair-aluminum-wrought-aluminum-arc/,
Basso,"36"" Rd. Chat Height Basso Fire Pit",5150-36RDC,24.5,36,36,,,,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_Basso.pdf,https://www.owlee.com/collections/casual-fireside/36-rd-chat-height-basso-fire-pit/,
Casual Fireside,"28"" x 72"" Chat Height Capri Fire Pit",5112-2872C,24,72,28,,,295,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-2872C-Capri.pdf,https://www.owlee.com/collections/capri/28x72-chat-height-capri-fire-pit/,
Casual Fireside,"28"" x 72"" Chat Height Santorini Fire Pit",5110-2872C,24,72,28,,,295,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-2872C-Santorini.pdf,https://www.owlee.com/collections/santorini/28-x-72-chat-height-santorini-fire-pit/,
Casual Fireside,"28"" x 72"" Occasional Height Capri Fire Pit",5112-2872O,19,72,28,,,293,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-2872O-Capri.pdf,https://www.owlee.com/collections/capri/28x72-occasional-height-capri-fire-pit/,
Casual Fireside,"28"" x 72"" Occasional Height Santorini Fire Pit",5110-2872O,19,72,28,,,293,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-2872O-Santorini.pdf,https://www.owlee.com/collections/santorini/28x72-occasional-height-santorini-fire-pit/,
Casual Fireside,"30"" Rd. Chat Height Capri Fire Pit",5112-30RDC,25,30,30,,,128,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-30RDC-Capri.pdf,https://www.owlee.com/collections/capri/30-rd-chat-height-capri-fire-pit/,
Casual Fireside,"30"" Rd. Chat Height Santorini Fire Pit",5110-30RDC,25,30,30,,,130,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-30RDC-Santorini.pdf,https://www.owlee.com/collections/santorini/30-rd-chat-height-santorini-fire-pit/,
Casual Fireside,"30"" x 50"" Chat Height Capri Fire Pit",5112-3050C,24,50,30,,,208,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-3050C-Capri.pdf,https://www.owlee.com/collections/capri/30x50-chat-height-capri-fire-pit/,
Casual Fireside,"30"" x 50"" Occasional Height Capri Fire Pit",5112-3050O,19,50,30,,,200,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-3050O-Capri.pdf,https://www.owlee.com/collections/capri/30x50-occasional-height-capri-fire-pit-casual-fireside-capri/,
Casual Fireside,"30x50"" Chat Height Santorini Fire Pit",5110-3050C,24,50,30,,,208,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-3050C-Santorini.pdf,https://www.owlee.com/collections/santorini/30x50-chat-height-santorini-fire-pit/,
Casual Fireside,"30x50"" Occasional Height Santorini Aluminum Fire Pit",5110-3050O,19,50,30,,,200,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-3050O-Santorini.pdf,https://www.owlee.com/collections/santorini/30x50-occasional-height-santorini-aluminum-fire-pit/,
Casual Fireside,"36"" Rd. Chat Height Capri Fire Pit",5112-36RDC,24,36,36,,,185,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-36RDC-Capri.pdf,https://www.owlee.com/collections/capri/36-rd-chat-height-capri-fire-pit/,
Casual Fireside,"36"" Rd. Chat Height Santorini Fire Pit",5110-36RDC,24,36,36,,,185,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-36RDC-Santorini.pdf,https://www.owlee.com/collections/santorini/36-rd-chat-height-santorini-fire-pit/,
Casual Fireside,"36"" x 58"" Capri Chat Height Fire Pit",5112-3658C,24,58,36,,,251,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-3658C-Capri.pdf,https://www.owlee.com/collections/capri/36-x-58-capri-chat-height-fire-pit/,
Casual Fireside,"36"" x 58"" Chat Height Santorini Fire Pit",5110-3658C,24,58,36,,,251,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-3658C-Santorini.pdf,https://www.owlee.com/collections/santorini/36-x-58-boat-chat-height-santorini-fire-pit/,
Casual Fireside,"36"" x 58"" Occasional Height Capri Fire Pit",5112-3658O,19,58,36,,,243,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5112-3658O-Capri.pdf,https://www.owlee.com/collections/capri/36x58-occasional-height-boat-capri-fire-pit/,
Casual Fireside,"36"" x 58"" Occasional Height Santorini Fire Pit",5110-3658O,19,58,36,,,,https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5110-3658O-Santorini.pdf,https://www.owlee.com/collections/santorini/36-x-58-occasional-height-santorini-aluminum-fire-pit/,
