name,sku,collection,category,width,depth,height,seat_height,arm_height,fabrics,finishes,frame_materials,additional_colors,description,tags,image_url,url
Sky Right Hand Love Seat Sofa Anthracite,SK22-ANTHRSTOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk22-a-1.jpg,https://america.couturejardin.com/product/sky-right-hand-love-seat-sofa-anthracite/
Sky Right Hand Love Seat Sofa Oak,SK22-OAK00STOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk22-o-1.jpg,https://america.couturejardin.com/product/sky-right-hand-love-seat-sofa-oak/
Sky Right Hand Love Seat Sofa White,SK22-WHITESTOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk22-w-1.jpg,https://america.couturejardin.com/product/sky-right-hand-love-seat-sofa-white/
Sky Left Hand Love Seat Sofa Anthracite,SK23-ANTHRSTOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk23-a-1.jpg,https://america.couturejardin.com/product/sky-left-hand-love-seat-sofa-anthracite/
Sky Left Hand Love Seat Sofa Oak,SK23-OAK00STOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk23-o-2.jpg,https://america.couturejardin.com/product/sky-left-hand-love-seat-sofa-oak/
Sky Left Hand Love Seat Sofa White,SK23-WHITESTOCK-0000,SKY,Seating,166cm/65.4,84cm/33,67cm/26.4,42cm/16.5,,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk23-w-2.jpg,https://america.couturejardin.com/product/sky-left-hand-love-seat-sofa-white/
Sky Sofa Oak,SK30-OAK00STOCK-0000,SKY,Seating,215cm/85,84cm/33,67cm/26.5,42cm/16.5,55cm/22,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk30-o.jpg,https://america.couturejardin.com/product/sky-sofa-oak/
Sky Sofa White,SK30-WHITESTOCK-0000,SKY,Seating,215cm/85,84cm/33,67cm/26.5,42cm/16.5,55cm/22,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk30-w.jpg,https://america.couturejardin.com/product/sky-sofa-white/
Sky Sofa,SK30-ANTHRSTOCK-0000,SKY,Seating,215cm/85,84cm/33,67cm/26.5,42cm/16.5,55cm/22,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Seat/Back Dark grey, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2023/11/sky-categories-banner-05.jpg,https://america.couturejardin.com/product/sky-sofa/
Sky Armchair White,SK10-WHITESTOCK-0000,SKY,Seating,101cm/40,84cm/33,67cm/26.5,42cm/16.5,55cm/22,"UV treated, acrylic fabric, COUTUREtex, waterproof, foam","Cushion Light grey, Frame Anthracite, Frame Teak Finish Aluminium, Frame White, Cushion Dark grey","welded, aluminum, powder coating, Teak, Aluminium",,"Contract-grade welded aluminum frame | Tiger brand powder coating | UV treated durable outdoor acrylic fabric, COUTUREtex, waterproof treated | High density foam",sky,https://america.couturejardin.com/wp-content/uploads/2024/06/sk10-w-1.jpg,https://america.couturejardin.com/product/sky-armchair-white/
