Product Name,Collection,SKU,Size / Description,Available Finishes,Grade A MSRP,Grade A Sale,Grade A+ MSRP,Grade A+ Sale,Grade B MSRP,Grade B Sale,Grade C MSRP,Grade C Sale,Grade D MSRP,Grade D Sale,Grade E MSRP,Grade E Sale,Grade F MSRP,Grade F Sale,Notes
Greenwich Aluminum Market,Market Umbrellas,845CAM,7.5' Octagon / 2.3M,SR - Platinum,$1030,$927,$1182,$1064,$1280,$1152,$1355,$1220,$1431,$1288,$1506,$1355,$1609,$1448,
Greenwich Aluminum Market,Market Umbrellas,854CAM,9' Octagon / 2.7M,SR - Platinum,$1130,$1017,$1282,$1154,$1390,$1251,$1465,$1318,$1540,$1386,$1616,$1454,$1719,$1547,
Greenwich Aluminum Market,Market Umbrellas,864CAM,11' Octagon / 3.5M,SR - Platinum,$1385,$1246,$1574,$1417,$1707,$1536,$1797,$1617,$1885,$1696,$1973,$1776,$2090,$1881,
Greenwich Aluminum Market,Market Umbrellas,454CAM-SQ,6.5' x 6.5' Square / 2M x 2M,SR - Platinum,$972,$875,$1122,$1010,$1217,$1095,$1293,$1164,$1368,$1231,$1443,$1299,$1546,$1391,
Greenwich Aluminum Market,Market Umbrellas,864CAM-SQ,7.5' x 7.5' Square / 2.3M x 2.3M,SR - Platinum,$1385,$1246,$1574,$1417,$1707,$1536,$1797,$1617,$1885,$1696,$1973,$1776,$2090,$1881,
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,845FM,7.5' Octagon / 2.3M,ALL,$566,$509,$708,$637,$785,$706,$854,$769,$929,$836,$1002,$902,$1099,$989,
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,854FM,9' Octagon / 2.7M,ALL,$624,$562,$769,$692,$848,$763,$921,$829,$994,$895,$1065,$958,$1165,$1048,
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,864FM,11' Octagon / 3.5M,ALL,$756,$680,$934,$841,$1032,$929,$1119,$1007,$1205,$1084,$1290,$1161,$1404,$1264,
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,454FM-SQ,6.5' x 6.5' Square / 2M x 2M,ALL,$548,$493,$692,$623,$764,$688,$838,$754,$910,$819,$982,$884,$1081,$973,
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,864FM-SQ,7.5' x 7.5' Square / 2.3M x 2.3M,ALL,$756,$680,$934,$841,$1032,$929,$1119,$1007,$1205,$1084,$1290,$1161,$1404,$1264,
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,845FMC,7.5' Octagon / 2.3M,ALL,$607,$546,$751,$676,$830,$747,$903,$813,$976,$878,$1048,$943,$1147,$1032,stripe fabrics not available for 882FMC-R
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,854FMC,9' Octagon / 2.7M,ALL,$664,$598,$806,$725,$889,$800,$962,$866,$1035,$932,$1107,$996,$1206,$1085,
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,864FMC,11' Octagon / 3.5M,ALL,$798,$718,$978,$880,$1081,$973,$1166,$1049,$1252,$1127,$1339,$1205,$1450,$1305,
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,454FMC-SQ,6.5' x 6.5' Square / 2M x 2M,ALL,$591,$532,$734,$661,$811,$730,$882,$794,$955,$860,$1028,$925,$1128,$1015,
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,864FMC-SQ,7.5' x 7.5' Square / 2.3M x 2.3M,ALL,$798,$718,$968,$871,$1081,$973,$1166,$1049,$1252,$1127,$1339,$1205,$1450,$1305,
Monterey Fiberglass Market (Crank Lift / No Tilt),Market Umbrellas,882FMC-R,8.5' x 11' Rectangular / 2.5M x 3.5M,ALL,$1288,$1159,$1600,$1440,$1890,$1701,$2044,$1840,$2197,$1977,$2351,$2116,$2505,$2254,stripe fabrics not available
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,845FMA,7.5' Octagon / 2.3M,ALL,$657,$591,$800,$720,$885,$796,$956,$860,$1029,$926,$1102,$992,$1202,$1082,stripe fabrics not available for 882FMC-R
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,854FMA,9' Octagon / 2.7M,ALL,$711,$640,$854,$769,$944,$850,$1018,$916,$1089,$980,$1162,$1046,$1262,$1136,
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,864FMA,11' Octagon / 3.5M,ALL,$847,$762,$1025,$922,$1133,$1020,$1220,$1098,$1305,$1174,$1391,$1252,$1503,$1353,
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,454FMA-SQ,6.5' x 6.5' Square / 2M x 2M,ALL,$648,$583,$791,$712,$876,$788,$948,$853,$1021,$919,$1093,$984,$1192,$1073,
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,864FMA-SQ,7.5' x 7.5' Square / 2.3M x 2.3M,ALL,$847,$762,$1025,$922,$1133,$1020,$1220,$1098,$1305,$1174,$1391,$1252,$1503,$1353,
Monterey Fiberglass Market (Crank Lift / Auto Tilt),Market Umbrellas,876FMA-R,8' x 10' Rectangular / 2.4M x 3M,ALL,$1188,$1069,$1426,$1283,$1576,$1418,$1682,$1514,$1788,$1609,$1893,$1704,$2026,$1823,
Greenwich Giant Market,Giant Umbrellas,880CAM,13' Octagon / 4M,SR - Platinum,$1875,$1688,$2506,$2255,$2717,$2445,$2895,$2606,$3072,$2765,$3251,$2926,$3524,$3172,stripe fabrics not available for 882CAM-R
Greenwich Giant Market,Giant Umbrellas,883CAM-SQ,10' x 10' Square / 3M x 3M,SR - Platinum,$1875,$1688,$2506,$2255,$2717,$2445,$2895,$2606,$3072,$2765,$3251,$2926,$3524,$3172,
Greenwich Giant Market,Giant Umbrellas,882CAM-R,8.5' x 11' Rectangular / 2.5M x 3.5M,SR - Platinum,$1875,$1688,$2506,$2255,$2717,$2445,$2895,$2606,$3072,$2765,$3251,$2926,$3524,$3172,stripe fabrics not available
Monterey Giant Market,Giant Umbrellas,880FM,13' Octagon / 4M,ALL,$1682,$1514,$2289,$2060,$2485,$2236,$2656,$2390,$2828,$2545,$3000,$2700,$3264,$2938,
Monterey Giant Market,Giant Umbrellas,883FM-SQ,10' x 10' Square / 3M x 3M,ALL,$1682,$1514,$2289,$2060,$2485,$2236,$2656,$2390,$2828,$2545,$3000,$2700,$3264,$2938,
Monterey Giant Market,Giant Umbrellas,882FM-R,8.5' x 11' Rectangular / 2.5M x 3.5M,ALL,$1682,$1514,$2289,$2060,$2485,$2236,$2656,$2390,$2828,$2545,$3000,$2700,$3264,$2938,
Aurora Cantilever (Aluminum),Cantilever Umbrellas,868ARU,11' Octagon / 3.5M,MS - Brushed Silver,$3851,$3466,$4341,$3907,$4711,$4240,$4844,$4360,$4977,$4479,$5110,$4599,$5312,$4781,
Aurora Cantilever (Aluminum),Cantilever Umbrellas,880ARU,13' Octagon / 4M,MS - Brushed Silver,$4108,$3697,$4630,$4167,$5019,$4517,$5161,$4645,$5302,$4772,$5445,$4900,$5659,$5093,
Aurora Cantilever (Aluminum),Cantilever Umbrellas,883ARU-SQ,10' x 10' Square / 3M x 3M,MS - Brushed Silver,$4108,$3697,$4630,$4167,$5019,$4517,$5161,$4645,$5302,$4772,$5445,$4900,$5659,$5093,
Aurora Cantilever (Aluminum),Cantilever Umbrellas,882ARU-R,8.5' x 11' Rectangular / 2.5M x 3.5M,MS - Brushed Silver,$4108,$3697,$4630,$4167,$5019,$4517,$5161,$4645,$5302,$4772,$5445,$4900,$5659,$5093,
Eclipse Cantilever,Cantilever Umbrellas,868ECU,11' Octagon / 3.5M,MS - Brushed Silver,$6040,$5436,$6640,$5976,$7171,$6454,$7372,$6635,$7578,$6820,$7790,$7011,$8086,$7277,
Eclipse Cantilever,Cantilever Umbrellas,880ECU,13' Octagon / 4M,MS - Brushed Silver,$6314,$5683,$7026,$6323,$7605,$6844,$7803,$7023,$8006,$7205,$8205,$7384,$8513,$7662,
Eclipse Cantilever,Cantilever Umbrellas,883ECU-SQ,10' x 10' Square / 3M x 3M,MS - Brushed Silver,$6314,$5683,$7026,$6323,$7605,$6844,$7803,$7023,$8006,$7205,$8205,$7384,$8513,$7662,
Eclipse Cantilever,Cantilever Umbrellas,898ECU-R,10' x 13' Rectangular / 3M x 4M,MS - Brushed Silver,$6840,$6156,$7680,$6912,$8316,$7484,$8544,$7690,$8769,$7892,$8999,$8099,$9377,$8439,Extended Lead Times (up to 20 weeks); Min Order Qty 5
Catalina Fiberglass Patio,Patio Umbrellas,844FA01,7.5' Octagon - Manual Lift / No Valance No Vent,ALL,$456,$410,$550,$495,$610,$549,$682,$614,$755,$680,$827,$744,$925,$832,
Catalina Fiberglass Patio,Patio Umbrellas,844FA02,7.5' Octagon - Manual Lift / Valance + Vent,ALL,$503,$453,$599,$539,$661,$595,$735,$662,$807,$726,$879,$791,$978,$880,
Catalina Fiberglass Patio,Patio Umbrellas,844FA03,7.5' Octagon - Manual Lift / No Valance + Vent,ALL,$503,$453,$599,$539,$661,$595,$735,$662,$807,$726,$879,$791,$978,$880,
Catalina Fiberglass Patio,Patio Umbrellas,844FC01,7.5' Octagon - Crank Lift / No Valance No Vent,ALL,$527,$474,$622,$560,$688,$619,$761,$685,$834,$751,$905,$814,$1005,$904,
Catalina Fiberglass Patio,Patio Umbrellas,844FC02,7.5' Octagon - Crank Lift / Valance + Vent,ALL,$574,$517,$670,$603,$741,$667,$813,$732,$886,$797,$957,$861,$1057,$951,
Catalina Fiberglass Patio,Patio Umbrellas,844FC03,7.5' Octagon - Crank Lift / No Valance + Vent,ALL,$574,$517,$670,$603,$741,$667,$813,$732,$886,$797,$957,$861,$1057,$951,
Laurel Steel Patio,Patio Umbrellas,845A,7.5' Octagon - Manual Lift / Valance No Vent (Acrylic),SR - Platinum,$373,$336,$471,$424,$511,$460,$584,$526,$656,$590,$729,$656,$828,$745,
Laurel Steel Patio,Patio Umbrellas,845AT,7.5' Octagon - Manual Lift Button Tilt / Valance No Vent (Acrylic),SR - Platinum,$398,$358,$495,$446,$537,$483,$611,$550,$684,$616,$756,$680,$853,$768,
Laurel Steel Patio,Patio Umbrellas,845CT,7.5' Octagon - Crank Lift Button Tilt / Valance No Vent (Acrylic),SR - Platinum,$422,$380,$520,$468,$563,$507,$636,$572,$710,$639,$781,$703,$880,$792,
