SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
R005,Orange & White Stripe,Recasens / Recacril®,A,Orange,Orange | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/21-OSA.jpg
R011,Turquoise & White Stripe,Recasens / Recacril®,A,Turquoise,Turquoise | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/24-TQSA.jpg
R012,Red & White Stripe,Recasens / Recacril®,A,Red,Red | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/20-RSA.jpg
R016,Blue & White Stripe,Recasens / Recacril®,A,Blue,Blue | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/23-BSA.jpg
R017,Black & White Stripe,Recasens / Recacril®,A,Black,Black | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/25-BKSA.jpg
R055,Yellow & White Stripe,Recasens / Recacril®,A,Yellow,Yellow | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/22-YSA.jpg
R065,Navy & White Stripe,Recasens / Recacril®,A,Blue,Blue | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/R-065.jpg
R099,White,Recasens / Recacril®,A,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/16-WHA.jpg
R100,Beige,Recasens / Recacril®,A,Beige,Beige | Gold,Solids,https://frankford.b-cdn.net/fabric_swatches/14-TTA.jpg
R102,Forest Green,Recasens / Recacril®,A,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/6-FGA.jpg
R103,Black,Recasens / Recacril®,A,Black,Black,Solids,https://frankford.b-cdn.net/fabric_swatches/19-BKA.jpg
R104,Chestnut,Recasens / Recacril®,A,Brown,Brown,Solids,https://frankford.b-cdn.net/fabric_swatches/10-TRA.jpg
R105,Salmon,Recasens / Recacril®,A,Pink,Pink,Solids,https://frankford.b-cdn.net/fabric_swatches/9-CRA.jpg
R126,Linen,Recasens / Recacril®,A,Beige,Beige | Ivory,Solids,https://frankford.b-cdn.net/fabric_swatches/15-LNA.jpg
R138,Cadet Grey,Recasens / Recacril®,A,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/17-CGA.jpg
R156,Brown,Recasens / Recacril®,A,Brown,Brown,Solids,https://frankford.b-cdn.net/fabric_swatches/13-BNA.jpg
R160,Pistachio,Recasens / Recacril®,A,Green,Green | Yellow,Solids,https://frankford.b-cdn.net/fabric_swatches/5-PTA.jpg
R164,Charcoal Grey,Recasens / Recacril®,A,Black,Black | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/18-CHGA.jpg
R169,Steel Blue,Recasens / Recacril®,A,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/3-CPA.jpg
R171,Turquoise,Recasens / Recacril®,A,Blue,Blue | Turquoise,Solids,https://frankford.b-cdn.net/fabric_swatches/4-TQA.jpg
R172,Pacific Blue,Recasens / Recacril®,A,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/2-PBA.jpg
R175,Captain Navy,Recasens / Recacril®,A,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/1-NBA.jpg
R176,Logo Red,Recasens / Recacril®,A,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/8-LRA.jpg
R177,Burgundy,Recasens / Recacril®,A,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/7-BGA.jpg
R182,Vermillion,Recasens / Recacril®,A,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/R-182.png
R185,Pumpkin,Recasens / Recacril®,A,Orange,Orange,Solids,https://frankford.b-cdn.net/fabric_swatches/R-185.png
R196,Titanium,Recasens / Recacril®,A,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/R_196.jpg
R229,Sapphire,Recasens / Recacril®,A,Blue,Blue | White | Turquoise,Solids,https://frankford.b-cdn.net/fabric_swatches/R-229.png
R554,Yellow,Recasens / Recacril®,A,Yellow,Yellow,Solids,https://frankford.b-cdn.net/fabric_swatches/12-YLA.jpg
R567,Orange,Recasens / Recacril®,A,Orange,Orange,Solids,https://frankford.b-cdn.net/fabric_swatches/11-ORA.jpg
R051,Manhattan,Recasens / Recacril®,A+,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/R_051_0.jpg
R052,Brooklyn,Recasens / Recacril®,A+,Blue,Blue | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_052_0 - Dec 29 2022.jpeg
R054,Queens,Recasens / Recacril®,A+,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_054_0 - Dec 29 2022.jpeg
R060,Bronx,Recasens / Recacril®,A+,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_060 - Dec 29 2022.jpeg
R061,Grey Stripe,Recasens / Recacril®,A+,Grey,Grey | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_061_2023-05-05.jpg
R063,Bayside,Recasens / Recacril®,A+,Grey,Grey | Red,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_063 - Dec 29 2022.jpeg
R086,Concord,Recasens / Recacril®,A+,Black,Black | Grey | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/r_086 - Dec 29 2022.jpeg
R089,Glendale,Recasens / Recacril®,A+,Grey,Grey | Green,Stripes,https://frankford.b-cdn.net/fabric_swatches/R-089.jpg
