Product Name,Category,SKU / Model,Weight,Dimensions,Description,MSRP,Sale Price,Image Note
100A Round,Bases & Mounts,100A,100 lbs./45 kg.,"24""/61cm dia. x 3.5""/9cm",Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 8ST (table) or 18ST (freestanding) stem. Premium aluminum base.,590,649,
100S Square,Bases & Mounts,100S,100 lbs./45 kg.,"29.25""/74cm x 19""/48cm x 1.5""/3.8cm dia. stem",Steel plate wheel base. Freestanding with wheels.,640,704,
150A Round,Bases & Mounts,150A,150 lbs./68 kg.,"30""/76cm dia. x 3.5""/9cm",Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 18ST (freestanding or table) or 8ST (table) stem. Premium aluminum base.,970,1067,
23 Round,Bases & Mounts,23,80 lbs./36 kg.,"20""/50cm dia. x 11.5""/30cm x 1.5""/3.8cm dia. stem",Resin concrete base. Table use or freestanding.,234,258,
24G Square,Bases & Mounts,24G-SQ,100 lbs./45 kg.,"24""/61cm x 0.5""/12.7mm",Galvanized steel plate base. Cannot be stacked. Must be paired with 8ST (table) or 18ST (freestanding) stem.,780,858,
30G Round,Bases & Mounts,30G,100 lbs./45 kg.,"30""/76cm dia. x 0.5""/12.7mm",Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST (freestanding) or 8ST (table) stem.,860,946,
36G Round,Bases & Mounts,36G,150 lbs./68 kg.,"36""/91cm dia. x 0.5""/12.7mm",Galvanized steel plate base. Stackable up to 4 plates. Must be paired with 18ST stem.,1160,1276,
36G Square,Bases & Mounts,36G-SQ,200 lbs./90 kg.,"36""/91cm x 0.5""/12.7mm",Galvanized steel plate base. Freestanding use (+W-Kit). Must be paired with a stem.,1430,1573,
40G Round,Bases & Mounts,40G,185 lbs./83 kg.,"40""/101cm dia. x 0.5""/12.7mm",Galvanized steel plate base. Stackable up to 4 plates. Must be paired with a stem.,1430,1573,
480 Square (Classic),Bases & Mounts,480,80 lbs./36 kg. empty,"34""/86cm x 6.5""/16.5cm (wheels add 5""/12.7cm)",Powder coated aluminum cover. Includes wheels and feet. Pavers not included. Freestanding with 18ST stem. Minimum 480 lbs./217 kg. with pavers.,1380,1518,
75S Square,Bases & Mounts,75S,75 lbs./34 kg.,"24""/61cm x 16.5""/42cm x 1.5""/3.8cm dia. stem",Steel plate wheel base. Freestanding.,414,456,
20G Square,Bases & Mounts,20G-SQ,70 lbs./32 kg.,"20""/50cm x 0.5""/12.7mm",Galvanized steel plate base. Cannot be stacked. Table use with 8ST stem.,680,748,
24G Round,Bases & Mounts,24G,70 lbs./32 kg.,"24""/61cm dia. x 0.5""/12.7mm",Galvanized steel plate base. Stackable up to 4 plates. Table use with 8ST stem.,680,748,
50C Round,Bases & Mounts,50C,50 lbs./22 kg.,"16""/40cm dia. x 0.6""/15.2cm x 1.5""/3.8cm dia. pole",Resin concrete base. Table use.,108,119,
50S Steel Plate Base,Bases & Mounts,50S,50 lbs./22 kg.,"20""/50cm x 11""/28cm x 1.5""/3.8cm dia. stem",Steel plate base. Table use.,300,330,
18ST Stem,Bases & Mounts,18ST,,"18""/45cm x 1.5""/3.8cm dia.",Stainless steel freestanding stem. Not available in powder-coated finishes.,174,192,
8ST Stem,Bases & Mounts,8ST,,"8""/20cm x 1.5""/3.8cm dia.",Stainless steel table use stem. Not available in powder-coated finishes.,142,157,
18ST2 Stem (Classic),Bases & Mounts,18ST2,,"18""/45cm x 2""/5cm dia.",Stainless steel stem.,216,238,Primary image. Also used by: 18ST2 Stem (Giant)
HDW-Kit,Bases & Mounts,HDW-Kit,14 lbs./6 kg.,"5""/12.7cm",Heavy duty castor locking wheel kit. Adds wheels to 36G-SQ-Bottom.,280,308,
36G-SQx2,Bases & Mounts,36G-SQx2,400 lbs./181 kg.,"36""/91cm x 1""/2.5cm",Galvanized steel plate base. Freestanding (+W-Kit). Add wheels with +HDW-Kit. Required minimum galvanized stack for the Aurora Cantilever.,2540,2794,
36G-SQx3,Bases & Mounts,36G-SQx3,600 lbs./272 kg.,"36""/91cm x 1.5""/3.8cm",Galvanized steel plate. Freestanding. Required minimum galvanized stack for the Eclipse Cantilever.,3810,4191,
36G-SQx3 Square,Bases & Mounts,36G-SQx3-SQ,600 lbs./272 kg.,"36""/91cm x 6""/15.2cm",Galvanized steel plate base. Freestanding (+Wheel Kit HDW-K). Required minimum galvanized stack for Aurora & Eclipse Cantilever.,3810,4191,
40G+36G Round,Bases & Mounts,40G+36G,335 lbs./152 kg.,"40""/101cm x 1""/2.5cm",Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.,2270,2497,
40Gx2 Round,Bases & Mounts,40Gx2,360 lbs./163 kg.,"40""/101cm x 1""/2.5cm",Galvanized steel stack base. Freestanding. Required minimum galvanized stack for the Aurora Cantilever.,2540,2794,
40Gx3 Round,Bases & Mounts,40Gx3,555 lbs./252 kg.,"40""/101cm x 1.5""/3.8cm",Galvanized steel stack base. Freestanding. Required minimum galvanized stack for Aurora and Eclipse Cantilever.,3810,4191,
40Gx4 Round,Bases & Mounts,40Gx4,740 lbs./335 kg.,"40""/101cm x 2""/5cm",Galvanized steel stack base. Freestanding.,5080,5588,
480 Square (Cantilever),Bases & Mounts,480-CAN,80 lbs./36 kg. empty,"34""/86cm x 6.5""/16.5cm (wheels add 5""/12.7cm)",Powder coated aluminum cover. Freestanding residential use. Pavers not included. Minimum 480 lbs./217 kg. with pavers.,1380,1518,
IG (Cantilever),Bases & Mounts,IG-CAN,18 lbs./8.5 kg.,"8.5""/21cm dia. x 14""/35cm",In-ground mount into soft soil or concrete. Installation materials not included.,280,308,"Primary image. Also used by: SS-DB (4), IG (Giant)"
DP,Bases & Mounts,DP,12 lbs./5 kg.,"12.5""/32cm x 0.5""/12.7mm",Direct surface mounting plate. Stainless steel upgrade available (DP-SS). In-ground mounting into soft soil or concrete. Installation hardware not included.,230,253,Primary image. Also used by: DP-SS (Cantilever)
DP-SS (Cantilever),Bases & Mounts,DP-SS,12 lbs./5 kg.,"12""/30cm x 0.5""/12.7cm",Stainless steel surface mount deck plate. Installation hardware not included.,510,561,Shared image. Reuse image from: DP
SS-DB (4),Bases & Mounts,SS-DB (4),,"3.5"" x 0.5""/8.9cm x 12.7mm (ea.)",Stainless steel countersunk concrete wedge anchors. Qty. 4.,64,71,Shared image. Reuse image from: IG (Cantilever)
