Product Name,Collection,URL,SKU,Shape / Size,Open Clearance,Closed Clearance,Overall Height,Mast Diameter,Bottom Pole Length,Crank Clearance,Hub Clearance,Open Depth,Mast Height,Upper Pole Length,Lower Pole Length,Weight,Frame Finishes,Features,Description
Greenwich Aluminum Market,Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/greenwich-aluminum,845CAM,7.5' Octagon,"70""/177cm","44""/111cm","94""/238cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,20 lbs./9 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | Ergonomically designed ribs provide added strength | 1.5"" dia. x 1/8"" thick aluminum center pole | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | Stainless steel canopy grommet attachment | Engineered to withstand sustained 30 mph winds","The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants."
Greenwich Aluminum Market,Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/greenwich-aluminum,854CAM,9' Octagon,"76""/193cm","42""/106cm","102""/259cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,22 lbs./10 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | Ergonomically designed ribs provide added strength | 1.5"" dia. x 1/8"" thick aluminum center pole | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | Stainless steel canopy grommet attachment | Engineered to withstand sustained 30 mph winds","The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants."
Greenwich Aluminum Market,Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/greenwich-aluminum,864CAM,11' Octagon,"82""/208cm","40""/101cm","108""/274cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,26 lbs./12 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | Ergonomically designed ribs provide added strength | 1.5"" dia. x 1/8"" thick aluminum center pole | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | Stainless steel canopy grommet attachment | Engineered to withstand sustained 30 mph winds","The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants."
Greenwich Aluminum Market,Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/greenwich-aluminum,454CAM-SQ,6.5' Square,"76""/193cm","42""/106cm","102""/259cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,18 lbs./8.5 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | Ergonomically designed ribs provide added strength | 1.5"" dia. x 1/8"" thick aluminum center pole | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | Stainless steel canopy grommet attachment | Engineered to withstand sustained 30 mph winds","The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants."
Greenwich Aluminum Market,Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/greenwich-aluminum,864CAM-SQ,7.5' Square,"82""/208cm","40""/101cm","108""/274cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,24 lbs./11 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | Ergonomically designed ribs provide added strength | 1.5"" dia. x 1/8"" thick aluminum center pole | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | Stainless steel canopy grommet attachment | Engineered to withstand sustained 30 mph winds","The Greenwich aluminum market umbrella is elegant, refined and sure to satisfy your need for shade in any upscale commercial or residential setting. Available in 5 sizes, there are options for any space and shade need. The easy glide pulley system allows for easy opening and closing. Its sturdy aluminum frame, polished silver finish, and solid marine chrome plated aluminum finial add the perfect touch to give your cherished outdoor space the enhanced appearance found at luxury resorts, hotels, and restaurants."
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/monterey-fiberglass/pulley,845FM,7.5' Octagon,"70""/177cm","44""/111cm","94""/238cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,20 lbs./9 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | 1/2"" fiberglass ribs and struts for maximum strength and flexibility | 1.5"" diameter x 1/8"" thick center pole provides strength and durability | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | 4-layer fabric protection and closed-stitching pocket | Engineered to withstand sustained 40 mph winds","This solid fiberglass market umbrella is manufactured using the most resilient materials available. The half-inch thick fiberglass ribs allow the frame to bend and flex easily in windy conditions, while the durable aluminum center pole, and maintenance-free resin and stainless-steel parts ensure this umbrella will provide years of worry-free shade. Available in five sizes and eight beautiful frame finishes, the Monterey is designed to allow you to bring commercial durability home to your cherished outdoor living space."
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/monterey-fiberglass/pulley,854FM,9' Octagon,"76""/193cm","42""/106cm","102""/259cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,22 lbs./10 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | 1/2"" fiberglass ribs and struts for maximum strength and flexibility | 1.5"" diameter x 1/8"" thick center pole provides strength and durability | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | 4-layer fabric protection and closed-stitching pocket | Engineered to withstand sustained 40 mph winds","This solid fiberglass market umbrella is manufactured using the most resilient materials available. The half-inch thick fiberglass ribs allow the frame to bend and flex easily in windy conditions, while the durable aluminum center pole, and maintenance-free resin and stainless-steel parts ensure this umbrella will provide years of worry-free shade. Available in five sizes and eight beautiful frame finishes, the Monterey is designed to allow you to bring commercial durability home to your cherished outdoor living space."
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/monterey-fiberglass/pulley,864FM,11' Octagon,"82""/208cm","40""/101cm","108""/274cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,26 lbs./12 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | 1/2"" fiberglass ribs and struts for maximum strength and flexibility | 1.5"" diameter x 1/8"" thick center pole provides strength and durability | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | 4-layer fabric protection and closed-stitching pocket | Engineered to withstand sustained 40 mph winds","This solid fiberglass market umbrella is manufactured using the most resilient materials available. The half-inch thick fiberglass ribs allow the frame to bend and flex easily in windy conditions, while the durable aluminum center pole, and maintenance-free resin and stainless-steel parts ensure this umbrella will provide years of worry-free shade. Available in five sizes and eight beautiful frame finishes, the Monterey is designed to allow you to bring commercial durability home to your cherished outdoor living space."
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/monterey-fiberglass/pulley,454FM-SQ,6.5' Square,"76""/193cm","42""/106cm","102""/259cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,18 lbs./8.5 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | 1/2"" fiberglass ribs and struts for maximum strength and flexibility | 1.5"" diameter x 1/8"" thick center pole provides strength and durability | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | 4-layer fabric protection and closed-stitching pocket | Engineered to withstand sustained 40 mph winds","This solid fiberglass market umbrella is manufactured using the most resilient materials available. The half-inch thick fiberglass ribs allow the frame to bend and flex easily in windy conditions, while the durable aluminum center pole, and maintenance-free resin and stainless-steel parts ensure this umbrella will provide years of worry-free shade. Available in five sizes and eight beautiful frame finishes, the Monterey is designed to allow you to bring commercial durability home to your cherished outdoor living space."
Monterey Fiberglass Market (Pulley Lift),Market Umbrellas,https://www.frankfordumbrellas.com/collections/market-umbrellas/monterey-fiberglass/pulley,864FM-SQ,7.5' Square,"82""/208cm","40""/101cm","108""/274cm","1.5""/3.8cm","31.25""/79.4cm",,,,,,,24 lbs./11 kg.,BK Onyx | BZ Desert Bronze | MS Brushed Silver | SR Platinum | WG Golden Oak | WH Alpine White | HW Heather Willow | CB Carbon,"Smooth and effortless kernmantle Poly-Nylon woven rope double pulley system | 1/2"" fiberglass ribs and struts for maximum strength and flexibility | 1.5"" diameter x 1/8"" thick center pole provides strength and durability | Bar height lower poles available (Adds 10"" to overall clearances and heights) | Stainless steel hardware throughout | 4-layer fabric protection and closed-stitching pocket | Engineered to withstand sustained 40 mph winds","This solid fiberglass market umbrella is manufactured using the most resilient materials available. The half-inch thick fiberglass ribs allow the frame to bend and flex easily in windy conditions, while the durable aluminum center pole, and maintenance-free resin and stainless-steel parts ensure this umbrella will provide years of worry-free shade. Available in five sizes and eight beautiful frame finishes, the Monterey is designed to allow you to bring commercial durability home to your cherished outdoor living space."
