fabric_number,fabric_name,grade,fabric_brand,warranty,notes,swatch_image_url,is_stripe
80,Linen Sesame,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/80-Linen-Sesame.jpg,
82,Dolce Oasis,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/82-Dolce-Oasis.jpg,yes
83,Milano Char,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/83-Milano-Char.jpg,yes
84,Straw Linen,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/84-Linen-Straw.jpg,
85,Stone Linen,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/85-Linen-Stone.jpg,
87,Champagne Linen,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/87-Linen-Champagne.jpg,
97,Sand Dupione,A,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-a/97-Dupione-Sand.jpg,
41,Melon,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/41-Melon.jpg,
42,Flax,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/42-Flax.jpg,
43,Terracotta,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/43-Terracotta.jpg,
44,Granite,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/44-Granite.jpg,
45,Buttercup,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/45-Buttercup.jpg,
47,Tangerine,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/47-Tangerine.jpg,
48,Air Blue,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/48-Air-Blue.jpg,
49,Cocoa,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/49-Cocoa.jpg,
50,Black,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/50-Black.jpg,
51,Canvas,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/51-Canvas.jpg,
52,Forest Green,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/52-Forest-Green.jpg,
53,Pacific Blue,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/53-Pacific-Blue.jpg,
54,Natural,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/54-Natural.jpg,
55,Taupe,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/55-Taupe.jpg,
56,Jockey Red,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/56-Jockey-Red.jpg,
57,Burgundy,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/57-Burgundy.jpg,
58,Navy,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/58-Navy.jpg,
59,Antique Beige,B,Sunbrella,5 years,,https://www.galtechcorp.com/images/fabrics/sunbrella-b/59-Antique-Beige.jpg,
