model_number,product_name,category,subcategory,size,available_finishes,finish_skus,vent_type,sunbrella_a_msrp,sunbrella_a_sale,sunbrella_b_msrp,sunbrella_b_sale,sunbrella_c_msrp,sunbrella_c_sale,sunbrella_d_msrp,sunbrella_d_sale,single_item_msrp,single_item_sale,notes
727,727 7.5' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,7.5',"Antique Bronze (AB), Antique Pewter (AP), Black (BK), Deluxe Champagne (DC), Latte (LT), Ribbed Champagne (RC), Silver (SR), White (W)","727AB, 727AP, 727BK, 727DC, 727LT, 727RC, 727SR, 727W",Single Vent,725,544,780,585,765,574,820,615,,,
727-DV,727 7.5' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,7.5',"Antique Bronze (AB), Antique Pewter (AP), Black (BK), Deluxe Champagne (DC), Latte (LT), Ribbed Champagne (RC), Silver (SR), White (W)","727AB, 727AP, 727BK, 727DC, 727LT, 727RC, 727SR, 727W",Double Vent,845,634,900,675,885,664,940,705,,,
737,737 9' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,9',"Antique Bronze (AB), Antique Pewter (AP), Black (BK), Deluxe Champagne (DC), Latte (LT), Ribbed Champagne (RC), Silver (SR), White (W)","737AB, 737AP, 737BK, 737DC, 737LT, 737RC, 737SR, 737W",Single Vent,880,660,935,701,920,690,975,731,,,
737-DV,737 9' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,9',"Antique Bronze (AB), Antique Pewter (AP), Black (BK), Deluxe Champagne (DC), Latte (LT), Ribbed Champagne (RC), Silver (SR), White (W)","737AB, 737AP, 737BK, 737DC, 737LT, 737RC, 737SR, 737W",Double Vent,1000,750,1055,791,1040,780,1095,821,,,
779,779 8'x11' Deluxe Auto Tilt Oval,Aluminum,Deluxe Auto Tilt,8x11',"Antique Bronze (AB), Black (BK)","779AB, 779BK",Single Vent,1250,938,1335,1001,1300,975,1385,1039,,,Striped/non-solid fabric NOT recommended
779-DV,779 8'x11' Deluxe Auto Tilt Oval,Aluminum,Deluxe Auto Tilt,8x11',"Antique Bronze (AB), Black (BK)","779AB, 779BK",Double Vent,1390,1042,1475,1106,1440,1080,1525,1144,,,Striped/non-solid fabric NOT recommended
789,789 11' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,11',"Antique Bronze (AB), Black (BK)","789AB, 789BK",Single Vent,1315,986,1400,1050,1365,1024,1450,1088,,,
789-DV,789 11' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,11',"Antique Bronze (AB), Black (BK)","789AB, 789BK",Double Vent,1455,1091,1540,1155,1505,1129,1590,1192,,,
799,799 10'x10' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,10x10',"Antique Bronze (AB), Black (BK)","799AB, 799BK",Single Vent,1440,1080,1505,1129,1470,1102,1555,1166,,,
799-DV,799 10'x10' Deluxe Auto Tilt,Aluminum,Deluxe Auto Tilt,10x10',"Antique Bronze (AB), Black (BK)","799AB, 799BK",Double Vent,1580,1185,1645,1234,1610,1208,1695,1271,,,
636,636 9' Manual Tilt,Aluminum,Standard Auto Tilt,9',Bronze (MB),636MB,Single Vent,635,476,690,518,675,506,730,548,,,
636-DV,636 9' Manual Tilt,Aluminum,Standard Auto Tilt,9',Bronze (MB),636MB,Double Vent,755,566,810,608,795,596,850,638,,,
736,736 9' Standard Auto Tilt,Aluminum,Standard Auto Tilt,9',"Black (BK), Charcoal (CH), Bronze (MB), White (W)","736BK, 736CH, 736MB, 736W",Single Vent,710,532,765,574,750,562,805,604,,,
