category,model_number,product_name,finish_name
Aluminum,727,727 7.5' Deluxe Auto Tilt,Antique Bronze
Aluminum,727,727 7.5' Deluxe Auto Tilt,Antique Pewter
Aluminum,727,727 7.5' Deluxe Auto Tilt,Black
Aluminum,727,727 7.5' Deluxe Auto Tilt,Deluxe Champagne
Aluminum,727,727 7.5' Deluxe Auto Tilt,Latte
Aluminum,727,727 7.5' Deluxe Auto Tilt,Rib Champagne
Aluminum,727,727 7.5' Deluxe Auto Tilt,Silver
Aluminum,727,727 7.5' Deluxe Auto Tilt,White
Aluminum,737,737 9' Deluxe Auto Tilt,Antique Bronze
Aluminum,737,737 9' Deluxe Auto Tilt,Antique Pewter
Aluminum,737,737 9' Deluxe Auto Tilt,Black
Aluminum,737,737 9' Deluxe Auto Tilt,Deluxe Champagne
Aluminum,737,737 9' Deluxe Auto Tilt,Latte
Aluminum,737,737 9' Deluxe Auto Tilt,Rib Champagne
Aluminum,737,737 9' Deluxe Auto Tilt,Silver
Aluminum,737,737 9' Deluxe Auto Tilt,White
Aluminum,779,779 8' x 11' Deluxe Auto Tilt Oval,Antique Bronze
Aluminum,779,779 8' x 11' Deluxe Auto Tilt Oval,Black
Aluminum,789,789 11' Deluxe Auto Tilt,Antique Bronze
Aluminum,789,789 11' Deluxe Auto Tilt,Black
Aluminum,799,799 10' x 10' Deluxe Auto Tilt,Antique Bronze
Aluminum,799,799 10' x 10' Deluxe Auto Tilt,Black
Aluminum,636,636 9' Manual Tilt,Bronze
Aluminum,736,736 9' Standard Auto Tilt,Black
Aluminum,736,736 9' Standard Auto Tilt,Charcoal
Aluminum,736,736 9' Standard Auto Tilt,Standard Bronze
Aluminum,736,736 9' Standard Auto Tilt,White
Aluminum,936,936 9' Auto Tilt with LED Lights,Antique Bronze
Aluminum,936,936 9' Auto Tilt with LED Lights,Black
Aluminum,986,986 11' Auto Tilt with LED Lights,Antique Bronze
Aluminum,986,986 11' Auto Tilt with LED Lights,Black
Commercial,722,722 7.5' Deluxe Commercial Use,Antique Bronze
Commercial,722,722 7.5' Deluxe Commercial Use,Black
Commercial,722,722 7.5' Deluxe Commercial Use,Silver
Commercial,762,762 6' x 6' Deluxe Commercial Use Square,Antique Bronze
Commercial,762,762 6' x 6' Deluxe Commercial Use Square,Silver
Commercial,732,732 9' Deluxe Commercial Use,Antique Bronze
Commercial,732,732 9' Deluxe Commercial Use,Black
Commercial,732,732 9' Deluxe Commercial Use,Silver
Commercial,781,781 11' Deluxe Commercial Use Flat Profile,Silver
Commercial,782,782 8' x 8' Deluxe Commercial Use Square,Silver
Commercial,791,791 13' Deluxe Commercial Use,Silver
Commercial,792,792 10 x 10' Deluxe Commercial Use,Silver
Commercial,715,715 6' Commercial Use,Antique Bronze
Commercial,725,725 7.5' Commercial Use,Antique Bronze
Commercial,725,725 7.5' Commercial Use,Black
Commercial,725,725 7.5' Commercial Use,White
Commercial,735,735 9' Commercial Use,Antique Bronze
Commercial,735,735 9' Commercial Use,Black
Commercial,735,735 9' Commercial Use,White
Commercial,772,772 3.5' x 7' Half Wall,Antique Bronze
Wood,121,"121/221 7.5' Cafe, Bistro, Condos",Dark Wood
Wood,121,"121/221 7.5' Cafe, Bistro, Condos",Light Wood
Wood,131,131 9' All Purpose Wood,Light Wood
Wood,132,132/232 9' Double Pulley,Dark Wood
Wood,132,132/232 9' Double Pulley,Light Wood
Wood,136,136 9' Commercial,Light Wood
Wood,183,183 11' Quad Pulley,Light Wood
Cantilever,887,887 11' Cantilever,Antique Bronze
Cantilever,887,887 11' Cantilever,Black
Cantilever,899,899 13' Cantilever,Antique Bronze
Cantilever,899,899 13' Cantilever,Black
Cantilever,897,897 10 x 10' Cantilever,Antique Bronze
Cantilever,897,897 10 x 10' Cantilever,Black
Teak,532,532tk 9' Designer Teak,Teak
Teak,537,537tk 9' Rotational Tilt,Teak
Teak,587,587tk 11' Crank Lift,Teak
Bases,europeanbases,European Bases,Antique Bronze
Bases,europeanbases,European Bases,Black
Bases,heavy-weight-bases,Heavy Weight Bases,Black
Bases,heavy-weight-bases,Heavy Weight Bases,Silver
Bases,steel-plate-bases,Steel Plate Bases,Black
Bases,steel-plate-bases,Steel Plate Bases,Silver
Bases,wheels-bases,Wheels Bases,Black
Bases,wheels-bases,Wheels Bases,Silver
