product_category,item_number,finish_code,finish_name,size,vent_type,msrp_C_Suncrylic,sale_C_Suncrylic,msrp_B_Sunbrella,sale_B_Sunbrella,msrp_A_Sunbrella,sale_A_Sunbrella,msrp_BB_Sunbrella,sale_BB_Sunbrella,msrp_AA_Sunbrella,sale_AA_Sunbrella
Aluminum Market Umbrella - Deluxe Autotilt,727AB,AB,Antique Bronze,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727AB,AB,Antique Bronze,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727AP,AP,Antique Pewter,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727AP,AP,Antique Pewter,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727BK,BK,Black,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727BK,BK,Black,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727DC,DC,Deluxe Champagne,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727DC,DC,Deluxe Champagne,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727LT,LT,Latte,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727LT,LT,Latte,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727RC,RC,Ribbed Champagne,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727RC,RC,Ribbed Champagne,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727SR,SR,Silver,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727SR,SR,Silver,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,727W,W,White,7.5',Single Vent,640,480,725,544,780,585,765,574,820,615
Aluminum Market Umbrella - Deluxe Autotilt,727W,W,White,7.5',Double Vent,n/a,n/a,845,634,900,675,885,664,940,705
Aluminum Market Umbrella - Deluxe Autotilt,737AB,AB,Antique Bronze,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737AB,AB,Antique Bronze,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737AP,AP,Antique Pewter,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737AP,AP,Antique Pewter,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737BK,BK,Black,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737BK,BK,Black,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737DC,DC,Deluxe Champagne,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737DC,DC,Deluxe Champagne,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737LT,LT,Latte,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737LT,LT,Latte,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737RC,RC,Ribbed Champagne,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737RC,RC,Ribbed Champagne,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737SR,SR,Silver,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737SR,SR,Silver,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,737W,W,White,9',Single Vent,815,612,880,660,935,702,920,690,975,732
Aluminum Market Umbrella - Deluxe Autotilt,737W,W,White,9',Double Vent,n/a,n/a,1000,750,1055,792,1040,780,1095,822
Aluminum Market Umbrella - Deluxe Autotilt,779AB,AB,Antique Bronze,8x11',Single Vent,n/a,n/a,1250,938,1335,1002,1300,975,1385,1039
Aluminum Market Umbrella - Deluxe Autotilt,779AB,AB,Antique Bronze,8x11',Double Vent,n/a,n/a,1390,1043,1475,1107,1440,1080,1525,1144
Aluminum Market Umbrella - Deluxe Autotilt,779BK,BK,Black,8x11',Single Vent,n/a,n/a,1250,938,1335,1002,1300,975,1385,1039
Aluminum Market Umbrella - Deluxe Autotilt,779BK,BK,Black,8x11',Double Vent,n/a,n/a,1390,1043,1475,1107,1440,1080,1525,1144
Aluminum Market Umbrella - Deluxe Autotilt,789AB,AB,Antique Bronze,11',Single Vent,1085,814,1315,987,1400,1050,1365,1024,1450,1088
Aluminum Market Umbrella - Deluxe Autotilt,789AB,AB,Antique Bronze,11',Double Vent,n/a,n/a,1455,1092,1540,1155,1505,1129,1590,1193
Aluminum Market Umbrella - Deluxe Autotilt,789BK,BK,Black,11',Single Vent,1085,814,1315,987,1400,1050,1365,1024,1450,1088
Aluminum Market Umbrella - Deluxe Autotilt,789BK,BK,Black,11',Double Vent,n/a,n/a,1455,1092,1540,1155,1505,1129,1590,1193
Aluminum Market Umbrella - Deluxe Autotilt,799AB,AB,Antique Bronze,10x10',Single Vent,n/a,n/a,1440,1080,1505,1129,1470,1103,1555,1167
Aluminum Market Umbrella - Deluxe Autotilt,799AB,AB,Antique Bronze,10x10',Double Vent,n/a,n/a,1580,1185,1645,1234,1610,1208,1695,1272
Aluminum Market Umbrella - Deluxe Autotilt,799BK,BK,Black,10x10',Single Vent,n/a,n/a,1440,1080,1505,1129,1470,1103,1555,1167
