base_sku,base_product_id,stem_sku,stem_name,stem_msrp,stem_sale_price
24G,5084,8ST,Stainless Steel Stem 8" x 1.5",142,128
30G,5077,8ST,Stainless Steel Stem 8" x 1.5",142,128
30G,5077,18ST,Stainless Steel Stem 18" x 1.5",174,157
30G,5077,18ST2,Stainless Steel Stem 18" x 2",216,195
36G,5078,8ST,Stainless Steel Stem 8" x 1.5",142,128
36G,5078,18ST,Stainless Steel Stem 18" x 1.5",174,157
36G,5078,18ST2,Stainless Steel Stem 18" x 2",216,195
40G,5080,8ST,Stainless Steel Stem 8" x 1.5",142,128
40G,5080,18ST,Stainless Steel Stem 18" x 1.5",174,157
40G,5080,18ST2,Stainless Steel Stem 18" x 2",216,195
20G-SQ,5083,8ST,Stainless Steel Stem 8" x 1.5",142,128
24G-SQ,5076,8ST,Stainless Steel Stem 8" x 1.5",142,128
24G-SQ,5076,18ST,Stainless Steel Stem 18" x 1.5",174,157
36G-SQ,5079,8ST,Stainless Steel Stem 8" x 1.5",142,128
36G-SQ,5079,18ST,Stainless Steel Stem 18" x 1.5",174,157
36G-SQ,5079,18ST2,Stainless Steel Stem 18" x 2",216,195
