base_sku,base_product_id,cover_sku,finish_code,finish_name,msrp,sale_price
24G,5084,24G-TC,WG,Golden Oak,374,337
24G,5084,24G-TC,HW,Heather Willow,374,337
24G,5084,24G-TC,BK,Onyx,206,186
24G,5084,24G-TC,BZ,Desert Bronze,206,186
24G,5084,24G-TC,WH,Alpine,206,186
24G,5084,24G-TC,CB,Carbon,206,186
30G,5077,30G-TC,WG,Golden Oak,406,366
30G,5077,30G-TC,HW,Heather Willow,406,366
30G,5077,30G-TC,BK,Onyx,228,206
30G,5077,30G-TC,BZ,Desert Bronze,228,206
30G,5077,30G-TC,WH,Alpine,228,206
30G,5077,30G-TC,CB,Carbon,228,206
36G,5078,36G-TC,WG,Golden Oak,472,425
36G,5078,36G-TC,HW,Heather Willow,472,425
36G,5078,36G-TC,BK,Onyx,258,233
36G,5078,36G-TC,BZ,Desert Bronze,258,233
36G,5078,36G-TC,WH,Alpine,258,233
36G,5078,36G-TC,CB,Carbon,258,233
40G,5080,40G-TC,WG,Golden Oak,520,468
40G,5080,40G-TC,HW,Heather Willow,520,468
40G,5080,40G-TC,BK,Onyx,320,288
40G,5080,40G-TC,BZ,Desert Bronze,320,288
40G,5080,40G-TC,WH,Alpine,320,288
40G,5080,40G-TC,CB,Carbon,320,288
20G-SQ,5083,20G-SQ-TC,WG,Golden Oak,406,366
20G-SQ,5083,20G-SQ-TC,HW,Heather Willow,406,366
20G-SQ,5083,20G-SQ-TC,BK,Onyx,228,206
20G-SQ,5083,20G-SQ-TC,BZ,Desert Bronze,228,206
20G-SQ,5083,20G-SQ-TC,WH,Alpine,228,206
20G-SQ,5083,20G-SQ-TC,CB,Carbon,228,206
24G-SQ,5076,24G-SQ-TC,WG,Golden Oak,472,425
24G-SQ,5076,24G-SQ-TC,HW,Heather Willow,472,425
24G-SQ,5076,24G-SQ-TC,BK,Onyx,258,233
24G-SQ,5076,24G-SQ-TC,BZ,Desert Bronze,258,233
24G-SQ,5076,24G-SQ-TC,WH,Alpine,258,233
24G-SQ,5076,24G-SQ-TC,CB,Carbon,258,233
36G-SQ,5079,36G-SQ-TC,WG,Golden Oak,520,468
36G-SQ,5079,36G-SQ-TC,HW,Heather Willow,520,468
36G-SQ,5079,36G-SQ-TC,BK,Onyx,320,288
36G-SQ,5079,36G-SQ-TC,BZ,Desert Bronze,320,288
36G-SQ,5079,36G-SQ-TC,WH,Alpine,320,288
36G-SQ,5079,36G-SQ-TC,CB,Carbon,320,288
