db_id,sku,name
5319,722099,Carlisle Rectangular Extension Dining Table
5309,309111,Cedar Dining Chair
5311,309411,Cedar Club Chair
5313,309421,Cedar Loveseat
5314,309431,Cedar Sofa
5316,309451,Cedar Ottoman
5431,048412,Grand Tuscany Club Chair
5433,048422,Grand Tuscany Loveseat
5435,048432,Grand Tuscany Sofa
5434,048452,Grand Tuscany Ottoman
5425,048610,Grand Tuscany Square End Table
5426,048630,Grand Tuscany Rectangular Coffee Table
5407,725090,Inverness Rectangular Enclosed Fire Pit Table
5331,294333,Malibu Left Arm Chaise Lounge
5330,294334,Malibu Right Arm Chaise Lounge
5329,294411,Malibu Club Chair
5334,294441,Malibu Left Arm Club Chair
5332,294443,Malibu Right Arm Club Chair
5333,294445,Malibu Middle Club Chair
5336,294449,Malibu Corner Club Chair
5335,294451,Malibu Ottoman
5337,294621,Malibu Square End Table
5339,294794,Malibu Rectangular Coffee Table
5341,208141,Mayfair Dining Chair
5345,208331,Mayfair Chaise Lounge
5342,208341,Mayfair Swivel Rocker
5344,208351,Mayfair Swivel Bar Stool
5343,208353,Mayfair Swivel Counter Stool
5346,208411,Mayfair Estate Club Chair
5348,208419,Mayfair Estate Club Swivel Glider
5352,208441,Mayfair Estate Club Left Chair
5350,208443,Mayfair Estate Club Right Chair
5351,208445,Mayfair Estate Club Middle Chair
5353,208447,Mayfair Estate Club Corner Chair
5349,208451,Mayfair Estate Ottoman
5369,321413,Melbourne Club Chair
5370,321418,Melbourne Club Swivel Rocker
5374,321441,Melbourne Left Arm Club Chair
5372,321443,Melbourne Right Arm Club Chair
5373,321445,Melbourne Middle Arm Club Chair
5376,704131,Santa Barbara Full Cushion Dining Chair
5381,704331,Santa Barbara Chaise Lounge
5377,704341,Santa Barbara Full Cushion Swivel Rocker
5385,704428,Santa Barbara Loveseat Glider
5387,704453,Santa Barbara Ottoman
5388,247141,Stratford Dining Chair
2948,247142,Stratford Sling Dining Chair
5390,247331,Stratford Chaise Lounge
2932,247336,Stratford Sling Chaise Lounge
5389,247341,Stratford Swivel Rocker
2933,247342,Stratford Sling Swivel Rocker
5392,247351,Stratford Swivel Bar Stool
5391,247353,Stratford Swivel Counter Stool
5394,247412,Stratford Estate Club Chair
5399,247442,Stratford Estate Club Left Chair
5397,247444,Stratford Estate Club Right Chair
5398,247445,Stratford Estate Club Middle Chair
5396,247447,Stratford Estate Club Corner Chair
5393,247451,Stratford Estate Ottoman
5400,317112,Sydney Sling Dining Chair
5401,317342,Sydney Sling Swivel Rocker
5403,317412,Sydney Sling Club Chair
5404,317418,Sydney Sling Club Swivel Rocker
5405,317422,Sydney Sling Loveseat
5408,018130,Tuscany Dining Chair
5410,018140,Tuscany Bench
5409,018240,Tuscany Swivel Rocker
5413,018250,Tuscany Swivel Bar Stool
5412,018280,Tuscany Swivel Counter Stool
5411,018300,Tuscany Chaise Lounge
5436,248141,Westfield Dining Chair
5437,248341,Westfield Swivel Rocker
5440,248351,Westfield Swivel Bar Stool
5439,248353,Westfield Swivel Counter Stool
