product_id,sku,name,collection,correct_fabric_code
3915,11350,Allure Armless Dining Chair,Allure,S
3916,12350,Allure Armless Dining Chair (Stackable),Allure,S
3917,11370,Allure Dining Chair,Allure,S
3918,12370,Allure Dining Chair (Stackable),Allure,S
3919,11380,Allure Chat Chair,Allure,S
3920,11550,Allure Armless Balcony Stool,Allure,S
3921,11580,Allure Balcony Stool,Allure,S
3922,11450,Allure Armless Bar Stool,Allure,S
3923,11480,Allure Bar Stool,Allure,S
3924,11430,Allure Sofa,Allure,S
3925,11310,Allure Armless Adjustable Chaise (Stackable),Allure,S
3926,11300,Allure Armless Adjustable Chaise (with Wheels),Allure,S
6238,11300-2,Allure Armless Adjustable Chaise with Wheels (2 Pack),Allure,S
6239,11310-2,Allure Armless Adjustable Chaise (2 Pack),Allure,S
6240,12350-2,Allure Armless Dining Chair Stackable (2 Pack),Allure,S
6241,12370-2,Allure Dining Chair Stackable (2 Pack),Allure,S
3938,7237A-DC,Anthem Cushion Chat Chair,Anthem Cushion,C
3939,7290A-DC,Anthem Cushion Swivel Rocker Chat Chair,Anthem Cushion,C
3940,7242A-DC,Anthem Cushion Loveseat,Anthem Cushion,C
3941,7243A-DC,Anthem Cushion Sofa,Anthem Cushion,C
3942,2H37A-DC,Ava Cushion Chat Chair,Ava Cushion,C
3943,2H42A-DC,Ava Cushion Loveseat,Ava Cushion,C
3944,2H43A-DC,Ava Cushion Sofa,Ava Cushion,C
3945,10680,Blair Low Back Dining Chair,Blair,S
3946,10880,Blair Low Back Swivel Rocker,Blair,S
3947,10180,Blair High Back Dining Chair,Blair,S
3948,10980,Blair High Back Swivel Rocker,Blair,S
3949,10301,Blair Armless Adjustable Chaise,Blair,S
3950,10302,Blair Adjustable Chaise,Blair,S
3951,99120,Blair Ottoman,Blair,S
6257,10690,Blair Low Back Dining Chair Padded Sling,Blair,PS
6258,10190,Blair High Back Dining Chair Padded Sling,Blair,PS
6259,10202,Blair Adjustable Chaise Padded Sling,Blair,PS
6260,10201,Blair Armless Adjustable Chaise Padded Sling,Blair,PS
6261,99130,Blair Ottoman Padded Sling,Blair,PS
6262,10890,Blair Low Back Swivel Rocker Padded Sling,Blair,PS
6263,10990,Blair High Back Swivel Rocker Padded Sling,Blair,PS
3954,51AR352,Blair Air Armless Chat Chair,Blair Air,A
3955,10AR392,Blair Air Chat Chair,Blair Air,A
3956,10AR902,Blair Air Swivel Chat Chair,Blair Air,A
3957,10AR392L,Blair Air Left Arm Chat Chair,Blair Air,A
3958,10AR392R,Blair Air Right Arm Chat Chair,Blair Air,A
3959,51AR422N,Blair Air Armless Loveseat,Blair Air,A
3960,10AR422,Blair Air Loveseat,Blair Air,A
3961,10AR422L,Blair Air Left Arm Loveseat,Blair Air,A
3962,10AR422R,Blair Air Right Arm Loveseat,Blair Air,A
3963,51AR432N,Blair Air Armless Sofa,Blair Air,A
3964,10AR432,Blair Air Sofa,Blair Air,A
3965,10AR432L,Blair Air Left Arm Sofa,Blair Air,A
3966,10AR432R,Blair Air Right Arm Sofa,Blair Air,A
3968,8439N-DC,Blair Cushion Armless Center Chat Chair,Blair Cushion,C
3969,8439A-DC,Blair Cushion Chat Chair,Blair Cushion,C
3970,8490A-DC,Blair Cushion Swivel Rocker Chat Chair,Blair Cushion,C
3971,8439L-DC,Blair Cushion Left Arm Chat Chair,Blair Cushion,C
3972,8439R-DC,Blair Cushion Right Arm Chat Chair,Blair Cushion,C
3973,8442A-DC,Blair Cushion Loveseat,Blair Cushion,C
3974,8442L-DC,Blair Cushion Left Arm Loveseat,Blair Cushion,C
3975,8442R-DC,Blair Cushion Right Arm Loveseat,Blair Cushion,C
3976,8443A-DC,Blair Cushion Sofa,Blair Cushion,C
3977,8443L-DC,Blair Cushion Left Arm Sofa,Blair Cushion,C
3978,8443R-DC,Blair Cushion Right Arm Sofa,Blair Cushion,C
3979,8410A-DC,Blair Cushion Corner,Blair Cushion,C
3980,9914A-DC,Blair Ottoman,Blair,C
3981,8539N-DC,Blair Slip Cover Armless Center Chat Chair,Blair Slip Cover,C
3982,8539A-DC,Blair Slip Cover Chat Chair,Blair Slip Cover,C
3983,8590A-DC,Blair Slip Cover Swivel Rocker Chat Chair,Blair Slip Cover,C
3984,8539L-DC,Blair Slip Cover Left Arm Chat Chair,Blair Slip Cover,C
3985,8539R-DC,Blair Slip Cover Right Arm Chat Chair,Blair Slip Cover,C
3986,8542A-DC,Blair Slip Cover Loveseat,Blair Slip Cover,C
3987,8542L-DC,Blair Slip Cover Left Arm Loveseat,Blair Slip Cover,C
3988,8542R-DC,Blair Slip Cover Right Arm Loveseat,Blair Slip Cover,C
3989,8543A-DC,Blair Slip Cover Sofa,Blair Slip Cover,C
3990,8543L-DC,Blair Slip Cover Left Arm Sofa,Blair Slip Cover,C
3991,8543R-DC,Blair Slip Cover Right Arm Sofa,Blair Slip Cover,C
3992,8510A-DC,Blair Slip Cover Corner,Blair Slip Cover,C
3993,4239A,Boden Cushion Chat Chair,Boden Cushion,C
3994,4242A,Boden Cushion Loveseat,Boden Cushion,C
3995,4243A,Boden Cushion Sofa,Boden Cushion,C
4011,CH-PAD,Echo Removable Seat Pad (with Ties),Echo,C
4012,CH-PADNT,Echo Removable Seat Pad (without Ties),Echo,C
6264,9435P,Echo Armless Dining Chair (Stackable) - Cushion,Echo,C
6265,9437P,Echo Dining Chair (Stackable) - Cushion,Echo,C
6266,9458P,Echo Armless Balcony Stool - Cushion,Echo,C
6267,9448P,Echo Armless Bar Stool - Cushion,Echo,C
6274,9435P-2,Echo Armless Dining Chair Padded 2 Pack (Stackable),Echo,C
6275,9437P-2,Echo Dining Chair Padded 2 Pack (Stackable),Echo,C
4013,51AR902N,Edge Air Armless Swivel Chat Chair,Edge Air,A
4014,51680,Elements Low Back Dining Chair,Elements,S
4015,51880,Elements Low Back Swivel Rocker,Elements,S
4016,51180,Elements High Back Dining Chair,Elements,S
4017,51980,Elements High Back Swivel Rocker,Elements,S
4018,51780,Elements Swivel Rocker Balcony Stool,Elements,S
6281,51690,Elements Low Back Dining Chair Padded Sling,Elements,PS
6282,51190,Elements High Back Dining Chair Padded Sling,Elements,PS
6283,51890,Elements Low Back Swivel Rocker Padded Sling,Elements,PS
6284,51990,Elements High Back Swivel Rocker Padded Sling,Elements,PS
6285,51790,Elements Swivel Rocker Balcony Stool Padded Sling,Elements,PS
4019,51AR392,Elements Air Chat Chair,Elements Air,A
4020,51AR902,Elements Air Swivel Chat Chair,Elements Air,A
4021,51AR392L,Elements Air Left Arm Chat Chair,Elements Air,A
4022,51AR392R,Elements Air Right Arm Chat Chair,Elements Air,A
4023,51AR422,Elements Air Loveseat,Elements Air,A
4024,51AR422L,Elements Air Left Arm Loveseat,Elements Air,A
4025,51AR422R,Elements Air Right Arm Loveseat,Elements Air,A
4026,51AR432,Elements Air Sofa,Elements Air,A
4027,51AR432L,Elements Air Left Arm Sofa,Elements Air,A
4028,51AR432R,Elements Air Right Arm Sofa,Elements Air,A
