fabric_name,collection,grade,availability,item_number,image_filename,color_family
Agate II,Homecrest Slings,B,S|A,,Agate_II.jpg,Green
Aluminum,Homecrest Slings,A,S|A,,Aluminum.jpg,Gray
Bark,Homecrest Slings,B,A|S,,Bark.jpg,Black
Battleplan,Homecrest Slings,A,S|A,,Battleplan.jpg,Navy
Bisque,Homecrest Slings,B,A|S,,Bisque.jpg,Gray
Cameo II,Homecrest Slings,B,A|S,,Cameo_II.jpg,Beige
Carbon,Homecrest Slings,A,S|W,,Carbon.jpg,Green
Coral,Homecrest Slings,A,S|A,,Coral.jpg,Red
Gannon,Homecrest Slings,A,S|A,,Gannon.jpg,Brown
Glacier,Homecrest Slings,A,S|W,,Glacier.jpg,Ivory
Glassblock,Homecrest Slings,A,S|A,,Glassblock.jpg,Green
Hickory,Homecrest Slings,A,S|W,,Hickory.jpg,Brown
Indigo,Homecrest Slings,A,S|W,,Indigo.jpg,Navy
Kamali,Homecrest Slings,A,S|A,,Kamali.jpg,Brown
Kozo,Homecrest Slings,A,S|A,,Kozo.jpg,Ivory
Lagoon,Homecrest Slings,B,A|S,,Lagoon.jpg,Navy
Millstone,Homecrest Slings,A,S|A,,Millstone.jpg,Gray
Niko,Homecrest Slings,A,S|W,,Niko.jpg,Gray
Nova,Homecrest Slings,A,S|A,,Nova.jpg,Green
Onyx,Homecrest Slings,A,S|W,,Onyx.jpg,Black
Rochester,Homecrest Slings,A,S|A,,Rochester.jpg,Brown
Rose,Homecrest Slings,A,S|A,,Rose.jpg,Pink
Salsa,Homecrest Slings,A,S|A,,Salsa.jpg,Red
Sandbar,Homecrest Slings,A,S|W,,Sandbar.jpg,Beige
Seaglass,Homecrest Slings,A,S|A,,Seaglass.jpg,Gray
Sedona,Homecrest Slings,A,S|W,,Sedona.jpg,Brown
Shadows,Homecrest Slings,A,S|A,,Shadows.jpg,Green
Shelby,Homecrest Slings,A,S|A,,Shelby.jpg,Green
Storm,Homecrest Slings,A,S|W,,Storm.jpg,Gray
Stratus,Homecrest Slings,B,A|S,,Stratus.jpg,Navy
Umber,Homecrest Slings,A,S|W,,Umber.jpg,Black
Walnut,Homecrest Slings,A,S|A,,Walnut.jpg,Brown
Windsor,Homecrest Slings,A,S|A,,Windsor.jpg,Navy
Zinc II,Homecrest Slings,B,A|S,,Zinc_II.jpg,Green
Agate II,Sensation Sling,B,A|S,,Agate_II.jpg,Green
Bisque,Sensation Sling,B,A|S,,Bisque.jpg,Gray
Bark,Sensation Sling,B,A|S,,Bark.jpg,Black
Cameo II,Sensation Sling,B,A|S,,Cameo_II.jpg,Beige
Lagoon,Sensation Sling,B,A|S,,Lagoon.jpg,Navy
Stratus,Sensation Sling,B,A|S,,Stratus.jpg,Navy
Zinc II,Sensation Sling,B,A|S,,Zinc_II.jpg,Green
Carbon,Welt,A,S|W,,Carbon.jpg,Green
Glacier,Welt,A,S|W,,Glacier.jpg,Ivory
Hickory,Welt,A,S|W,,Hickory.jpg,Brown
Indigo,Welt,A,S|W,,Indigo.jpg,Navy
Niko,Welt,A,S|W,,Niko.jpg,Gray
Onyx,Welt,A,S|W,,Onyx.jpg,Black
Sandbar,Welt,A,S|W,,Sandbar.jpg,Beige
Sedona,Welt,A,S|W,,Sedona.jpg,Brown
Storm,Welt,A,S|W,,Storm.jpg,Gray
Umber,Welt,A,S|W,,Umber.jpg,Black
Beige,Recacril,,U,,Beige-Recacril.jpg,Beige
Black,Recacril,,U,,Black.jpg,Black
Black Stripe,Recacril,,U,,Black_Stripe.jpg,Black
Blue Stripe,Recacril,,U,,Blue_Stripe.jpg,Blue
Brown,Recacril,,U,,Brown.jpg,Black
Burgundy,Recacril,,U,,Burgundy.jpg,Brown
Cadet Grey,Recacril,,U,,Cadet_Grey.jpg,Gray
Captain Navy,Recacril,,U,,Captain-Navy-Recacril.jpg,Navy
Charcoal Grey,Recacril,,U,,Charcoal_Grey.jpg,Navy
Chestnut,Recacril,,U,,Chestnut-Recacril.jpg,Brown
Forest Green,Recacril,,U,,Forest_Green.jpg,Navy
Linen,Recacril,,U,,Linen.jpg,Gray
Logo Red,Recacril,,U,,Logo_Red.jpg,Red
Navy Stripe,Recacril,,U,,Navy_Stripe.jpg,Navy
Orange,Recacril,,U,,Orange.jpg,Orange
Orange Stripe,Recacril,,U,,Orange_Stripe.jpg,Orange
Pacific Blue,Recacril,,U,,Pacific_Blue.jpg,Navy
Pistachio,Recacril,,U,,Pistachio.jpg,Gold
Pumpkin,Recacril,,U,,Pumpkin.jpg,Orange
Red Stripe,Recacril,,U,,Red_Stripe.jpg,Red
Salmon,Recacril,,U,,Salmon-Recacril.jpg,Red
Sapphire,Recacril,,U,,Sapphire.jpg,Blue
Steel Blue,Recacril,,U,,Steel_Blue.jpg,Blue
Titanium,Recacril,,U,,Titanium.jpg,Gray
Turquoise,Recacril,,U,,Turquoise.jpg,Turquoise
Turquoise Stripe,Recacril,,U,,Turquoise_Stripe.jpg,Turquoise
Vermillion,Recacril,,U,,Vermillion.jpg,Red
White,Recacril,,U,,White.jpg,White
Yellow,Recacril,,U,,Yellow-Recacril.jpg,Yellow
Yellow Stripe,Recacril,,U,,Yellow_Stripe.jpg,Yellow
Black Onyx,Brisa Leather-Inspired,E,PS|C|V,00393-5749,Black_Onyx.jpg,Black
Buckskin,Brisa Leather-Inspired,E,PS|C|V,00396-3134,Buckskin.jpg,Gray
Burnt Red,Brisa Leather-Inspired,E,PS|C|V,00393-4331,Burnt_Red.jpg,Brown
Chamois,Brisa Leather-Inspired,E,PS|C|V,00396-3024,Chamois.jpg,Beige
Glass,Brisa Leather-Inspired,E,PS|C|V,00393-4529,Glass.jpg,Beige
