db_id,fabric_name,collection,grade,item_number,image_filename,S,A,PS,C,U,V,W
2384,Agate II,Homecrest Slings,B,,Agate_II.jpg,YES,YES,NO,NO,NO,NO,NO
2385,Aluminum,Homecrest Slings,A,,Aluminum.jpg,YES,NO,NO,NO,NO,NO,NO
2386,Bark,Homecrest Slings,B,,Bark.jpg,YES,YES,NO,NO,NO,NO,NO
2387,Battleplan,Homecrest Slings,A,,Battleplan.jpg,YES,NO,NO,NO,NO,NO,NO
2388,Bisque,Homecrest Slings,B,,Bisque.jpg,YES,YES,NO,NO,NO,NO,NO
2389,Cameo II,Homecrest Slings,B,,Cameo_II.jpg,YES,YES,NO,NO,NO,NO,NO
2390,Carbon,Homecrest Slings,A,,Carbon.jpg,YES,NO,NO,NO,NO,NO,YES
2391,Coral,Homecrest Slings,A,,Coral.jpg,YES,NO,NO,NO,NO,NO,NO
2392,Gannon,Homecrest Slings,A,,Gannon.jpg,YES,NO,NO,NO,NO,NO,NO
2393,Glacier,Homecrest Slings,A,,Glacier.jpg,YES,NO,NO,NO,NO,NO,YES
2394,Glassblock,Homecrest Slings,A,,Glassblock.jpg,YES,NO,NO,NO,NO,NO,NO
2395,Hickory,Homecrest Slings,A,,Hickory.jpg,YES,NO,NO,NO,NO,NO,YES
2396,Indigo,Homecrest Slings,A,,Indigo.jpg,YES,NO,NO,NO,NO,NO,YES
2397,Kamali,Homecrest Slings,A,,Kamali.jpg,YES,NO,NO,NO,NO,NO,NO
2398,Kozo,Homecrest Slings,A,,Kozo.jpg,YES,NO,NO,NO,NO,NO,NO
2399,Lagoon,Homecrest Slings,B,,Lagoon.jpg,YES,YES,NO,NO,NO,NO,NO
2400,Millstone,Homecrest Slings,A,,Millstone.jpg,YES,NO,NO,NO,NO,NO,NO
2401,Niko,Homecrest Slings,A,,Niko.jpg,YES,NO,NO,NO,NO,NO,YES
2402,Nova,Homecrest Slings,A,,Nova.jpg,YES,NO,NO,NO,NO,NO,NO
2403,Onyx,Homecrest Slings,A,,Onyx.jpg,YES,NO,NO,NO,NO,NO,YES
2404,Rochester,Homecrest Slings,A,,Rochester.jpg,YES,NO,NO,NO,NO,NO,NO
2405,Rose,Homecrest Slings,A,,Rose.jpg,YES,NO,NO,NO,NO,NO,NO
2406,Salsa,Homecrest Slings,A,,Salsa.jpg,YES,NO,NO,NO,NO,NO,NO
2407,Sandbar,Homecrest Slings,A,,Sandbar.jpg,YES,NO,NO,NO,NO,NO,YES
2408,Seaglass,Homecrest Slings,A,,Seaglass.jpg,YES,NO,NO,NO,NO,NO,NO
2409,Sedona,Homecrest Slings,A,,Sedona.jpg,YES,NO,NO,NO,NO,NO,YES
2410,Shadows,Homecrest Slings,A,,Shadows.jpg,YES,NO,NO,NO,NO,NO,NO
2411,Shelby,Homecrest Slings,A,,Shelby.jpg,YES,NO,NO,NO,NO,NO,NO
2412,Storm,Homecrest Slings,A,,Storm.jpg,YES,NO,NO,NO,NO,NO,YES
2413,Stratus,Homecrest Slings,B,,Stratus.jpg,YES,YES,NO,NO,NO,NO,NO
2414,Umber,Homecrest Slings,A,,Umber.jpg,YES,NO,NO,NO,NO,NO,YES
2415,Walnut,Homecrest Slings,A,,Walnut.jpg,YES,NO,NO,NO,NO,NO,NO
2416,Windsor,Homecrest Slings,A,,Windsor.jpg,YES,NO,NO,NO,NO,NO,NO
2417,Zinc II,Homecrest Slings,B,,Zinc_II.jpg,YES,YES,NO,NO,NO,NO,NO
2435,Beige,Recacril,,,Beige-Recacril.jpg,NO,NO,NO,NO,YES,NO,NO
2436,Black,Recacril,,,Black.jpg,NO,NO,NO,NO,YES,NO,NO
2437,Black Stripe,Recacril,,,Black_Stripe.jpg,NO,NO,NO,NO,YES,NO,NO
