db_sku,db_name,db_category,match_basis,tg_page,document_label,filename,product_url,folder
BASE-AKZ-_,AKZ Base,Umbrella Bases,DB name/SKU series match,AKZ Base,Instruction Manual,TG_BASE-AKZ_Base_Manual_071921.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/akz-base/,accessories/umbrella-bases/cantilever/akz-base
BASE-13R-_,AKZ13 Rolling Base,Umbrella Bases,DB name/SKU series match,AKZ Rolling Base,Manual (English),TG_BASE-13RA_Base_Manual_052323.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/akz-rolling-base/,accessories/umbrella-bases/cantilever/akz-rolling-base
BASE-13R-_,AKZ13 Rolling Base,Umbrella Bases,DB name/SKU series match,AKZ Rolling Base,Manual (French),TG_BASE-13RA_Base_Manual_FRENCH_062923.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/akz-rolling-base/,accessories/umbrella-bases/cantilever/akz-rolling-base
BASE-13-_,AKZ13 Base,Umbrella Bases,DB name/SKU series match,AKZ13 Base,Instruction Manual,TG_BASE-13_Base_Manual_071921.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/akz13-base/,accessories/umbrella-bases/cantilever/akz13-base
AMK-C22,Concrete Mount Kit,Umbrella Bases,DB name/SKU series match,Concrete Mount Kit,INSTRUCTION MANUAL (ENGLISH),TG_AMK_MountKit_Manual_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/concrete-mount-kit/,accessories/umbrella-bases/cantilever/concrete-mount-kit
AMK-C22,Concrete Mount Kit,Umbrella Bases,DB name/SKU series match,Concrete Mount Kit,INSTRUCTION MANUAL (FRENCH),TG_AMK_MountKit_Manual_FRENCH_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/concrete-mount-kit/,accessories/umbrella-bases/cantilever/concrete-mount-kit
AMK-G,In-Ground Mount Kit,Umbrella Bases,DB name/SKU series match,In-Ground Mount Kit,INSTRUCTION MANUAL (ENGLISH),TG_AMK_MountKit_Manual_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/in-ground-mount-kit/,accessories/umbrella-bases/cantilever/in-ground-mount-kit
AMK-G,In-Ground Mount Kit,Umbrella Bases,DB name/SKU series match,In-Ground Mount Kit,INSTRUCTION MANUAL (FRENCH),TG_AMK_MountKit_Manual_FRENCH_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/in-ground-mount-kit/,accessories/umbrella-bases/cantilever/in-ground-mount-kit
AMK-W,Wood Mount Kit,Umbrella Bases,DB name/SKU series match,Wood Mount Kit,INSTRUCTION MANUAL (ENGLISH),TG_AMK_MountKit_Manual_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/wood-mount-kit/,accessories/umbrella-bases/cantilever/wood-mount-kit
AMK-W,Wood Mount Kit,Umbrella Bases,DB name/SKU series match,Wood Mount Kit,INSTRUCTION MANUAL (FRENCH),TG_AMK_MountKit_Manual_FRENCH_082922.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/cantilever/wood-mount-kit/,accessories/umbrella-bases/cantilever/wood-mount-kit
BA50,Art Deco,Umbrella Bases,DB name/SKU series match,Art Deco,INSTRUCTION MANUAL (ENGLISH),TG_BW50_BA50_BG50_BA150_Base_Manual_062823.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/art-deco/,accessories/umbrella-bases/market/art-deco
BA50,Art Deco,Umbrella Bases,DB name/SKU series match,Art Deco,INSTRUCTION MANUAL (FRENCH),TG_BW50_BA50_BG50_BA150_Base_Manual_062923_FRENCH.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/art-deco/,accessories/umbrella-bases/market/art-deco
BTT100,Athens,Umbrella Bases,DB name/SKU series match,Athens,INSTRUCTION MANUAL,SM_Athens_Aurora_Base_Manual_082525.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/athens/,accessories/umbrella-bases/market/athens
BRW100,Aurora,Umbrella Bases,DB name/SKU series match,Aurora,INSTRUCTION MANUAL,SM_Athens_Aurora_Base_Manual_082525.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/aurora/,accessories/umbrella-bases/market/aurora
BW50,Classic,Umbrella Bases,DB name/SKU series match,Classic,INSTRUCTION MANUAL (ENGLISH),TG_BW50_BA50_BG50_BA150_Base_Manual_062823.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/classic/,accessories/umbrella-bases/market/classic
BW50,Classic,Umbrella Bases,DB name/SKU series match,Classic,INSTRUCTION MANUAL (FRENCH),TG_BW50_BA50_BG50_BA150_Base_Manual_062923_FRENCH.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/classic/,accessories/umbrella-bases/market/classic
BA150,Commercial,Umbrella Bases,DB name/SKU series match,Commercial,INSTRUCTION MANUAL (ENGLISH),TG_BW50_BA50_BG50_BA150_Base_Manual_062823.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/commercial/,accessories/umbrella-bases/market/commercial
BA150,Commercial,Umbrella Bases,DB name/SKU series match,Commercial,INSTRUCTION MANUAL (FRENCH),TG_BW50_BA50_BG50_BA150_Base_Manual_062923_FRENCH.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/commercial/,accessories/umbrella-bases/market/commercial
MKC23,Concrete Mount Kit,Umbrella Bases,DB name/SKU series match,Concrete Mount Kit,INSTRUCTION MANUAL,SM_Mount_Kits_Manual_122722.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/concrete-mount-kit/,accessories/umbrella-bases/market/concrete-mount-kit
BG50,Garden,Umbrella Bases,DB name/SKU series match,Garden,INSTRUCTION MANUAL (ENGLISH),TG_BW50_BA50_BG50_BA150_Base_Manual_062823.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/garden/,accessories/umbrella-bases/market/garden
BG50,Garden,Umbrella Bases,DB name/SKU series match,Garden,INSTRUCTION MANUAL (FRENCH),TG_BW50_BA50_BG50_BA150_Base_Manual_062923_FRENCH.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/garden/,accessories/umbrella-bases/market/garden
MKG23,In-Ground Mount Kit,Umbrella Bases,DB name/SKU series match,In-Ground Mount Kit,INSTRUCTION MANUAL,SM_Mount_Kits_Manual_122722.pdf,https://treasuregarden.com/collections/accessories/umbrella-bases/market/in-ground-mount-kit/,accessories/umbrella-bases/market/in-ground-mount-kit
