Name,SKU,Grade,Fabric Collection,Color Family,Orientation,Repeat,Group,Source URL
Beckon Hemp,RV01,AA,"Revolution, Revolution",Brown,Railroad,,Revolution,https://www.owlee.com/fabrics/beckon-hemp/
Beckon Shell,RV03,AA,"Revolution, Revolution",Brown,Railroad,,Revolution,https://www.owlee.com/fabrics/beckon-shell/
Big Idea Indigo,RV28,AA,"Revolution, Revolution",Blue,Railroad,,Revolution,https://www.owlee.com/fabrics/big-idea-indigo/
Big Idea Steel,,AA,"Revolution, Revolution","Grey, Black",Railroad,,Revolution,https://www.owlee.com/fabrics/big-idea-steel/
Chinchilla Aluminum,RV19,B,"Revolution, Revolution",Blue,Railroad,,Revolution,https://www.owlee.com/fabrics/chinchilla-aluminum/
Chinchilla White,RV24,B,"Revolution, Revolution",White,Railroad,,Revolution,https://www.owlee.com/fabrics/chinchilla-white/
Falcon Sand,RV26,AA,"Revolution, Revolution","Beige, Brown",Railroad,,Revolution,https://www.owlee.com/fabrics/falcon-sand/
Falcon Spa,RV15,AA,"Revolution, Revolution","Beige, Grey, Green",Railroad,,Revolution,https://www.owlee.com/fabrics/falcon-spa/
Falcon White,RV27,AA,"Revolution, Revolution",White,Railroad,,Revolution,https://www.owlee.com/fabrics/falcon-white/
Hayden Taupe,RV22,AA,"Revolution, Revolution","Beige, Brown",Railroad,,Revolution,https://www.owlee.com/fabrics/hayden-taupe/
Liberty Charcoal,RV17,C,"Revolution, Revolution","Beige, Grey, Black",Railroad,"10"" x 9.5""",Revolution,https://www.owlee.com/fabrics/liberty-charcoal/
Muscle Beach Grey,RV21,AA,"Revolution, Revolution",Grey,Railroad,,Revolution,https://www.owlee.com/fabrics/muscle-beach-grey/
Muscle Beach Tweed,RV18,AA,"Revolution, Revolution",Brown,Railroad,,Revolution,https://www.owlee.com/fabrics/muscle-beach-tweed/
Pyrenees White,RV25,C,"Revolution, Revolution","Beige, White",Up the Roll,"7"" x 7.25""",Revolution,https://www.owlee.com/fabrics/pyrenees-white/
Recess Smoke,RV23,C,"Revolution, Revolution","Beige, Brown, White",Up the Roll,"3.5"" x 1.75""",Revolution,https://www.owlee.com/fabrics/recess-smoke/
Vacation Aqua,RV20,C,"Revolution, Revolution","Beige, Brown, Blue",Up the Roll,"3.5"" x 5.5""",Revolution,https://www.owlee.com/fabrics/vacation-aqua/
Vacation Blue,RV29,C,"Revolution, Revolution","Beige, Brown, Blue",Up the Roll,"3.5"" x 5.5""",Revolution,https://www.owlee.com/fabrics/vacation-blue/
Vacation Mist,RV14,C,"Revolution, Revolution","Beige, Grey, Green, White",Up the Roll,"3.5"" x 5.5""",Revolution,https://www.owlee.com/fabrics/vacation-mist/
Zenith Sand,RV13,AA,"Revolution, Revolution","Beige, Brown",Railroad,,Revolution,https://www.owlee.com/fabrics/zenith-sand/
Chartres Cloud,GT77,B,"Sunbrella, Coastal",White,Railroad,"28"" x 28""",Coastal,https://www.owlee.com/fabrics/chartres-cloud/
Piazza Cloud,GT79,B,"Sunbrella, Coastal",White,Up,"11.25"" x 0""",Coastal,https://www.owlee.com/fabrics/piazza-cloud/
Posh Snow,GT78,C,"Sunbrella, Coastal","Beige, White",Railroad,,Coastal,https://www.owlee.com/fabrics/posh-snow/
Augustine Alloy,SL21,A,"Sunbrella, Sunbrella Sling","Beige, Grey",Up the Roll,,,https://www.owlee.com/fabrics/augustine-alloy/
Augustine Ashe,SL19,A,"Sunbrella, Sunbrella Sling","Beige, Brown",Up the Roll,,,https://www.owlee.com/fabrics/augustine-ashe/
Augustine Denim,SL15,A,"Sunbrella, Sunbrella Sling",Blue,Up the Roll,,,https://www.owlee.com/fabrics/augustine-denim/
Augustine Fennel,SL13,A,"Sunbrella, Sunbrella Sling","Beige, Brown",Up the Roll,,,https://www.owlee.com/fabrics/augustine-fennel/
Augustine Gravel,SL10,A,"Sunbrella, Sunbrella Sling","Beige, Brown",,,,https://www.owlee.com/fabrics/augustine-gravel/
Augustine Oasis,SL20,A,"Sunbrella, Sunbrella Sling",Blue,Up the Roll,,,https://www.owlee.com/fabrics/augustine-oasis/
Augustine Pewter,SL17,A,"Sunbrella, Sunbrella Sling",Grey,,,,https://www.owlee.com/fabrics/augustine-pewter/
Augustine Shadow,SL22,A,"Sunbrella, Sunbrella Sling","Brown, Grey, Black",Up the Roll,,,https://www.owlee.com/fabrics/augustine-shadow/
Augustine Silver,SL16,,"Sunbrella, Sunbrella Sling",Grey,Up the Roll,,,https://www.owlee.com/fabrics/augustine-silver/
Burdock Smoke,SL23,A,"Sunbrella, Sunbrella Sling",Grey,Up the Roll,,,https://www.owlee.com/fabrics/burdock-smoke/
Collect Indigo,SL09,A,"Sunbrella, Sunbrella Sling",Blue,Up the Roll,,,https://www.owlee.com/fabrics/collect-indigo/
Logan Graphite,SL02,A,"Sunbrella, Sunbrella Sling","Grey, Black",Up the Roll,,,https://www.owlee.com/fabrics/logan-graphite/
Pueblo Dune,SL24,A,"Sunbrella, Sunbrella Sling","Beige, Brown",Up the Roll,,,https://www.owlee.com/fabrics/pueblo-dune/
Sailing Salt,SL03,C,"Sunbrella, Sunbrella Sling","Beige, White",Up the Roll,,,https://www.owlee.com/fabrics/sailing-salt/
Sailing Seagull,SL04,C,"Sunbrella, Sunbrella Sling","Beige, Grey",Up the Roll,,,https://www.owlee.com/fabrics/sailing-seagull/
Site Linen,SL25,C,"Sunbrella, Sunbrella Sling","Beige, Yellow, White",Up the Roll,,,https://www.owlee.com/fabrics/site-linen/
Abra Denim,GS89,D,"Sunbrella, World Of Color","Beige, Blue, Grey",Railroad,14″x14″,Whistler,https://www.owlee.com/fabrics/abra-denim/
Alvarez Indigo,GT03,B,"Sunbrella, World Of Color","Blue, White",Rail Road,"4.75""x4.75""",,https://www.owlee.com/fabrics/alvarez-indigo/
Belgian Linen Sand,GL90,A,"Sunbrella, World Of Color","Beige, Yellow",Railroad,,Nantucket,https://www.owlee.com/fabrics/belgian-linen-sand/
Capra Shadow,GT05,B,"Sunbrella, World Of Color","Grey, Black, White",Rail Road,"5.5""x5""",,https://www.owlee.com/fabrics/capra-shadow/
Chartres Graphite,GT09,B,"Sunbrella, World Of Color",Grey,Rail Road,,,https://www.owlee.com/fabrics/chartres-graphite/
