sku,item_name,msrp_frame,aa_fabrics,a_fabrics,b_fabrics,c_fabrics,d_fabrics,frame_only_available
3433-S,Dining Side Chair,884.00,1149.00,1180.80,1216.42,1256.31,1300.98,Yes
3433-A,Dining Arm Chair,1072.00,1337.00,1368.80,1404.42,1444.31,1488.98,Yes
3433-SR,Swivel Rocker Dining Arm Chair,1455.00,1720.00,1751.80,1787.42,1827.31,1871.98,Yes
3433-CS,Counter Stool,1108.00,1373.00,1404.80,1440.42,1480.31,1524.98,Yes
3433-BS,Bar Stool,1108.00,1373.00,1404.80,1440.42,1480.31,1524.98,Yes
34184-CC,Lounge Chair,1563.00,2354.00,2448.92,2555.23,2674.30,2807.65,Yes
34184-SR,Swivel Rocker Lounge Chair,1817.00,2608.00,2702.92,2809.23,2928.30,3061.65,Yes
34184-2S,Love Seat,2258.00,3840.00,4029.84,4242.46,4480.60,4747.31,Yes
34184-3S,Sofa,3057.00,5430.00,5714.76,6033.69,6390.89,6790.96,Yes
34185-L,Left Sectional,1563.00,2438.00,2543.00,2660.60,2792.31,2939.83,Yes
34185-R,Right Sectional,1563.00,2438.00,2543.00,2660.60,2792.31,2939.83,Yes
34185-C,Center Sectional,1469.00,2344.00,2449.00,2566.60,2698.31,2845.83,Yes
34185-CR,Corner Sectional,1781.00,3031.00,3181.00,3349.00,3537.16,3747.90,Yes
34170-O,Arc Ottoman,686.00,1043.00,1085.84,1133.82,1187.56,1247.75,Yes
34198-CH,Arc Sling Adjustable Chaise Lounge,,2429.00,2749.00,2787.00,2829.96,2878.08,No
2731-S,Dining Side Chair,983.00,1228.00,1257.40,1290.33,1327.21,1368.51,Yes
2733-A,Dining Arm Chair,1191.00,1456.00,1487.80,1523.42,1563.31,1607.98,Yes
2733-SR,Swivel Rocker Dining Arm Chair,1617.00,1882.00,1913.80,1949.42,1989.31,2033.98,Yes
2731-MCS,Backless Counter Stool,861.00,1106.00,1135.40,1168.33,1205.21,1246.51,Yes
2731-CS,Armless Counter Stool,1231.00,1476.00,1505.40,1538.33,1575.21,1616.51,Yes
2731-MBS,Backless Bar Stool,861.00,1106.00,1135.40,1168.33,1205.21,1246.51,Yes
2731-BS,Armless Bar Stool,1231.00,1476.00,1505.40,1538.33,1575.21,1616.51,Yes
27175-CC,Lounge Chair,1737.00,2529.00,2624.04,2730.48,2849.70,2983.23,Yes
27175-SR,Swivel Rocker Lounge Chair,2019.00,2811.00,2906.04,3012.48,3131.70,3265.23,Yes
27175-2S,Love Seat,2508.00,4092.00,4282.08,4494.97,4733.41,5000.45,Yes
27175-3S,Sofa,3396.00,5772.00,6057.12,6376.45,6734.11,7134.68,Yes
27275-SR,Max Swivel Rocker Lounge Chair,2322.00,3232.00,3341.20,3463.50,3600.48,3753.90,Yes
27276-2S,Max Love Seat,2759.00,4501.00,4710.04,4944.16,5206.38,5500.07,Yes
27277-3S,Max Sofa,3668.00,6233.00,6540.80,6885.54,7271.64,7704.08,Yes
27170-O,Ottoman,763.00,1120.00,1162.84,1210.82,1264.56,1324.75,Yes
27179-CH,Chaise Lounge,2547.00,3674.00,3809.24,3960.71,4130.35,4320.36,Yes
65192-A,Sling Dining Chair,,,1370.00,,1446.57,,No
65192-SR,Sling Swivel Rocker Dining Chair,,,1727.00,,1803.57,,No
65192P-A,Padded Sling Dining Arm Chair,,1633.00,1700.68,1776.48,1861.38,1956.46,No
65192P-SR,Padded Sling Swivel Rocker Dining Arm Chair,,1990.00,2057.68,2133.48,2218.38,2313.46,No
65156-CC,Lounge Chair,1346.00,2137.00,2231.92,2338.23,2457.30,2590.65,Yes
65156-SR,Swivel Rocker Lounge Chair,1579.00,2370.00,2464.92,2571.23,2690.30,2823.65,Yes
65156-2S,Love Seat,2151.00,3733.00,3922.84,4135.46,4373.60,4640.31,Yes
65156-3S,Sofa,2757.00,5130.00,5414.76,5733.69,6090.89,6490.96,Yes
65168-3S,Crescent Sofa,2959.00,5677.00,6003.16,6368.46,6777.59,7235.83,Yes
6590-O,Ottoman,784.00,1141.00,1183.84,1231.82,1285.56,1345.75,Yes
65198-CHW,Sling Chaise w/ Wheels,,,2375.00,,2466.08,,No
951-S,Dining Side Chair,775.00,1008.00,1035.96,1067.28,1102.35,1141.63,Yes
951-SCS,Armless Swivel Counter Stool,1164.00,1397.00,1424.96,1456.28,1491.35,1530.63,Yes
951-SBS,Armless Swivel Bar Stool,1164.00,1397.00,1424.96,1456.28,1491.35,1530.63,Yes
953-AW,Dining Arm Chair,877.00,1131.00,1161.48,1195.62,1233.85,1276.67,Yes
953-SRW,Swivel Rocker Dining Arm Chair,1191.00,1445.00,1475.48,1509.62,1547.85,1590.67,Yes
953-SCSW,Swivel Counter Stool,1275.00,1529.00,1559.48,1593.62,1631.85,1674.67,Yes
953-SBSW,Swivel Bar Stool,1275.00,1529.00,1559.48,1593.62,1631.85,1674.67,Yes
942-SRW,Swivel Rocker Club Dining Arm Chair,1465.00,2012.00,2077.64,2151.16,2233.50,2325.72,Yes
956-CCW,Lounge Chair,1295.00,1987.00,2070.04,2163.04,2267.21,2383.88,Yes
956-SBT,Spring Base Lounge Chair,1511.00,2203.00,2286.04,2379.04,2483.21,2599.88,Yes
956-SRW,Swivel Rocker Lounge Chair,1609.00,2301.00,2384.04,2477.04,2581.21,2697.88,Yes
937-SBW,High-Back Spring Base Lounge Chair,1671.00,2399.00,2486.36,2584.20,2693.79,2816.52,Yes
937-SRW,High-Back Swivel Rocker,1797.00,2525.00,2612.36,2710.20,2819.79,2942.52,Yes
956-2SW,Love Seat,2025.00,3409.00,3575.08,3761.09,3969.42,4202.75,Yes
956-3SW,Sofa,2504.00,4580.00,4829.12,5108.13,5420.63,5770.63,Yes
950-OW,Ottoman,921.00,1294.00,1338.76,1388.89,1445.04,1507.92,Yes
952-CHW,Chaise,2078.00,2936.00,3038.96,3154.28,3283.43,3428.08,Yes
62109-CC,Lounge Chair,984.00,1765.00,1858.72,1963.69,2081.25,2212.92,Yes
62109-SR,Swivel Rocker Lounge Chair,1250.00,2031.00,2124.72,2229.69,2347.25,2478.92,Yes
62109-2S,Love Seat,1641.00,3203.00,3390.44,3600.37,3835.50,4098.84,Yes
62109-3S,Sofa,2125.00,4468.00,4749.16,5064.06,5416.75,5811.76,Yes
62170-O,Ottoman,703.00,1060.00,1102.84,1150.82,1204.56,1264.75,Yes
37192-A,Sling Dining Chair,,,1321.00,,1397.57,,No
37192-SR,Sling Swivel Rocker Dining Chair,,,1678.00,,1754.57,,No
37192P-A,Padded Sling Dining Arm Chair,,1584.00,1651.68,1727.48,1812.38,1907.46,No
37192P-SR,Padded Sling Swivel Rocker Dining Arm Chair,,1941.00,2008.68,2084.48,2169.38,2264.46,No
3733-S,Dining Side Chair,893.00,1158.00,1189.80,1225.42,1265.31,1309.98,Yes
3733-A,Dining Chair,940.00,1205.00,1236.80,1272.42,1312.31,1356.98,Yes
3733-SR,Swivel Rocker Dining Chair,1255.00,1520.00,1551.80,1587.42,1627.31,1671.98,Yes
3733-CS,Counter Stool,1068.00,1333.00,1364.80,1400.42,1440.31,1484.98,Yes
3733-BS,Bar Stool,1068.00,1333.00,1364.80,1400.42,1440.31,1484.98,Yes
37165-CC,Lounge Chair,1213.00,1989.00,2082.12,2186.41,2303.22,2434.05,Yes
37165-SR,Swivel Rocker Lounge Chair,1429.00,2205.00,2298.12,2402.41,2519.22,2650.05,Yes
37165-2S,Love Seat,1897.00,3449.00,3635.24,3843.83,4077.45,4339.10,Yes
37165-3S,Sofa,2411.00,4739.00,5018.36,5331.24,5681.67,6074.15,Yes
37170-O,Ottoman,842.00,1199.00,1241.84,1289.82,1343.56,1403.75,Yes
37198-CH,Sling Chaise,,,2375.00,,2466.08,,No
404-A,Dining Arm Chair,818.00,1087.00,1119.28,1155.43,1195.93,1241.28,Yes
404-SR,Dining Swivel Rocker Arm Chair,1213.00,1482.00,1514.28,1550.43,1590.93,1636.28,Yes
404-SCS,Swivel Counter Stool,1289.00,1558.00,1590.28,1626.43,1666.93,1712.28,Yes
404-SBS,Swivel Bar Stool,1289.00,1558.00,1590.28,1626.43,1666.93,1712.28,Yes
424-MSB,Urban Scale Spring Base Lounge Arm Chair,1392.00,2193.00,2289.12,2396.77,2517.35,2652.39,Yes
424-MSR,Urban Scale Swivel Rocker Lounge Arm Chair,1474.00,2275.00,2371.12,2478.77,2599.35,2734.39,Yes
423-2MS,Urban Scale Crescent Love Seat,1781.00,4171.00,4457.80,4779.02,5138.78,5541.71,Yes
424-2MS,Urban Scale Love Seat,1749.00,3832.00,4081.96,4361.92,4675.47,5026.64,Yes
424-3MS,Urban Scale Sofa,2188.00,4829.00,5145.92,5500.87,5898.41,6343.66,Yes
