table_top_sku,base_sku
#K-24RDS,ST01-BASE
#K-24RDS,DT01-BASE
#K-24RDS,CT01-BASE
#K-24RDS,BT01-BASE
#K-24RDS,AT-DT01
#K-24RDS,AT-CT01
#K-24RDS,MA-ST01
#K-24RDS,37-ST01
#K-24RDS,9-ST01
#K-24SQS,ST01-BASE
#K-24SQS,DT01-BASE
#K-24SQS,CT01-BASE
#K-24SQS,BT01-BASE
#K-24SQS,AT-DT01
#K-24SQS,AT-CT01
#K-24SQS,MA-ST01
#K-24SQS,37-ST01
#K-24SQS,9-ST01
#K-54RDS,OT03-BASE
#K-54RDS,DT03-BASE
#K-54RDS,CT03-BASE
#K-54RDS,BT03-BASE
#K-54RDS,AT-DT03
#K-54RDS,AT-CT03
#K-54RDS,MA-OT03
#K-54RDS,MA-DT03
#K-54RDS,MA-CT03
#K-54RDS,MA-BT03
#K-54RDS,37-DT03
#K-54RDS,9-DT03
#K-54RDSU,OT03-BASE
#K-54RDSU,DT03-BASE
#K-54RDSU,CT03-BASE
#K-54RDSU,BT03-BASE
#K-54RDSU,AT-DT03
#K-54RDSU,AT-CT03
#K-54RDSU,MA-OT03
#K-54RDSU,MA-DT03
#K-54RDSU,MA-CT03
#K-54RDSU,MA-BT03
#K-54RDSU,37-DT03
#K-54RDSU,9-DT03
#K-3156S,OT05-BASE
#K-3156S,DT05-BASE
#K-3156S,MA-OT05
#K-3156S,MA-CT05
#K-3156S,MA-BT05
#K-3156S,37-OT05
#K-3156S,9-OT05
#K-3156SU,OT05-BASE
#K-3156SU,DT05-BASE
#K-3156SU,MA-OT05
#K-3156SU,MA-CT05
#K-3156SU,MA-BT05
#K-3156SU,37-OT05
#K-3156SU,9-OT05
#K-4284S,AT-DT07
#K-4284S,MA-DT07
#K-4284S,PA-DT07
#K-4284S,37-DT07
#K-4284S,9-DT07
#K-4284SU,AT-DT07
#K-4284SU,MA-DT07
#K-4284SU,PA-DT07
#K-4284SU,37-DT07
#K-4284SU,9-DT07
#K-24RDT,ST01-BASE
#K-24RDT,DT01-BASE
#K-24RDT,CT01-BASE
#K-24RDT,BT01-BASE
#K-24RDT,AT-DT01
#K-24RDT,AT-CT01
#K-24RDT,MA-ST01
#K-24RDT,37-ST01
#K-24RDT,9-ST01
#K-24SQT,ST01-BASE
#K-24SQT,DT01-BASE
#K-24SQT,CT01-BASE
#K-24SQT,BT01-BASE
#K-24SQT,AT-DT01
#K-24SQT,AT-CT01
#K-24SQT,MA-ST01
#K-24SQT,37-ST01
#K-24SQT,9-ST01
#K-54RDT,OT03-BASE
#K-54RDT,DT03-BASE
#K-54RDT,CT03-BASE
#K-54RDT,BT03-BASE
#K-54RDT,AT-DT03
#K-54RDT,AT-CT03
#K-54RDT,MA-OT03
#K-54RDT,MA-DT03
#K-54RDT,MA-CT03
#K-54RDT,MA-BT03
#K-54RDT,37-DT03
#K-54RDT,9-DT03
#K-54RDTU,OT03-BASE
#K-54RDTU,DT03-BASE
#K-54RDTU,CT03-BASE
#K-54RDTU,BT03-BASE
#K-54RDTU,AT-DT03
#K-54RDTU,AT-CT03
#K-54RDTU,MA-OT03
#K-54RDTU,MA-DT03
#K-54RDTU,MA-CT03
#K-54RDTU,MA-BT03
#K-54RDTU,37-DT03
#K-54RDTU,9-DT03
#K-3156T,OT05-BASE
#K-3156T,DT05-BASE
#K-3156T,MA-OT05
#K-3156T,MA-CT05
#K-3156T,MA-BT05
#K-3156T,37-OT05
#K-3156T,9-OT05
#K-3156TU,OT05-BASE
#K-3156TU,DT05-BASE
#K-3156TU,MA-OT05
#K-3156TU,MA-CT05
#K-3156TU,MA-BT05
#K-3156TU,37-OT05
#K-3156TU,9-OT05
#K-4284T,AT-DT07
#K-4284T,MA-DT07
#K-4284T,PA-DT07
#K-4284T,37-DT07
#K-4284T,9-DT07
#K-4284TU,AT-DT07
#K-4284TU,MA-DT07
#K-4284TU,PA-DT07
#K-4284TU,37-DT07
#K-4284TU,9-DT07
#P-24D,ST01-BASE
#P-24D,DT01-BASE
#P-24D,CT01-BASE
#P-24D,BT01-BASE
#P-24D,AT-DT01
#P-24D,AT-CT01
#P-24D,MA-ST01
#P-24D,37-ST01
#P-24D,9-ST01
#P-30D,ST01-BASE
#P-30D,DT01-BASE
#P-30D,CT01-BASE
#P-30D,BT01-BASE
#P-30D,AT-DT01
#P-30D,AT-CT01
#P-30D,MA-ST01
#P-30D,37-ST01
#P-30D,9-ST01
#P-42D,OT03-BASE
#P-42D,DT03-BASE
#P-42D,CT03-BASE
#P-42D,BT03-BASE
#P-42D,AT-DT03
#P-42D,AT-CT03
#P-42D,MA-OT03
#P-42D,MA-DT03
#P-42D,MA-CT03
#P-42D,MA-BT03
#P-42D,37-DT03
#P-42D,9-DT03
#P-42UD,OT03-BASE
#P-42UD,DT03-BASE
#P-42UD,CT03-BASE
#P-42UD,BT03-BASE
#P-42UD,AT-DT03
#P-42UD,AT-CT03
#P-42UD,MA-OT03
#P-42UD,MA-DT03
#P-42UD,MA-CT03
#P-42UD,MA-BT03
#P-42UD,37-DT03
#P-42UD,9-DT03
#P-54D,DT03-BASE
#P-54D,AT-DT03
#P-54D,MA-DT03
#P-54D,37-DT03
#P-54D,9-DT03
#P-54UD,DT03-BASE
#P-54UD,AT-DT03
#P-54UD,MA-DT03
#P-54UD,37-DT03
#P-54UD,9-DT03
#P-2850RTD,OT05-BASE
#P-2850RTD,DT05-BASE
#P-2850RTD,MA-OT05
#P-2850RTD,MA-CT05
#P-2850RTD,MA-BT05
#P-2850RTD,37-OT05
#P-2850RTD,9-OT05
#P-3658RTD,OT05-BASE
#P-3658RTD,DT05-BASE
#P-3658RTD,MA-OT05
#P-3658RTD,MA-CT05
#P-3658RTD,MA-BT05
#P-3658RTD,37-OT05
#P-3658RTD,9-OT05
#P-3658RTUD,OT05-BASE
#P-3658RTUD,DT05-BASE
#P-3658RTUD,MA-OT05
#P-3658RTUD,MA-CT05
#P-3658RTUD,MA-BT05
#P-3658RTUD,37-OT05
#P-3658RTUD,9-OT05
#P-4272RTD,DT07-BASE
#P-4272RTD,AT-DT07
#P-4272RTD,MA-DT07
#P-4272RTD,PA-DT07
#P-4272RTD,37-DT07
#P-4272RTD,9-DT07
#P-4272RTUD,DT07-BASE
#P-4272RTUD,AT-DT07
#P-4272RTUD,MA-DT07
#P-4272RTUD,PA-DT07
#P-4272RTUD,37-DT07
#P-4272RTUD,9-DT07
#P-4284RTD,DT07-BASE
#P-4284RTD,AT-DT07
#P-4284RTD,MA-DT07
#P-4284RTD,PA-DT07
#P-4284RTD,37-DT07
#P-4284RTD,9-DT07
#P-4284RTUD,DT07-BASE
#P-4284RTUD,AT-DT07
#P-4284RTUD,MA-DT07
#P-4284RTUD,PA-DT07
#P-4284RTUD,37-DT07
#P-4284RTUD,9-DT07
#P-42120RTD,AT-DT10
#P-42120RTD,MA-DT10
#P-24SQD,ST01-BASE
#P-24SQD,DT01-BASE
#P-24SQD,CT01-BASE
#P-24SQD,BT01-BASE
#P-24SQD,AT-DT01
#P-24SQD,AT-CT01
#P-24SQD,MA-ST01
#P-24SQD,37-ST01
#P-24SQD,9-ST01
#P-36SQD,OT03-BASE
#P-36SQD,DT03-BASE
#P-36SQD,CT03-BASE
#P-36SQD,BT03-BASE
#P-36SQD,AT-DT03
#P-36SQD,AT-CT03
#P-36SQD,MA-OT03
#P-36SQD,MA-DT03
#P-36SQD,MA-CT03
#P-36SQD,MA-BT03
#P-36SQD,37-DT03
#P-36SQD,9-DT03
#P-42SQD,OT03-BASE
#P-42SQD,DT03-BASE
#P-42SQD,CT03-BASE
#P-42SQD,BT03-BASE
#P-42SQD,AT-DT03
#P-42SQD,AT-CT03
#P-42SQD,MA-OT03
#P-42SQD,MA-DT03
#P-42SQD,MA-CT03
#P-42SQD,MA-BT03
#P-42SQD,37-DT03
#P-42SQD,9-DT03
#P-42SQUD,OT03-BASE
#P-42SQUD,DT03-BASE
#P-42SQUD,CT03-BASE
#P-42SQUD,BT03-BASE
#P-42SQUD,AT-DT03
#P-42SQUD,AT-CT03
#P-42SQUD,MA-OT03
#P-42SQUD,MA-DT03
#P-42SQUD,MA-CT03
#P-42SQUD,MA-BT03
#P-42SQUD,37-DT03
#P-42SQUD,9-DT03
#E-24D,ST01-BASE
#E-24D,DT01-BASE
#E-24D,CT01-BASE
#E-24D,BT01-BASE
#E-24D,AT-DT01
#E-24D,AT-CT01
#E-24D,MA-ST01
#E-24D,37-ST01
#E-24D,9-ST01
#E-30D,ST01-BASE
#E-30D,DT01-BASE
#E-30D,CT01-BASE
#E-30D,BT01-BASE
#E-30D,AT-DT01
#E-30D,AT-CT01
#E-30D,MA-ST01
#E-30D,37-ST01
#E-30D,9-ST01
#E-42D,OT03-BASE
#E-42D,DT03-BASE
#E-42D,CT03-BASE
#E-42D,BT03-BASE
#E-42D,AT-DT03
#E-42D,AT-CT03
#E-42D,MA-OT03
#E-42D,MA-DT03
#E-42D,MA-CT03
#E-42D,MA-BT03
#E-42D,37-DT03
#E-42D,9-DT03
#E-42UD,OT03-BASE
#E-42UD,DT03-BASE
#E-42UD,CT03-BASE
#E-42UD,BT03-BASE
#E-42UD,AT-DT03
#E-42UD,AT-CT03
#E-42UD,MA-OT03
#E-42UD,MA-DT03
#E-42UD,MA-CT03
#E-42UD,MA-BT03
#E-42UD,37-DT03
#E-42UD,9-DT03
#E-54D,DT03-BASE
#E-54D,AT-DT03
#E-54D,MA-DT03
#E-54D,37-DT03
#E-54D,9-DT03
#E-54UD,DT03-BASE
#E-54UD,AT-DT03
#E-54UD,MA-DT03
#E-54UD,37-DT03
#E-54UD,9-DT03
#E-2850RTD,OT05-BASE
#E-2850RTD,DT05-BASE
#E-2850RTD,MA-OT05
#E-2850RTD,MA-CT05
#E-2850RTD,MA-BT05
#E-2850RTD,37-OT05
#E-2850RTD,9-OT05
#E-3658RTD,OT05-BASE
#E-3658RTD,DT05-BASE
#E-3658RTD,MA-OT05
#E-3658RTD,MA-CT05
#E-3658RTD,MA-BT05
#E-3658RTD,37-OT05
#E-3658RTD,9-OT05
#E-3658RTUD,OT05-BASE
#E-3658RTUD,DT05-BASE
#E-3658RTUD,MA-OT05
#E-3658RTUD,MA-CT05
#E-3658RTUD,MA-BT05
#E-3658RTUD,37-OT05
#E-3658RTUD,9-OT05
#E-4272RTD,DT07-BASE
#E-4272RTD,AT-DT07
#E-4272RTD,MA-DT07
#E-4272RTD,PA-DT07
#E-4272RTD,37-DT07
#E-4272RTD,9-DT07
#E-4272RTUD,DT07-BASE
#E-4272RTUD,AT-DT07
#E-4272RTUD,MA-DT07
#E-4272RTUD,PA-DT07
#E-4272RTUD,37-DT07
#E-4272RTUD,9-DT07
#E-4284RTD,DT07-BASE
#E-4284RTD,AT-DT07
#E-4284RTD,MA-DT07
#E-4284RTD,PA-DT07
#E-4284RTD,37-DT07
#E-4284RTD,9-DT07
#E-4284RTUD,DT07-BASE
#E-4284RTUD,AT-DT07
#E-4284RTUD,MA-DT07
#E-4284RTUD,PA-DT07
#E-4284RTUD,37-DT07
#E-4284RTUD,9-DT07
#E-42120RTD,AT-DT10
#E-42120RTD,MA-DT10
#E-24SQD,ST01-BASE
#E-24SQD,DT01-BASE
#E-24SQD,CT01-BASE
#E-24SQD,BT01-BASE
#E-24SQD,AT-DT01
#E-24SQD,AT-CT01
#E-24SQD,MA-ST01
#E-24SQD,37-ST01
#E-24SQD,9-ST01
#E-36SQD,OT03-BASE
#E-36SQD,DT03-BASE
#E-36SQD,CT03-BASE
#E-36SQD,BT03-BASE
#E-36SQD,AT-DT03
#E-36SQD,AT-CT03
#E-36SQD,MA-OT03
#E-36SQD,MA-DT03
#E-36SQD,MA-CT03
#E-36SQD,MA-BT03
#E-36SQD,37-DT03
#E-36SQD,9-DT03
#E-42SQD,OT03-BASE
#E-42SQD,DT03-BASE
#E-42SQD,CT03-BASE
#E-42SQD,BT03-BASE
#E-42SQD,AT-DT03
#E-42SQD,AT-CT03
#E-42SQD,MA-OT03
#E-42SQD,MA-DT03
#E-42SQD,MA-CT03
#E-42SQD,MA-BT03
#E-42SQD,37-DT03
#E-42SQD,9-DT03
#E-42SQUD,OT03-BASE
#E-42SQUD,DT03-BASE
#E-42SQUD,CT03-BASE
#E-42SQUD,BT03-BASE
#E-42SQUD,AT-DT03
#E-42SQUD,AT-CT03
#E-42SQUD,MA-OT03
