sku,product_name,num_colors,colors_available,image_files_by_color,notes
SL-calirondack,Calirondack,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-calirondack_black.png | White: SL-calirondack_white.png | Charcoal: SL-calirondack_charcoal.png | Dove Grey: SL-calirondack_dove-grey.png | Sea Glass: SL-calirondack_sea-glass.png | Weatherwood: SL-calirondack_weatherwood.png,
SL-classic-adirondack,Classic Adirondack,5,"Black, White, Charcoal, Dove Grey, Sea Glass",Black: SL-classic-adirondack_black.png | White: SL-classic-adirondack_white.png | Charcoal: SL-classic-adirondack_charcoal.png | Dove Grey: SL-classic-adirondack_dove-grey.png | Sea Glass: SL-classic-adirondack_sea-glass.png,
SL-rocking-adirondack-chair,Rocking Adirondack Chair,5,"Black, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-rocking-adirondack-chair_black.png | Charcoal: SL-rocking-adirondack-chair_charcoal.png | Dove Grey: SL-rocking-adirondack-chair_dove-grey.png | Sea Glass: SL-rocking-adirondack-chair_sea-glass.png | Weatherwood: SL-rocking-adirondack-chair_weatherwood.png,
SL-classic-adirondack-ottoman,Classic Adirondack Ottoman,4,"White, Charcoal, Dove Grey, Weatherwood",White: SL-classic-adirondack-ottoman_white.png | Charcoal: SL-classic-adirondack-ottoman_charcoal-grey.png | Dove Grey: SL-classic-adirondack-ottoman_dove-grey.png | Weatherwood: SL-classic-adirondack-ottoman_weatherwood.png,
SL-rocker-adirondack,Rocker Adirondack,6,"Black, Charcoal, Dove Grey, Sea Glass, Weatherwood, Two Tone",Black: SL-rocker-adirondack_black.png | Charcoal: SL-rocker-adirondack_charcoal.png | Dove Grey: SL-rocker-adirondack_dove-grey.png | Sea Glass: SL-rocker-adirondack_sea-glass.png | Weatherwood: SL-rocker-adirondack_weatherwood.png | Two Tone: SL-rocker-adirondack_two-tone.png,
SL-modern-adirondack,Modern Adirondack,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-modern-adirondack_black.png | White: SL-modern-adirondack_white.png | Charcoal: SL-modern-adirondack_charcoal.png | Dove Grey: SL-modern-adirondack_dove-grey.png | Sea Glass: SL-modern-adirondack_sea-glass.png | Weatherwood: SL-modern-adirondack_weatherwood.png,
SL-adirondack-tete-a-tete,Adirondack Tete a Tete,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-adirondack-tete-a-tete_black.png | White: SL-adirondack-tete-a-tete_white.png | Charcoal: SL-adirondack-tete-a-tete_charcoal.png | Dove Grey: SL-adirondack-tete-a-tete_dove-grey.png | Sea Glass: SL-adirondack-tete-a-tete_sea-glass.png | Weatherwood: SL-adirondack-tete-a-tete_weatherwood.png,
SL-adirondack-dining-counter-bar-chair,Adirondack Dining-Counter-Bar Chair,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-adirondack-dining-counter-bar-chair_bar-height-black.png; SL-adirondack-dining-counter-bar-chair_black-counter-height.png | White: SL-adirondack-dining-counter-bar-chair_bar-height-white.png; SL-adirondack-dining-counter-bar-chair_white-counter-height.png; SL-adirondack-dining-counter-bar-chair_whtie.png | Charcoal: SL-adirondack-dining-counter-bar-chair_bar-height-charcoal.png; SL-adirondack-dining-counter-bar-chair_charcoal-counter-height.png; SL-adirondack-dining-counter-bar-chair_charcoal.png | Dove Grey: SL-adirondack-dining-counter-bar-chair_bar-height-dove-grey.png; SL-adirondack-dining-counter-bar-chair_dove-grey-counter-height.png | Sea Glass: SL-adirondack-dining-counter-bar-chair_bar-height-sea-glass.png; SL-adirondack-dining-counter-bar-chair_sea-glass-counter-height.png; SL-adirondack-dining-counter-bar-chair_sea-glass.png | Weatherwood: SL-adirondack-dining-counter-bar-chair_bar-height-weatherwood.png; SL-adirondack-dining-counter-bar-chair_weatherwood-counter-height.png; SL-adirondack-dining-counter-bar-chair_weatherwood.png,
SL-abaco-club-chair,Abaco Club Chair,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-abaco-club-chair_black.png | White: SL-abaco-club-chair_white.png | Charcoal: SL-abaco-club-chair_charcoal.png | Dove Grey: SL-abaco-club-chair_dove-grey.png | Sea Glass: SL-abaco-club-chair_sea-glass.png | Weatherwood: SL-abaco-club-chair_weatherwood.png,
SL-abaco-swivel-club,Abaco Swivel Club,6,"Black, White, Charcoal, Dove Grey, Sea Glass, Weatherwood",Black: SL-abaco-swivel-club_black.png | White: SL-abaco-swivel-club_white.png | Charcoal: SL-abaco-swivel-club_charcoal.png | Dove Grey: SL-abaco-swivel-club_dove-grey.png | Sea Glass: SL-abaco-swivel-club_sea-glass.png | Weatherwood: SL-abaco-swivel-club_weatherwood.png,
