category,product_name,product_url,colors_finishes,two_tone_available,width,depth,height,seat_height,back_height,weight,material,hardware,notes,raw_description
Adirondack Chairs,Calirondack,https://www.shorelinecraftworks.com/product/calirondack,"Black, White, Sea Glass, Weatherwood, Dove Grey, Charcoal",,,,,,,,,,,
Adirondack Chairs,Classic Adirondack,https://www.shorelinecraftworks.com/product/classic-adirondack,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",Yes,"30.5""",,"16""","16""","38""",,,,,"Available in 6 colors: Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
2 Tone Option Available 
Width 30.5""
Seat height 16""
Back Height 38"""
Adirondack Chairs,Rocking Adirondack Chair,https://www.shorelinecraftworks.com/product/rocking-adirondack-chair,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",Yes,"30.5""",,"18""","18""","40""",,,,,"Available in 6 colors Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
2 Tone Option Available 
Width 30.5""
Seat Height 18""
Back Height 40"""
Adirondack Chairs,Classic Adirondack Ottoman,https://www.shorelinecraftworks.com/product/adirondack-ottoman,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",Yes,,,,,,,,,,"Available in 6 colors mix Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
2 Tone Option Available"
Adirondack Chairs,Rocker Adirondack,https://www.shorelinecraftworks.com/product/adirondack-rocker,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",Yes,"30.5""",,,"18""","40""",,,,,"Available in 6 colors Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
2 Tone Option Available 
Width 30.5""
Seat 18""
Back Height 40"""
Adirondack Chairs,Modern Adirondack,https://www.shorelinecraftworks.com/product/sample-product-1,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",Yes,"30""",,"16""","16""","37""",,,,Dimensions,"Available in 6 colors Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
2 Tone Option Available   
Dimensions 
Width 30""
Seat height 16""
Back Height 37"""
Adirondack Chairs,Adirondack Tete a Tete,https://www.shorelinecraftworks.com/product/adirondack-tete-a-tete,"Dove Grey, Weatherwood, Sea Glass, White, Charcoal, Black",,,,,,,,,,Tete a Tete can be added to both Traditional and Modern Adirondacks | Dimensions,"Adirondack Tete a Tete available in Resort, Dining, Counter, and Bar Heights
Tete a Tete can be added to both Traditional and Modern Adirondacks 
Dimensions 
Width from left chair arms to right chair arm 75"""
Adirondack Chairs,Adirondack Dining-Counter-Bar Chair,https://www.shorelinecraftworks.com/product/adirondack-dining-chair,"Whtie, Charcoal, Sea Glass, Weatherwood, Black Counter Height, Dove Grey Counter Height, White Counter Height, Weatherwood Counter Height, Sea Glass Counter Height, Charcoal Counter Height, Bar Height Black, Bar Height Charcoal, Bar Height Weatherwood, Bar Height Sea Glass, Bar Height Dove Grey, Bar Height White",Yes,"29""",,"18""","18""","38""",,,,Dimensions,"Dimensions
Dining Width 29"" Seat Height 18"" Back Height 38""
Counter Width 29"" Seat Height 26"" Back Height 45""
Bar Width 29"" Seat Height 30"" Back Height 49""


TWO TONE COLOR COMBINATIONS AVAILABLE"
Deep Seating,Abaco Club Chair,https://www.shorelinecraftworks.com/product/abaco-club-chair,"Black, Weatherwood, Charcoal, Dove Grey, White, Sea Glass",,,,,,,,,,Additional Fabric options available,Additional Fabric options available
Deep Seating,Abaco Swivel Club,https://www.shorelinecraftworks.com/product/abaco-swivel-club,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,"30""","32""","33""",,"33""",,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 30""
Seat Depth 32"" 
Back Height 33"""
Deep Seating,High Back Abaco Swivel Club Chair,https://www.shorelinecraftworks.com/product/high-back-abaco-swivel-club-chair,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,"30""","32""","33""",,"33""",,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 30""
Seat Depth 32"" 
Back Height 33"""
Deep Seating,Abaco Ottoman,https://www.shorelinecraftworks.com/product/abaco-ottoman,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,,,,,,,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 
Seat Depth 
Back Height"
Deep Seating,Abaco Deep Seating Sofa,https://www.shorelinecraftworks.com/product/sample-prodcuct-4,"Black, Charcoal, Dove Grey, Weatherwood, Sea Glass, White",,,,,,,,,,PLACEHOLDER -- product page not filled in by vendor,
Deep Seating,Abaco High Back Deep Seating,https://www.shorelinecraftworks.com/product/abaco-high-back-deep-seating,"Black, Dove Grey, Weatherwood, Sea Glass, White, Charcoal",,,"33""","39""",,"39""",,,,"Length 80""","Length 80""
Depth 33""
Back Height 39"""
Deep Seating,Abaco Sectional,https://www.shorelinecraftworks.com/product/abaco-sectional,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,"30""","32""","33""",,"33""",,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 30""
Seat Depth 32"" 
Back Height 33"""
Deep Seating,Abaco Loveseat,https://www.shorelinecraftworks.com/product/abaco-loveseat,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,"30""","32""","33""",,"33""",,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 30""
Seat Depth 32"" 
Back Height 33"""
Deep Seating,High Back Abaco Club,https://www.shorelinecraftworks.com/product/high-back-abaco-club,"Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass",,"30""","32""","33""",,"33""",,,,,"Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass
Width 30""
Seat Depth 32"" 
Back Height 33"""
Chaise Lounges,Hopetown Armless Chaise,https://www.shorelinecraftworks.com/product/hopetown-armless-chaise,"Charcoal, Black, Weatherwood, Dove Grey, Sea Glass, White",,"27""",,,,,,,,"Length 78""","Width 27""
Length 78"""
Chaise Lounges,Hopetown Arm Chaise,https://www.shorelinecraftworks.com/product/sample-product-11,"Charcoal, Weatherwood, White, Two Tone, Black, Dove Grey, Sea Glass",,"27""",,,,,,,,"Length 78""","Width 27""
Length 78"""
Chaise Lounges,Hopetown Arm Chaise with Cushion,https://www.shorelinecraftworks.com/product/hopetown-arm-chaise-with-cushion,"Charcoal, Black, Weatherwood, Dove Grey, Sea Glass, White",,"22""",,,,,,,,"Length 78""","Width 22""
Length 78"""
Chaise Lounges,Hopetown Armless Chaise with Cushion,https://www.shorelinecraftworks.com/product/hopetown-armless-chaise-with-cushion,"Charcoal, Weatherwood, Dove Grey, Sea Glass, Black, White",,"27""",,,,,,,,"Length 78""","Width 27""
Length 78"""
Dining Tables and Chairs,Cafe Arm Dining-Counter-Bar Chair,https://www.shorelinecraftworks.com/product/cafe-dining-chair-arm,"Dove Grey Counter, Charcoal Counter, Black Counter, White Counter, Sea Glass Counter, Two Tone Counter, Weatherwood Counter, Dove Grey Bar, Charcoal Bar, Black Bar, White Bar, Sea Glass Bar, Weatherwood Bar",,"23""",,"17""","17""","35""",,,,Dimensions,"Dimensions 
Dining Width 23"" Seat Height 17"" Back Height 35""
Counter Width 23"" Seat Height 26"" Back Height 44""
Bar Width 23"" Seat Height 30"" Back Height 48"""
Dining Tables and Chairs,Cafe Armless Dining-Counter-Bar Chair,https://www.shorelinecraftworks.com/product/cafe-chair-armless,"Dove Grey, Black, Charcoal, White, Weatherwood, Sea Glass, Dove Grey Counter Height, Weatherwood Counter Height, Charcoal Counter Height, White Counter Height, Black Counter Height, Two Tone Counter height, Sea Glass Counter Height, Dove Grey Bar Height, Charcoal Bar Height, Black Bar Height, Weatherwood Bar Height, Sea Glass Bar Height, White Bar Height",Yes,"18""",,"17""","17""","35""",,,,Dimensions,"Dimensions 
Dining Width 18"" Seat Height 17"" Back Height 35""
Counter Width 18"" Seat Height 26"" Back Height 44""
Bar Width 18"" Seat Height 30"" Back Height 48""


TWO TONE COLOR OPTIONS AVAILABLE"
Dining Tables and Chairs,Hopetown Dining-Counter-Bar Chair,https://www.shorelinecraftworks.com/product/hopetown-dining-counter-bar-chair,"Dove Grey Counter, Black Counter, Charcoal Counter, White Counter, Sea Glass Counter, Two Tone Counter, Weatherwood Counter, Dove Grey Bar, Charcoal Bar, Black Bar, Weatherwood Bar, Sea Glass Bar, White Bar",,"27""",,"18""","18""","35""",,,,Dimensions,"Dimensions
Dining Width 27"" Seat Height 18"" Back Height 35""
Counter Width 27"" Seat Height 25"" Back Height 45""
Bar Width 27"" Seat Height 29"" Back Height 49"""
Dining Tables and Chairs,Round Dining Table,https://www.shorelinecraftworks.com/product/round-dining-table,"Dove Grey, Weatherwood, Black, White, Sea Glass, Two Tone, Charcoal",,,,"30""",,,,,,"Table Top Sizes | Bar Haight 30"" 36"" 42"" 48""","Round Dining Tables available in Dining Counter and Bar Heights 


Table Top Sizes 
Dining Height 30"" 36"" 42"" 48"" 54""
Counter Height 30"" 36"" 42"" 48""
Bar Haight 30"" 36"" 42"" 48"""
Dining Tables and Chairs,Square Dining Table,https://www.shorelinecraftworks.com/product/square-dining-table,"Dove Grey, Weatherwood, Sea Glass, Two Tone, Black, Charcoal, White",,,,,,,,,,"Dimensions | Dining 30"" 36"" 42"" 48"" 54"" | Counter 30"" 36"" 42"" 48"" | Bar 30"" 36""42"" 48""","Square tables available in Dining Counter and Bar Heights 
Dimensions
Dining 30"" 36"" 42"" 48"" 54""
Counter 30"" 36"" 42"" 48""
Bar 30"" 36""42"" 48"""
