name,sku,collection,product_type,price,product_dimension,shipping_dimension,net_weight,gross_weight,qty_per_carton,color,frame_type,cushion_info,description,tags,image_url,all_image_urls,url
Aeros Deepseat Loveseat,ERDSLS,Aeros,Patio Furniture,$1611.00,"57""x32""x33""","52""x28.5""x18.5""",45 lbs,56 lbs,1,Light Gray,Cast Aluminum Knock-Down,,"Description Aeros Deepseat Loveseat Dimensions & Weight Product Dimension 57""x32""x33"" Shipping Dimension 52""x28.5""x18.5"" Net Weight 45 lbs Gross Weight 56 lbs QTY/CTN 1 Specifications Color Light Gray Frame Type Cast Aluminum Knock-Down Matching Cover C22 Warranty Frames: 10 years; California's Proposition 65 Warning For California Residents Additional Documents",Aeros,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Screenshot2026-04-27at1.38.43PM.png?v=1777315224,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/Screenshot2026-04-27at1.38.43PM.png?v=1777315224,https://summersetcasual.com/products/aeros-deepseat-loveseat-1
Aeros Deepseat Sofa - Bronze,ERDSS - B,Aeros,Patio Furniture,$2484.00,"82""x32""x33.5""","77.2""x28.4""x18.5""",48 lbs,59 lbs,1,Rubbed Oil Bronze,Cast Aluminum Knock-Down,,"Description Aeros Deepseat Sofa Dimensions & Weight Product Dimension 82""x32""x33.5"" Shipping Dimension 77.2""x28.4""x18.5"" Net Weight 48 lbs Gross Weight 59 lbs QTY/CTN 1 Specifications Color Rubbed Oil Bronze Frame Type Cast Aluminum Knock-Down Matching Cover C23 Warranty Frames: 10 years; California's Proposition 65 Warning For California Residents Additional Documents",Aeros,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2872.jpg?v=1741158307,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2872.jpg?v=1741158307,https://summersetcasual.com/products/aeros-deepseat-sofa-bronze
"48""x24"" Coffee Table Aeros - Bronze",CTER4824 - B,Aeros,Patio Furniture,$1116.00,"48""x24""x18""","43""x26""x7""",26 lbs,37 lbs,1,Rubbed Oil Bronze,Cast Aluminum Knock-Down,,"Description 48""x24"" Coffee Table Aeros Dimensions & Weight Product Dimension 48""x24""x18"" Shipping Dimension 43""x26""x7"" Net Weight 26 lbs Gross Weight 37 lbs QTY/CTN 1 Specifications Color Rubbed Oil Bronze Frame Type Cast Aluminum Knock-Down Matching Cover TC48 Warranty Frames: 10 years; California's Proposition 65 Warning For California Residents Additional Documents",Aeros,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2878.jpg?v=1741158306,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2878.jpg?v=1741158306,https://summersetcasual.com/products/48x24-coffee-table-aeros-bronze
"24"" Square Accent Table Aeros - Bronze",SQATER24 - B,Aeros,Patio Furniture,$783.00,"24""x24""x21""","26""x23.3""x12.5""",18 lbs,29 lbs,1,Light Grey/Dark Grey,Cast Aluminum Knock-Down,,"Description 24"" Square Accent Table Aeros Dimensions & Weight Product Dimension 24""x24""x21"" Shipping Dimension 26""x23.3""x12.5"" Net Weight 18 lbs Gross Weight 29 lbs QTY/CTN 1 Specifications Color Light Grey/Dark Grey Frame Type Cast Aluminum Knock-Down Matching Cover TA24 Warranty Frames: 10 years; California's Proposition 65 Warning For California Residents Additional Documents",Aeros,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2858.jpg?v=1741158306,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/IMG_2858.jpg?v=1741158306,https://summersetcasual.com/products/24-square-accent-table-aeros-bronze
Aeros Chaise Lounge - Bronze,ERCL-B,Aeros,Patio Furniture,$1656.00,"77""x27""x13.5""","79""x29""x12""",44 lbs,55 lbs,1,Light Grey/Dark Grey,Cast Aluminum Knock-Down,,"Description Aeros Chaise Lounge Dimensions & Weight Product Dimension 77""x27""x13.5"" Shipping Dimension 79""x29""x12"" Net Weight 44 lbs Gross Weight 55 lbs QTY/CTN 1 Specifications Color Light Grey/Dark Grey Frame Type Cast Aluminum Knock-Down Matching Cover OL77 Warranty Frames: 10 years; California's Proposition 65 Warning For California Residents Additional Documents",Aeros,,,https://summersetcasual.com/products/aeros-chaise-lounge-copy
Mirabella Counter Barstool,MBCB,Mirabella,Patio Furniture,$1190.00,Arm,Net,,,,GE,Cast Aluminum Knock-Down,Purchase Separately,Description Mirabella Counter Barstool Dimensions & Weight Product Dimension Arm Height Seat Height Shipping Dimension Net Weight Gross Weight QTY/CTN Specifications Color GE Frame Type Cast Aluminum Knock-Down Cushion Purchase Separately Matching Cover Warranty Frames: 10 years; Cushion 5 years California's Proposition 65 Warning For California Residents Additional Documents,"Mirabella, Stocking",,,https://summersetcasual.com/products/mirabella-counter-barstool
Jolee Gray Sectional Armless Chair,JLSAC,Jolee,,$1055.00,32.5''x28''x31.7'',38'',22.1 lbs,39.70 lbs,1,Gray,Aluminum Knock-Down,"s and a durable, powder-coated aluminum","Add flexibility and comfort to your outdoor seating layout with the Jolee Gray Sectional Armless Chair by Summerset Casual . This sleek, armless design features thick, weather-resistant white cushions and a durable, powder-coated aluminum frame — ideal for withstanding the elements while keeping a crisp, modern look. Use it as a standalone seat or as a middle connector between sectional pieces to expand your lounge configuration. Its versatile, modular design makes it easy to personalize your sp","Armless Chair, JoLee, Summerset Casual",,,https://summersetcasual.com/products/jolee-gray-sectional-armless-chair-copy
Jolee Gray Sectional Corner Chair,JLSCC,Jolee,,$1785.00,32.5''x32.5''x31.7'',34.25'',22.1 lbs,35.3 lbs,1,Gray,Aluminum Knock-Down,"s and a sleek, powder-coated aluminum","Create a seamless and stylish transition in your outdoor seating arrangement with the Jolee Gray Sectional Corner Chair by Summerset Casual . This essential connector piece features plush, weather-resistant white cushions and a sleek, powder-coated aluminum frame designed for durability and modern appeal. Perfectly contoured to fit into any corner configuration, it links effortlessly with the left and right arm pieces in the Jolee collection, offering both structure and comfort. Whether you're b","Corner Chair, JoLee, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/hf_20260430_045242_7c9903b3-20bd-40fe-8da8-7ef64adfbb40.png?v=1777527786,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/hf_20260430_045242_7c9903b3-20bd-40fe-8da8-7ef64adfbb40.png?v=1777527786,https://summersetcasual.com/products/jolee-gray-sectional-corner-chair-copy
Jolee Gray Sectional Loveseat Right Arm,JLSLSRA,Jolee,,$1875.00,"32.5""x60""x31.70""","62""x40""x37""",64 lbs,90.40 lbs,2,Gray,Aluminum Knock-Down,"s set against a sturdy, powder-coated aluminum","1.7Elevate your outdoor lounging experience with the Jolee Gray Sectional Loveseat (Right Arm) by Summerset Casual . Designed with clean lines and modern comfort, this piece features plush, all-weather white cushions set against a sturdy, powder-coated aluminum frame. The right-arm configuration makes it a versatile component in your modular sectional setup, easily pairing with other pieces from the Jolee collection to customize your outdoor seating arrangement. Built to withstand the elements w","JoLee, Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/hf_20260429_230055_62a7a908-71a4-4b47-aedb-9b28f220531a_1.png?v=1777524563,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/hf_20260429_230055_62a7a908-71a4-4b47-aedb-9b28f220531a_1.png?v=1777524563,https://summersetcasual.com/products/jolee-gray-sectional-loveseat-right-arm-copy
Jolee Gray Sectional Loveseat Left Arm,JLSLSLA,Jolee,,$1875.00,"32.5""x60""x31.70""","62""x40""x37""",64 lbs,90.40 lbs,2,White Wash,Aluminum Knock-Down,s and a sleek aluminum,"Bring timeless elegance and plush comfort to your outdoor space with the Jolee Gray Sectional Loveseat (Left Arm) by Summerset Casual . Thoughtfully crafted for both style and durability, this modular piece features weather-resistant white cushions and a sleek aluminum frame with a modern powder-coated finish. Its left-arm design allows for seamless pairing with other sectional components in the Jolee collection, giving you the freedom to create a layout that fits your patio or garden perfectly.","JoLee, Loveseat, Summerset Casual",https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSLA.jpg?v=1762052561,https://cdn.shopify.com/s/files/1/0556/0729/6170/files/JLWSLSLA.jpg?v=1762052561,https://summersetcasual.com/products/jolee-white-sectional-loveseat-left-arm-copy
