name,number,grade,color family,stripe
Refresh Hedge,40639-0000,B,Gray,Yes
Cast Hedge,49016-0000,A,Green,No
Principle Lagoon,16009-0002,C,Multicolor,No
Entice Moss,40637-0000,B,Green,Yes
Assemble II Mist,47247-0004,C,Gray,No
Bliss Linen,48135-0001,A,Beige,No
Sail Away Aloe,40606-0002,B,Green,Yes
Cast Seaglass,49015-0000,A,Teal,No
Refresh Canyon,40641-0000,B,Brown,Yes
Cast Desert,49018-0000,A,Brown,No
Principle Tropics,16009-0001,C,Multicolor,No
Solve Clay,146397-0002,C,Orange,No
Canvas Navy,5439-0000,A,Navy,No
Midori Indigo,145256-0001,C,Navy,No
Relate Harbor,57017-0004,B,Navy,Yes
Canvas White,57003-0000,A,White,No
Canvas Natural,5404-0000,A,Beige,No
Cast Ash,40428-0000,A,Beige,No
Blend Linen,16001-0014,C,Beige,No
Cast Silver,40433-0000,A,Beige,No
Spectrum Indigo,48080-0000,A,Navy,No
Canvas Flax,5492-0000,A,Beige,No
Bliss Aloe,48135-0017,A,Green,No
Cast Oasis,40430-0000,A,Beige,No
Canvas Fern,5487-0000,A,Green,No
Cast Sage,48092-0000,A,Green,No
Canvas Granite,5402-0000,A,Gray,No
Spectrum Denim,48086-0000,A,Blue,No
Cast Slate,40434-0000,A,Gray,No
Tranquil Sage,44493-0001,B,Beige,Yes
Mainstreet Putty,42048-0012,C,Beige,No
Canvas Cloud,57012-0000,A,Beige,No
Canvas Air Blue,5410-0000,A,Blue,No
Nurture White,42102-0001,C,Beige,No
Blend Sand,16001-0012,C,Beige,No
Bliss Sand,48135-0002,A,Beige,No
Cast Pumice,48114-0000,A,Beige,No
Bliss Dew,48135-0014,A,Teal,No
Canvas Haze,14059-0054,A,Blue,No
Play Sky,40616-0006,A,Gray,No
Nurture Indigo,42102-0008,C,Blue,No
Nurture Pebble,42102-0002,C,Gray,No
Remix Parchment,48145-0001,A,Beige,No
Cast Mist,40429-0000,A,Gray,No
Blend Indigo,16001-0001,C,Blue,No
Cast Charcoal,40483-0001,A,Gray,No
Nurture Haze,42102-0009,C,Gray,No
Cast Lagoon,40456-0000,A,Teal,No
Canvas Sapphire Blue,5452-0000,A,Blue,No
Cast Shale,40432-0000,A,Beige,No
Mainstreet Dove,42048-0015,C,Beige,No
Tranquil Camel,44493-0002,B,Beige,Yes
Canvas Seasalt,14106-0000,A,Beige,No
Expressive Blush,14123-0000,B,Pink,Yes
Canvas Brick,5409-0000,A,Red,No
Canvas Regatta,5493-0000,A,Blue,No
Canvas Taupe,5461-0000,A,Beige,No
Canvas Spa,5413-0000,A,Teal,No
Embrace Indigo,145849-0003,C,Navy,No
Canvas Antique Beige,5422-0000,A,Beige,No
Canvas Canvas,5453-0000,A,Beige,No
Canvas Heather Beige,5476-0000,A,Beige,No
Spectrum Dove,48032-0000,A,Gray,No
Spectrum Cilantro,48022-0000,A,Green,No
Canvas Terracotta,5440-0000,A,Red,No
Nurture Charcoal,42102-0006,C,Gray,No
Echo Ash,57005-0000,C,Beige,No
Linen Stone,8319-0000,B,Beige,No
Mainstreet Latte,42048-0009,C,Beige,No
Spectrum Carbon,48085-0000,A,Gray,No
Canvas Persimmon,57013-0000,A,Red,No
Canvas Rust,54010-0000,A,Orange,No
Cast Breeze,48094-0000,A,Teal,No
Cast Ivy,48141-0000,A,Green,No
Play Jungle,40616-0008,A,Green,No
Linen Silver,8351-0000,B,Beige,No
Nurture Shale,42102-0004,C,Gray,No
Canvas Ginkgo,54011-0000,A,Green,No
Sail Away Denim,40606-0003,B,Blue,Yes
Cabana Classic,58030-0000,B,Multicolor,Yes
Canvas Black,5408-0000,A,Black,No
Canvas Forest Green,5446-0000,A,Green,No
Canvas Mineral Blue,5420-0000,A,Teal,No
Tranquil Linen,44493-0003,B,Beige,Yes
Canvas Buttercup,5438-0000,A,Yellow,No
Platform Salt,42091-0013,C,White,No
Bliss Smoke,48135-0003,A,Gray,No
Canvas Charcoal,54048-0000,A,Gray,No
Canvas Skyline,14091-0000,A,Gray,No
Play Adobe,40616-0011,A,Red,No
Replay Fern,40621-0009,B,Beige,Yes
Context Indigo,48138-0001,C,Blue,No
Canvas Teak,5488-0000,A,Brown,No
Marvel Cloud,44494-0002,B,Gray,No
Sailcloth Salt,32000-0018,C,Beige,No
Canvas True Blue,5499-0000,A,Blue,No
Lore Moss,48146-0003,C,Green,No
Mason Forest Green,5630-0000,B,Green,Yes
Remix Denim,48145-0006,A,Gray,No
Canvas Jockey Red,5403-0000,A,Red,No
Canvas Pacific Blue,5401-0000,A,Blue,No
Cast Ocean,48103-0000,A,Blue,No
Remix Mesa,48145-0005,A,Orange,No
Canvas Coal,5489-0000,A,Gray,No
Sail Away Sunflower,40606-0001,B,Yellow,Yes
Canvas Sunflower Yellow,5457-0000,A,Yellow,No
Cove Pebble,58036-0000,B,Gray,Yes
Blend Coal,16001-0008,C,Gray,No
Dream Mist,146395-0001,C,White,No
Exhale Rainwashed,400001-0004,B,Green,No
Lore Lagoon,48146-0004,C,Teal,No
Saltillo Sagebrush,14153-0000,B,Beige,Yes
Spectrum Mushroom,48031-0000,A,Beige,No
Influence Teak,146222-0003,B,Brown,Yes
Canvas Aruba,5416-0000,A,Teal,No
Linen Sesame,8318-0000,B,Beige,No
Beaming Mojave,14119-0000,B,Beige,Yes
Cabana Regatta,58029-0000,B,Blue,Yes
Direction Dew,40599-0002,B,Multicolor,Yes
Marvel Sage,44494-0001,B,Beige,No
Momento Parchment,42105-0002,C,Beige,No
Play Sage,40616-0007,A,Beige,No
Wayward Sky,46088-0003,B,Blue,Yes
Ambrose Fern,40608-0010,C,Green,No
Canvas Melon,5415-0000,A,Orange,No
Linen Natural,8304-0000,B,Beige,No
Play Cameo,40616-0014,A,Pink,No
Play Mushroom,40616-0005,A,Brown,No
Tectonic Coastal,46092-0001,B,Gray,Yes
Unwind Rainwashed,400003-0001,B,Green,Yes
Cultivate Stone,56107-0000,B,Gray,Yes
Spectrum Peacock,48081-0000,A,Teal,No
Influence Cocoon,146222-0002,B,Beige,Yes
Lore Canyon,48146-0002,C,Red,No
Maxim Heather Beige,5674-0000,B,Beige,Yes
Platform Indigo,42091-0003,C,Navy,No
Seville Seaside,5608-0000,B,Multicolor,Yes
Canvas Tangerine,5406-0000,A,Orange,No
Cast Coral,48108-0000,A,Orange,No
Embrace Linen,145849-0002,C,Beige,No
Exhale Dewdrop,400001-0003,B,Blue,No
Canvas Henna,5407-0000,A,Red,No
Play Camel,40616-0003,A,Beige,No
Sail Away Java,40606-0004,B,Gray,Yes
Sailcloth Seagull,32000-0023,C,Gray,No
Astoria Sunset,56095-0000,B,Orange,Yes
Canvas Java,57014-0000,A,Brown,No
Cast Teak,48093-0000,A,Brown,No
Flora Sunset,146608-0001,C,Beige,No
Gateway Aloe,14092-0000,B,Green,Yes
Replay Taupe,40621-0003,B,Beige,Yes
Voyage Indigo,146206-0001,C,Navy,No
Action Ash,44285-0001,C,Beige,No
Carlo Celery,146479-0005,B,Beige,Yes
Mixi Fern,44512-0001,B,White,Yes
Ortiz Onyx,146474-0003,B,Brown,Yes
Spectrum Sand,48019-0000,A,Beige,No
Gateway Mist,58039-0000,B,Blue,Yes
Plume Spring,146274-0002,C,Green,No
Wayward Wren,46088-0002,B,Beige,Yes
Canvas Capri,5426-0000,A,Blue,No
Dupione Celeste,8067-0000,B,Teal,No
Dupione Papaya,8053-0000,B,Orange,No
Hybrid Smoke,42079-0000,C,Beige,No
Improve White,17003-0001,C,White,No
Replay Sea,40621-0006,B,Gray,Yes
Canvas Birds Eye,5472-0000,A,Beige,No
Cast Horizon,48091-0000,A,Blue,No
Gateway Coast,14087-0000,B,Blue,Yes
Heritage Leaf,18011-0000,C,Green,No
Infused Gem,145853-0001,C,White,No
Replay Linen,40621-0001,B,Pink,Yes
Canvas Burgundy,5436-0000,A,Red,No
Canvas Macaw,5429-0000,A,Yellow,No
Charmer Limestone,42111-0002,C,Beige,No
Improve Dune,17003-0003,C,Beige,No
Valley Sedona,146597-0010,C,Multicolor,No
Brannon Redwood,5612-0000,B,Multicolor,Yes
Canvas Tuscan,5417-0000,A,Orange,No
Milano Char,56079-0000,B,Gray,Yes
Trusted Fog,40524-0001,B,Gray,Yes
Dolce Oasis,56001-0000,B,Teal,Yes
Marvel Indigo,44494-0005,B,Navy,No
Spectrum Daffodil,48024-0000,A,Yellow,No
Berenson Tuxedo,8521-0000,B,Beige,Yes
Platform Cloud,42091-0011,C,Beige,No
Play Navy,40616-0010,A,Navy,No
Relate Ivy,57017-0002,B,Green,Yes
Dupione Deep Sea,8019-0000,B,Teal,No
Etna Juniper,146590-0004,C,Beige,No
Heritage Rust,18021-0000,C,Red,No
Replay Caramel,40621-0002,B,Beige,Yes
Royale Moss,73064-0004,C,Green,No
Unwind Cameo,400004-0001,B,Pink,Yes
Charmer Wren,42111-0004,C,Beige,No
Kaia Mist,146437-0003,B,Gray,Yes
Sailcloth Sahara,32000-0016,C,Beige,No
Saltillo Sedona,14152-0000,B,Orange,Yes
Canvas Raffia,14107-0000,A,Beige,No
Carlo Denim,146479-0006,B,Gray,Yes
Carlo Mesa,146479-0002,B,Beige,Yes
Exhale Cloud,400001-0001,B,Beige,No
Floral Song Spring,146023-0002,C,Green,No
Voyage Tamale,146206-0002,C,Red,No
Canvas Twilight,14089-0000,A,Gray,No
Clock Out Indigo,146205-0002,C,Navy,No
Lido Indigo,57004-0000,B,Navy,Yes
Marvel Linen,44494-0003,B,Beige,No
Spectrum Cayenne,48026-0000,A,Orange,No
Adena Celeste,44268-0030,C,Blue,No
Embrace Pewter,145849-0001,C,Gray,No
Expressive Sparrow,14121-0000,B,Beige,Yes
Play Lagoon,40616-0009,A,Teal,No
Play Mocha,40616-0004,A,Brown,No
Revive Sand,11500-0003,C,Beige,No
Solana Seagull,32008-0000,B,Gray,Yes
Array Dune,145654-0001,C,Beige,No
Luxe Indigo,45690-0000,C,Navy,No
Remix Camel,48145-0002,A,Beige,No
Renew Earthen,145843-0001,C,Gray,No
Valley Herbal,146597-0005,C,Green,No
Ambrose Linen,40608-0002,C,Beige,No
Cycle Denim,146396-0001,C,Gray,No
Heritage Indigo,18017-0000,C,Navy,No
Replay Clay,40621-0005,B,Pink,Yes
Revive Indigo,11500-0010,C,Navy,No
Spectrum Cherry,48096-0000,A,Red,No
Benson Lagoon,47202-0004,B,Blue,Yes
Canvas Logo Red,5477-0000,A,Red,No
Canvas Vellum,5498-0000,A,Beige,No
Heritage Char,18009-0000,C,Gray,No
Leisure Denim,40625-0001,B,Blue,Yes
Spectrum Graphite,48030-0000,A,Gray,No
Dolce Mango,56000-0000,B,Orange,Yes
Heritage Dijon,18023-0000,C,Yellow,No
Improve Stucco,17003-0002,C,Gray,No
Linen Canvas,8353-0000,B,Beige,No
Play Snow,40616-0001,A,Beige,No
Renew Mist,145843-0002,C,Beige,No
Unwind Sky,400002-0001,B,Blue,Yes
Argo Clay,47250-0004,C,Brown,No
Carlo Graphite,146479-0001,B,Beige,Yes
Dupione Sand,8011-0000,B,Beige,No
Gateway Indigo,56102-0000,B,Blue,Yes
Harwood Crimson,5603-0000,B,Red,Yes
Infused Twilight,145853-0002,C,Navy,No
Bliss Breeze,48135-0016,A,Teal,No
Brannon Whisper,5621-0000,B,Multicolor,Yes
Heritage Moss,18012-0000,C,Beige,No
Lore Desert,48146-0001,C,Beige,No
Play Teak,40616-0012,A,Brown,No
Regency Sand,5695-0000,B,Beige,Yes
Remix Mushroom,48145-0004,A,Beige,No
Reveal Canyon,146227-0001,C,Brown,No
Spectrum Eggshell,48018-0000,A,Beige,No
Ambrose Chambray,40608-0008,C,Gray,No
Beaming Lagoon,14118-0000,B,Teal,Yes
Etna Dune,146590-0001,C,Beige,No
Stanton Lagoon,58001-0000,B,Navy,Yes
Canvas Cyan,56105-0000,A,Blue,No
Canvas Raven Black,5471-0000,A,Black,No
Canvas Tamale,14086-0000,A,Red,No
Cast Sand,49013-0000,A,Beige,No
Clock Out Cloud,146205-0003,C,Gray,No
Play Oat,40616-0002,A,Beige,No
Plume Peacock,146274-0001,C,Teal,No
Relate Persimmon,57017-0003,B,Red,Yes
Remix Silk,48145-0003,A,Beige,No
Sailcloth Sailor,32000-0026,C,Beige,No
Ambrose Terracotta,40608-0007,C,Orange,No
Canvas Harvest,14165-0000,A,Beige,No
Exhale Adobe,400001-0007,B,Orange,No
Expressive Mist,14120-0000,B,Gray,Yes
