finish_type,finish_name,sku,grade,swatch_url
Ultraleather,Coast Raindrop,10U,F,https://img.telescopecasual.com/PAT/200/10U.jpg?v=2025-07-07-02.16.54.633667
Ultraleather,Coast Beacon,11U,F,https://img.telescopecasual.com/PAT/200/11U.jpg?v=2025-07-07-02.16.55.346236
Ultraleather,Coast Savanna,12U,F,https://img.telescopecasual.com/PAT/200/12U.jpg?v=2025-07-07-02.16.56.264280
Ultraleather,Brisa Mohave,13U,F,https://img.telescopecasual.com/PAT/200/13U.jpg?v=2025-07-07-02.16.56.624609
Ultraleather,Brisa Chamois,14U,F,https://img.telescopecasual.com/PAT/200/14U.jpg?v=2025-07-07-02.18.21.560242
Sling,Red,01D,A,https://img.telescopecasual.com/PAT/200/01D.jpg?v=2019-01-08-11.10.33.030096
Sling,Black,05D,A,https://img.telescopecasual.com/PAT/200/05D.jpg?v=2019-01-08-11.10.35.969703
Sling,White,06D,A,https://img.telescopecasual.com/PAT/200/06D.jpg?v=2019-01-08-11.10.36.856348
Sling,Bristol,11S,A,https://img.telescopecasual.com/PAT/200/11S.jpg?v=2019-01-08-11.10.38.188356
Sling,Navy,13D,A,https://img.telescopecasual.com/PAT/200/13D.jpg?v=2019-01-08-11.10.38.792967
Sling,Natural,20D,A,https://img.telescopecasual.com/PAT/200/20D.jpg?v=2019-01-08-11.10.40.253219
Sling,Forest Green,22D,A,https://img.telescopecasual.com/PAT/200/22D.jpg?v=2019-01-08-11.10.40.682920
Sling,Teal,24D,A,https://img.telescopecasual.com/PAT/200/24D.jpg?v=2019-01-08-11.12.25.763387
Sling,Pacific Blue,28D,A,https://img.telescopecasual.com/PAT/200/28D.jpg?v=2019-01-08-11.12.26.347132
Sling,Cobalt,35D,A,https://img.telescopecasual.com/PAT/200/35D.jpg?v=2019-01-08-11.10.41.951671
Sling,Lime,38D,A,https://img.telescopecasual.com/PAT/200/38D.jpg?v=2019-01-08-11.10.42.235132
Sling,Tangerine,41D,A,https://img.telescopecasual.com/PAT/200/41D.jpg?v=2019-01-08-11.10.43.648185
Sling,Sky,42D,A,https://img.telescopecasual.com/PAT/200/42D.jpg?v=2019-01-08-11.10.43.895120
Sling,Yellow,43D,A,https://img.telescopecasual.com/PAT/200/43D.jpg?v=2019-01-08-11.10.44.260757
Sling,Aqua,51D,A,https://img.telescopecasual.com/PAT/200/51D.jpg?v=2019-01-08-11.10.46.901921
Sling,Atlantis,70D,A,https://img.telescopecasual.com/PAT/200/70D.jpg?v=2019-01-08-11.10.52.131803
Sling,Bermuda,71D,A,https://img.telescopecasual.com/PAT/200/71D.jpg?v=2023-05-31-16.42.35.784844
Sling,Pinstripe,104,A,https://img.telescopecasual.com/PAT/200/104.jpg?v=2023-05-31-16.36.57.523549
Sling,Jute,107,B,https://img.telescopecasual.com/PAT/200/107.jpg?v=2023-05-31-16.36.57.863676
