item_number,product_name,collection_name,image_count,overall_width,overall_depth,overall_height,diameter,product_weight,seat_height,arm_height,reclined_length,retail_warranty,contract_warranty,image_1_path,image_1_url,image_2_path,image_2_url,image_3_path,image_3_url,image_4_path,image_4_url
9A70,Chat Height Arm Chair,Adirondack MGP Sling,4,"30.75""","29.5""","38.5""",,24 lbs,,,,15 years,5 years,images/adirondack_mgp_sling/chat_height_arm_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/479_1.jpg,images/adirondack_mgp_sling/chat_height_arm_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/479_2.jpg,images/adirondack_mgp_sling/chat_height_arm_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/479_3.jpg,images/adirondack_mgp_sling/chat_height_arm_chair/product_4.jpg,https://img.telescopecasual.com/PR/233/479_4.jpg
86X0,Arm Chair,Antero MGP Cushion,1,"33""","36""","37""",,50 lbs,,,,15 years,3 years,images/antero_cushion/arm_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/3360_1.jpg,,,,,,
,Ottoman,Antero MGP Cushion,1,,,,,,,,,,,images/antero_cushion/ottoman/product_1.jpg,https://img.telescopecasual.com/PR/233/3368_1.jpg,,,,,,
8690,Swivel Rocker,Antero MGP Cushion,1,"33""","35""","39""",,66 lbs,,,,15 years,1 years,images/antero_cushion/swivel_rocker/product_1.jpg,https://img.telescopecasual.com/PR/233/3362_1.jpg,,,,,,
,Three-Seat Sofa,Antero MGP Cushion,1,,,,,,,,,,,images/antero_cushion/three_seat_sofa/product_1.jpg,https://img.telescopecasual.com/PR/233/3366_1.jpg,,,,,,
,Two-Seat Loveseat,Antero MGP Cushion,1,,,,,,,,,,,images/antero_cushion/two_seat_loveseat/product_1.jpg,https://img.telescopecasual.com/PR/233/3364_1.jpg,,,,,,
,Balcony Height Armless Cafe Chair,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/balcony_height_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1272_1.jpg,images/aruba_sling/balcony_height_armless_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1272_2.jpg,,,,
,Balcony Height Swivel Cafe Chair,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/balcony_height_swivel_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/54_1.jpg,images/aruba_sling/balcony_height_swivel_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/54_2.jpg,,,,
,Bar Height Armless Cafe Chair,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/bar_height_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1274_1.jpg,images/aruba_sling/bar_height_armless_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1274_2.jpg,,,,
,Bar Height Swivel Cafe Chair,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/bar_height_swivel_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/53_1.jpg,images/aruba_sling/bar_height_swivel_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/53_2.jpg,,,,
,Dining Height Armless Cafe Chair,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/dining_height_armless_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1270_1.jpg,images/aruba_sling/dining_height_armless_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1270_2.jpg,,,,
7R30,Four-Position High Bed Lay-flat Stacking Chaise,Aruba Sling,2,"27""","69""","43""",,21.25 lbs,,,"78""",15 years,5 years,images/aruba_sling/four_position_high_bed_lay_flat_stacking_chaise/product_1.jpg,https://img.telescopecasual.com/PR/233/1840_1.jpg,images/aruba_sling/four_position_high_bed_lay_flat_stacking_chaise/product_2.jpg,https://img.telescopecasual.com/PR/233/1840_2.jpg,,,,
8R60,Stacking Arm Chair,Aruba Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/aruba_sling/stacking_arm_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/48_1.jpg,images/aruba_sling/stacking_arm_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/48_2.jpg,,,,
8R60,Stacking Cafe Chair,Aruba Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/aruba_sling/stacking_cafe_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/51_1.jpg,images/aruba_sling/stacking_cafe_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/51_2.jpg,,,,
8R60,Supreme Stacking Arm Chair,Aruba Sling,2,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/aruba_sling/supreme_stacking_arm_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/52_1.jpg,images/aruba_sling/supreme_stacking_arm_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/52_2.jpg,,,,
,Supreme Swivel Rocker,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/supreme_swivel_rocker/product_1.jpg,https://img.telescopecasual.com/PR/233/44_1.jpg,images/aruba_sling/supreme_swivel_rocker/product_2.jpg,https://img.telescopecasual.com/PR/233/44_2.jpg,,,,
,Swivel Rocker,Aruba Sling,2,,,,,,,,,,,images/aruba_sling/swivel_rocker/product_1.jpg,https://img.telescopecasual.com/PR/233/47_1.jpg,images/aruba_sling/swivel_rocker/product_2.jpg,https://img.telescopecasual.com/PR/233/47_2.jpg,,,,
,Balcony Height  Swivel Chair,Avant Polymer / Aluminum,3,,,,,,,,,,,images/avant_mgp_aluminum/balcony_height_swivel_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2025_1.jpg,images/avant_mgp_aluminum/balcony_height_swivel_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/2025_2.jpg,images/avant_mgp_aluminum/balcony_height_swivel_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/2025_3.jpg,,
8R60,Balcony Height Stacking Chair,Avant Polymer / Aluminum,3,"21""","25.75""","34.5""",,9 lbs,,,,15 years,5 years,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/1828_1.jpg,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/1828_2.jpg,images/avant_mgp_aluminum/balcony_height_stacking_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/1828_3.jpg,,
,Bar Height  Swivel Chair,Avant Polymer / Aluminum,3,,,,,,,,,,,images/avant_mgp_aluminum/bar_height_swivel_chair/product_1.jpg,https://img.telescopecasual.com/PR/233/2024_1.jpg,images/avant_mgp_aluminum/bar_height_swivel_chair/product_2.jpg,https://img.telescopecasual.com/PR/233/2024_2.jpg,images/avant_mgp_aluminum/bar_height_swivel_chair/product_3.jpg,https://img.telescopecasual.com/PR/233/2024_3.jpg,,
