sku,fabric_name,material,grade,is_stripe,swatch_image_url
4601,Pacific Blue,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4601-min.jpg
4602,Sunflower,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4602-min.jpg
4603,Jockey Red,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4603-min.jpg
4604,Natural,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4604-min.jpg
4608,Black,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4608-min.jpg
4626,Navy,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4626-min.jpg
4636,Storm,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4636-min.jpg
4637,Forest Green,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4637-min.jpg
4642,Oyster,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4642-min.jpg
4644,Charcoal,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4644-min.jpg
4653,Mediterranean Blue Tweed,Acrylic,Awning,yes,https://treasuregarden.com/wp-content/uploads/4653-min.jpg
4677,Tuscan,Acrylic,Awning,,https://treasuregarden.com/wp-content/uploads/4677-min.jpg
4800,Champagne,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4800-min.jpg
4801,Cobalt,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4801-min.jpg
4803,Red,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4803-min.jpg
4804,Eggshell,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4804-min.jpg
4807,Auburn,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4807-min.jpg
4808,Black,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4808-min.jpg
4810,Mist,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4810-min.jpg
4811,Kiwi,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4811-min.jpg
4812,Silver Linen,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4812-min.jpg
4813,Spa,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4813-min.jpg
4815,Sunset,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4815-min.jpg
4816,Aqua,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4816-min.jpg
4818,Sesame,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4818-min.jpg
4820,Boulder,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4820-min.jpg
4822,Khaki,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4822-min.jpg
4826,Sky,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4826-min.jpg
4834,Carbon,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4834-min.jpg
4838,Lemon,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4838-min.jpg
4839,Navy,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4839-min.jpg
4846,Forest Green,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4846-min.jpg
4850,Latitude Gray,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4850-min.jpg
4851,Latitude Navy,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4851-min.jpg
4852,Sterling,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4852-min.jpg
4853,Vanilla,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4853-min.jpg
4861,Taupe,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4861-min.jpg
4876,Sand,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4876-min.jpg
4880,Denim,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4880-min.jpg
4881,Blue Jay,Polyester,C,,https://treasuregarden.com/wp-content/uploads/4881-min.jpg
4899,Hampton Stripe,Polyester,C,yes,https://treasuregarden.com/wp-content/uploads/4899-min.jpg
5401,Pacific Blue,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5401-min.jpg
5402,Granite,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5402-min.jpg
5403,Jockey Red,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5403-min.jpg
5404,Natural,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5404-min.jpg
5407,Henna,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5407-min.jpg
5408,Black,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5408-min.jpg
5413,Spa,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5413-min.jpg
5416,Aruba,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5416-min.jpg
5417,Tuscan,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5417-min.jpg
5422,Antique Beige,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5422-min.jpg
5438,Buttercup,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5438-min.jpg
5439,Navy,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5439-min.jpg
5446,Forest Green,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5446-min.jpg
5453,Canvas,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5453-min.jpg
5461,Taupe,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5461-min.jpg
5476,Heather Beige,Acrylic,A,,https://treasuregarden.com/wp-content/uploads/5476-min.jpg
