category,product_name,item_no,is_new,quick_ship,size,shape,ribs,pole_diameter,bottom_pole,vent,lift,tilt,weight,cube,min_base_weight,available_finishes,fabric_restriction_note,shipping,frame_part,canopy_part
Cantilever,13’ STARLUX AKZ PLUS,AKZP13LX,False,False,13’,Octagon,8,3.64” x 2.56”,,DWV,Crank,Front to Back,DWV 108 lbs.,12,400 lbs.,AKZP13LX-00D: Bronze | AKZP13LX-09D: Black,,Truck Only,AKZP13LX-0_,C813RD
Cantilever,10’x13’ STARLUX AKZ PLUS,AKZPRTLX,False,False,10’x13’,Rectangle,8,3.64” x 2.56”,,SWV,Crank,Front to Back,108 lbs.,10.91,400 lbs.,AKZPRTLX-00: Bronze | AKZPRLX-09: Black,Includes protective cover STRIPED FABRICS NOT AVAILABLE ON THIS STYLE.,Truck Only,AKZPRTLX-0_,CAKZRT
Cantilever,13’ AKZ PLUS,AKZP13,False,False,13’,Octagon,8,3.64” x 2.56”,,DWV,Crank,Front to Back,DWV 104 lbs.,11.52,400 lbs.,"AKZP13-SSD: Silver Shadow, | AKZP13-WOD: Weathered Oak | AKZP13-00D: Bronze | AKZP13-02D: Anthracite | AKZP13-09D: Black",,Truck Only,AKZP13-0_,C813RD
Cantilever,10’x13’ AKZ PLUS,AKZPRT,False,False,10’x13’,Rectangle,8,3.64” x 2.56”,,SWV,Crank,Front to Back,104 lbs.,10.91,400 lbs.,"AKZPRT-SS: Silver Shadow, | AKZPRT-WO: Weathered Oak | AKZPRT-00: Bronze | AKZPRT-02: Anthracite | AKZPRT-09: Black",CAKZRT Protective cover PFC920 STRIPED FABRICS NOT AVAILABLE ON THIS STYLE.,Truck Only,AKZPRT-0_,CAKZRT
Cantilever,11.5’ AKZ PLUS,AKZPSQ11,False,False,11.5’,Square,8,3.64” x 2.56”,,SWV,Crank,Front to Back,SWV 89 lbs.,12,400 lbs.,AKZPSQ11-00: Bronze | AKZPSQ11-09: Black,,Truck Only,AKZPSQ11-0_,C812SQ
Cantilever,11’ AKZ PLUS,AKZP,False,False,11’,Octagon,8,3.64” x 2.56”,,DWV,Crank,Front to Back,DWV 99 lbs.,10.91,200 lbs.,AKZP-00D: Bronze | AKZP-02D: Anthracite | AKZP-09D: Black,,Truck Only,AKZP-0_,C811RD
Cantilever,11.5’ AG25T,AG25TR,False,False,11.5’,Octagon,8,3.54” x 2.56”,,DWV,Crank,Front to Back,DWV 72 lbs.,6.8,200 lbs.,AG25TR-00D: Bronze | AG25TR-09D: Black,,Truck Only,AG25TR-0_,CAG25RD
Cantilever,10’ AG25TSQ,AG25TSQR,False,False,10’,Square,8,3.54” x 2.56”,,SWV,Crank,Front to Back,SWV 72 lbs.,6.8,200 lbs.,AG25TSQR-00: Bronze | AG25TSQR-09: Black,,Truck Only,AG25TSQR-0_,CAG25SQR
Cantilever,10’ AG25T,AG25TR10,True,False,10’,Octagon,8,3.54” x 2.56”,,DWV,Crank,Front to Back,DWV 59 lbs.,7.03,200 lbs.,AG25TR10-00D: Bronze | AG25TR10-09D: Black,,Truck Only,AG25TR10-0_,CAG25-10RD
Specialty,10’x13’ EASY TRACK®,ET3RT,True,False,10’x13’,Rectangle,8,1.5”,,,,,38 lbs.,3.47,100 lbs.,ET3RT-00: Bronze | ET3RT-09: Black,STRIPED FABRICS NOT AVAILABLE ON THIS STYLE.,Truck Only,,CET3RT
