Part Type,Item Stub,Pole Height,Finish Code,Finish Name,Composed SKU,Display Name,Fits Model (Code),Fits Model (Name),short_description,MSRP,Sale Price
Frame,AKZP13LX-_,,00,Bronze,AKZP13LX-00,Replacement Frame for STARLUX AKZ PLUS 13' in Bronze,AKZP13LX,STARLUX AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,2080.0,1560
Frame,AKZP13LX-_,,09,Black,AKZP13LX-09,Replacement Frame for STARLUX AKZ PLUS 13' in Black,AKZP13LX,STARLUX AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,2080.0,1560
Frame,AKZPRTLX-_,,00,Bronze,AKZPRTLX-00,Replacement Frame for STARLUX AKZ PLUS 10'x13' in Bronze,AKZPRTLX,STARLUX AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,2120.0,1590
Frame,AKZPRTLX-_,,09,Black,AKZPRTLX-09,Replacement Frame for STARLUX AKZ PLUS 10'x13' in Black,AKZPRTLX,STARLUX AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,2120.0,1590
Frame,AKZP13-_,,SS,Silver Shadow,AKZP13-SS,Replacement Frame for AKZ PLUS 13' in Silver Shadow,AKZP13,AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,1960.0,1470
Frame,AKZP13-_,,WO,Weathered Oak,AKZP13-WO,Replacement Frame for AKZ PLUS 13' in Weathered Oak,AKZP13,AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,1960.0,1470
Frame,AKZP13-_,,00,Bronze,AKZP13-00,Replacement Frame for AKZ PLUS 13' in Bronze,AKZP13,AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,1805.0,1354
Frame,AKZP13-_,,02,Anthracite,AKZP13-02,Replacement Frame for AKZ PLUS 13' in Anthracite,AKZP13,AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,1805.0,1354
Frame,AKZP13-_,,09,Black,AKZP13-09,Replacement Frame for AKZ PLUS 13' in Black,AKZP13,AKZ PLUS 13',Note: Replacement frame only - fabric cover NOT included.,1805.0,1354
Frame,AKZPRT-_,,SS,Silver Shadow,AKZPRT-SS,Replacement Frame for AKZ PLUS 10'x13' in Silver Shadow,AKZPRT,AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,1995.0,1497
Frame,AKZPRT-_,,WO,Weathered Oak,AKZPRT-WO,Replacement Frame for AKZ PLUS 10'x13' in Weathered Oak,AKZPRT,AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,1995.0,1497
Frame,AKZPRT-_,,00,Bronze,AKZPRT-00,Replacement Frame for AKZ PLUS 10'x13' in Bronze,AKZPRT,AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,1910.0,1433
Frame,AKZPRT-_,,02,Anthracite,AKZPRT-02,Replacement Frame for AKZ PLUS 10'x13' in Anthracite,AKZPRT,AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,1910.0,1433
Frame,AKZPRT-_,,09,Black,AKZPRT-09,Replacement Frame for AKZ PLUS 10'x13' in Black,AKZPRT,AKZ PLUS 10'x13',Note: Replacement frame only - fabric cover NOT included.,1910.0,1433
Frame,AKZPSQ11-_,,00,Bronze,AKZPSQ11-00,Replacement Frame for AKZ PLUS 11.5' in Bronze,AKZPSQ11,AKZ PLUS 11.5',Note: Replacement frame only - fabric cover NOT included.,1745.0,1309
Frame,AKZPSQ11-_,,09,Black,AKZPSQ11-09,Replacement Frame for AKZ PLUS 11.5' in Black,AKZPSQ11,AKZ PLUS 11.5',Note: Replacement frame only - fabric cover NOT included.,1745.0,1309
Frame,AKZP-_,,00,Bronze,AKZP-00,Replacement Frame for AKZ PLUS 11' in Bronze,AKZP,AKZ PLUS 11',Note: Replacement frame only - fabric cover NOT included.,1620.0,1215
Frame,AKZP-_,,02,Anthracite,AKZP-02,Replacement Frame for AKZ PLUS 11' in Anthracite,AKZP,AKZ PLUS 11',Note: Replacement frame only - fabric cover NOT included.,1620.0,1215
Frame,AKZP-_,,09,Black,AKZP-09,Replacement Frame for AKZ PLUS 11' in Black,AKZP,AKZ PLUS 11',Note: Replacement frame only - fabric cover NOT included.,1620.0,1215
Frame,AG25TR-_,,00,Bronze,AG25TR-00,Replacement Frame for AG25T 11.5' in Bronze,AG25TR,AG25T 11.5',Note: Replacement frame only - fabric cover NOT included.,1100.0,825
Frame,AG25TR-_,,09,Black,AG25TR-09,Replacement Frame for AG25T 11.5' in Black,AG25TR,AG25T 11.5',Note: Replacement frame only - fabric cover NOT included.,1100.0,825
Frame,AG25TSQR-_,,00,Bronze,AG25TSQR-00,Replacement Frame for AG25TSQ 10' in Bronze,AG25TSQR,AG25TSQ 10',Note: Replacement frame only - fabric cover NOT included.,1115.0,837
Frame,AG25TSQR-_,,09,Black,AG25TSQR-09,Replacement Frame for AG25TSQ 10' in Black,AG25TSQR,AG25TSQ 10',Note: Replacement frame only - fabric cover NOT included.,1115.0,837
Frame,AG25TR10-_,,00,Bronze,AG25TR10-00,Replacement Frame for AG25T 10' in Bronze,AG25TR10,AG25T 10',Note: Replacement frame only - fabric cover NOT included.,1075.0,807
Frame,AG25TR10-_,,09,Black,AG25TR10-09,Replacement Frame for AG25T 10' in Black,AG25TR10,AG25T 10',Note: Replacement frame only - fabric cover NOT included.,1075.0,807
Frame,ET3RT-_,,00,Bronze,ET3RT-00,Replacement Frame for EASY TRACK® 10'x13' in Bronze,ET3RT,EASY TRACK® 10'x13',Note: Replacement frame only - fabric cover NOT included.,1010.0,758
Frame,ET3RT-_,,09,Black,ET3RT-09,Replacement Frame for EASY TRACK® 10'x13' in Black,ET3RT,EASY TRACK® 10'x13',Note: Replacement frame only - fabric cover NOT included.,1010.0,758
Frame,ET310-_,,00,Bronze,ET310-00,Replacement Frame for Easy Track® in Bronze,ET310,Easy Track®,Note: Replacement frame only - fabric cover NOT included.,740.0,555
Frame,ET310-_,,09,Black,ET310-09,Replacement Frame for Easy Track® in Black,ET310,Easy Track®,Note: Replacement frame only - fabric cover NOT included.,740.0,555
Frame,USA45-_,,09,Black,USA45-09,Replacement Frame for SHANGHAI COLLAR TILT 10' in Black,USA45,SHANGHAI COLLAR TILT 10',Note: Replacement frame only - fabric cover NOT included.,330.0,248
Frame,UM851-_,,02,Anthracite,UM851-02,Replacement Frame for TWIST 11' in Anthracite,UM851,TWIST 11',Note: Replacement frame only - fabric cover NOT included.,565.0,424
Frame,UM851-_,,03,White,UM851-03,Replacement Frame for TWIST 11' in White,UM851,TWIST 11',Note: Replacement frame only - fabric cover NOT included.,565.0,424
Frame,UM850-_,,02,Anthracite,UM850-02,Replacement Frame for TWIST 9' in Anthracite,UM850,TWIST 9',Note: Replacement frame only - fabric cover NOT included.,555.0,417
Frame,UM850-_,,03,White,UM850-03,Replacement Frame for TWIST 9' in White,UM850,TWIST 9',Note: Replacement frame only - fabric cover NOT included.,555.0,417
Frame,UM800LX-_,,00,Bronze,UM800LX-00,Replacement Frame for STARLUX COLLAR TILT 9' in Bronze,UM800LX,STARLUX COLLAR TILT 9',Note: Replacement frame only - fabric cover NOT included.,875.0,657
Frame,UM800LX-_,,09,Black,UM800LX-09,Replacement Frame for STARLUX COLLAR TILT 9' in Black,UM800LX,STARLUX COLLAR TILT 9',Note: Replacement frame only - fabric cover NOT included.,875.0,657
Frame,UM801-_,,00,Bronze,UM801-00,Replacement Frame for COLLAR TILT 11' in Bronze,UM801,COLLAR TILT 11',Note: Replacement frame only - fabric cover NOT included.,480.0,360
Frame,UM801-_,,09,Black,UM801-09,Replacement Frame for COLLAR TILT 11' in Black,UM801,COLLAR TILT 11',Note: Replacement frame only - fabric cover NOT included.,480.0,360
Frame,UM800-_,,00,Bronze,UM800-00,Replacement Frame for COLLAR TILT 9' in Bronze,UM800,COLLAR TILT 9',Note: Replacement frame only - fabric cover NOT included.,430.0,323
Frame,UM800-_,,09,Black,UM800-09,Replacement Frame for COLLAR TILT 9' in Black,UM800,COLLAR TILT 9',Note: Replacement frame only - fabric cover NOT included.,430.0,323
Frame,UM841-_,,SS,Silver Shadow,UM841-SS,Replacement Frame for FLEX 11' in Silver Shadow,UM841,FLEX 11',Note: Replacement frame only - fabric cover NOT included.,520.0,390
Frame,UM841-_,,00,Bronze,UM841-00,Replacement Frame for FLEX 11' in Bronze,UM841,FLEX 11',Note: Replacement frame only - fabric cover NOT included.,465.0,349
Frame,UM841-_,,09,Black,UM841-09,Replacement Frame for FLEX 11' in Black,UM841,FLEX 11',Note: Replacement frame only - fabric cover NOT included.,465.0,349
