Manufacturer,Item Number,Item Name,Attribute Type,Attribute / Part Name,Value / Description
Treasure Garden,UM851,11' TWIST,Feature,,Powder coated aluminum
Treasure Garden,UM851,11' TWIST,Feature,,Easy to twist collar tilt function
Treasure Garden,UM851,11' TWIST,Feature,,Maximum tilt 30°
Treasure Garden,UM851,11' TWIST,Feature,,Release clamp on housing to easily rotate umbrella 360°
Treasure Garden,UM851,11' TWIST,Feature,,Functional crank handle automatically returns to center position
Treasure Garden,UM851,11' TWIST,Feature,,Modernly designed hub / fittings / crank housing / and finial
Treasure Garden,UM851,11' TWIST,Feature,,Textured two-piece ribbed pole
Treasure Garden,UM851,11' TWIST,Feature,,Crank lift system
Treasure Garden,UM851,11' TWIST,Feature,,100% Kevlar mesh lift cord for added strength and durability
Treasure Garden,UM851,11' TWIST,Feature,,Residential and commercial use
Treasure Garden,UM851,11' TWIST,Option,,Bases and mount kits
Treasure Garden,UM851,11' TWIST,Option,,Protective cover - PFC902
Treasure Garden,UM851,11' TWIST,Replacement Part,Frame,UM851-0_
Treasure Garden,UM851,11' TWIST,Replacement Part,Canopy (SWV),C8511
Treasure Garden,UM851,11' TWIST,Replacement Part,37" Bottom Pole (Standard),BP37-850_
Treasure Garden,UM851,11' TWIST,Replacement Part,45" Bottom Pole,BP45-850_
Treasure Garden,UM850,9' TWIST,Feature,,Powder coated aluminum
Treasure Garden,UM850,9' TWIST,Feature,,Easy to twist collar tilt function
Treasure Garden,UM850,9' TWIST,Feature,,Maximum tilt 30°
Treasure Garden,UM850,9' TWIST,Feature,,Release clamp on housing to easily rotate umbrella 360°
Treasure Garden,UM850,9' TWIST,Feature,,Functional crank handle automatically returns to center position
Treasure Garden,UM850,9' TWIST,Feature,,Modernly designed hub / fittings / crank housing / and finial
Treasure Garden,UM850,9' TWIST,Feature,,Textured two-piece ribbed pole
Treasure Garden,UM850,9' TWIST,Feature,,Crank lift system
Treasure Garden,UM850,9' TWIST,Feature,,100% Kevlar mesh lift cord for added strength and durability
Treasure Garden,UM850,9' TWIST,Feature,,Residential and commercial use
Treasure Garden,UM850,9' TWIST,Option,,Bases and mount kits
Treasure Garden,UM850,9' TWIST,Option,,Protective cover - PFC902
Treasure Garden,UM850,9' TWIST,Replacement Part,Frame,UM850-0_
Treasure Garden,UM850,9' TWIST,Replacement Part,Canopy (SWV),C8509
Treasure Garden,UM850,9' TWIST,Replacement Part,37" Bottom Pole (Standard),BP37-850_
Treasure Garden,UM850,9' TWIST,Replacement Part,45" Bottom Pole,BP45-850_
Treasure Garden,UM800LX,9' Starlux Collar Tilt,Feature,,Light strips built into (8) ribs for an elegant and modern look
