Manufacturer,Item Name,Item Number,Collection,Size,Shape,Ribs,Rib Diameter,Pole Diameter,Pole Thickness,Bottom Pole,Vent,Lift,Tilt,Weight (SWV),Weight (DWV),Cube,Min Base Weight (lbs),Coverage (sq ft),Notes
Treasure Garden,11' TWIST,UM851,Market Collection,11',Octagon,8,,1.58"/40mm,,37",SWV,Crank,Collar,19 lbs.,,4.41,80,85,
Treasure Garden,9' TWIST,UM850,Market Collection,9',Octagon,8,,1.58"/40mm,,37",SWV,Crank,Collar,16 lbs.,,3.75,50,57,
Treasure Garden,9' Starlux Collar Tilt,UM800LX,Market Collection,9',Octagon,8,,1.5",,32","SWV / DWV",Crank,Collar,24 lbs.,25 lbs.,2.7,50,57,LED light strips built into ribs
Treasure Garden,11' Collar Tilt,UM801,Market Collection,11',Octagon,8,,1.5",,36","SWV / DWV",Crank,Collar,22 lbs.,23 lbs.,1.74,80,85,
Treasure Garden,9' Collar Tilt,UM800,Market Collection,9',Octagon,8,,1.5",,32","SWV / DWV",Crank,Collar,19 lbs.,20 lbs.,1.74,50,57,
Treasure Garden,11' FLEX,UM841,Market Collection,11',Octagon,8,0.6"/17mm,1.58"/40mm,0.08"/2mm,32","SWV / DWV",Crank,Crank,20 lbs.,23 lbs.,1.72,80,85,Commercial grade fiberglass ribs
Treasure Garden,9' FLEX,UM840,Market Collection,9',Octagon,8,0.6"/17mm,1.58"/40mm,0.08"/2mm,32","SWV / DWV",Crank,Crank,18 lbs.,19 lbs.,1.72,50,57,Commercial grade fiberglass ribs
Treasure Garden,7.5' FLEX,UM847SQ,Market Collection,7.5',Square,4,0.6"/17mm,1.58"/40mm,0.08"/2mm,32",SWV,Crank,Crank,12 lbs.,,1.72,50,56,Commercial grade fiberglass ribs; Square shape
Treasure Garden,11' Auto Tilt,UM812,Market Collection,11',Octagon,8,,1.5",,36","SWV / DWV",Crank,Crank,22 lbs.,23 lbs.,1.74,80,85,
Treasure Garden,9' Auto Tilt,UM810,Market Collection,9',Octagon,8,,1.5",,32","SWV / DWV",Crank,Crank,19 lbs.,20 lbs.,1.74,50,57,
Treasure Garden,8'x10' Auto Tilt,UM8810RT,Market Collection,8'x10',Rectangle,8,,1.5",,32",SWV,Crank,Crank,22 lbs.,,1.95,100,80,STRIPED FABRICS NOT AVAILABLE ON THIS STYLE
Treasure Garden,9' Glide Tilt,UM970,Market Collection,9',Octagon,8,,1.5",,36","SWV / DWV",Crank,Glide,18 lbs.,19 lbs.,1.58,50,57,
Treasure Garden,7.5' Glide Tilt,UM977,Market Collection,7.5',Octagon,8,,1.5",,36",SWV,Crank,Glide,15 lbs.,,1.44,50,39,
Treasure Garden,9' Push Button Tilt,UM920,Market Collection,9',Octagon,8,,1.38" Top / 1.5" Bottom,,32","SWV / DWV",Crank,Push Button,17 lbs.,18 lbs.,1.74,50,57,
