collection,style,sku,name,height,width,depth,seat_height,arm_height
Corsica,CUSHION,171311,LOUNGE CHAIR,39,30.5,34.5,19,23.5
Corsica,CUSHION,171325NT,SWIVEL ACTION LOUNGER,39,30,34,19,23.5
Corsica,CUSHION,171317,OTTOMAN,16.5,30,24,16.5,14
Corsica,CUSHION,171314,LOVE SEAT,39,55.5,34.5,19,23.5
Corsica,CUSHION,171321,SOFA,39,80.5,34.5,19,23.5
Corsica,CUSHION,171310CL,CRESCENT LOVE SEAT,39,76.5,42,20,22.5
Corsica,CUSHION,171310CS,CRESCENT SOFA,39,103.5,44,20,22.5
Corsica,CUSHION,660908C50,CRESCENT OTTOMAN BENCH,16,49,26,16,
Corsica,WOVEN,161537WS,DINING CHAIR,37,25,29,17,23.5
Corsica,WOVEN,161501WS,HIGH BACK DINING CHAIR,43,25,27,17,23.5
Corsica,WOVEN,161569WS,SWIVEL ROCKER,37,25,29,17,23.5
Corsica,WOVEN,161570WS,HIGH BACK SWIVEL ROCKER,43,25,27,17,23.5
Corsica,WOVEN,161525NTWS,SWIVEL ACTION LOUNGER,43,28,28,17,24
Corsica,WOVEN,161517WS,OTTOMAN,15,27.5,21,15,14.5
Corsica,WOVEN,161527WS-28,SWIVEL BAR STOOL,48,25,28,28,34.5
Corsica,SLING,161137,DINING CHAIR,36,25,27.5,17,23.5
Corsica,SLING,161101,HIGH BACK DINING CHAIR,42.5,25,27.5,17,23.5
Corsica,SLING,161169,SWIVEL ROCKER,36.5,25,29,17.5,24
Corsica,SLING,161170,HIGH BACK SWIVEL ROCKER,42.5,25,28,17.5,24
Corsica,SLING,161125NT,SWIVEL ACTION LOUNGER,42.5,28,28,17.5,24
Corsica,SLING,161117,OTTOMAN,14.5,27.5,21.5,14.5,
Corsica,SLING,161116,DOUBLE GLIDER,41,51.5,33,18,24.5
Corsica,SLING,161127-28,SWIVEL BAR STOOL,47,25,29,28,34.5
Corsica,PADDED SLING,161132,CHAISE LOUNGE,45,28.5,81,15.5,21.5
Corsica,PADDED SLING,161137PS,DINING CHAIR,36,25,27.5,17,23.5
Corsica,PADDED SLING,161101PS,HIGH BACK DINING CHAIR,42.5,25,27.5,17,23.5
Corsica,PADDED SLING,161169PS,SWIVEL ROCKER,36.5,25,29,17.5,24
Corsica,PADDED SLING,161170PS,HIGH BACK SWIVEL ROCKER,42.5,25,28,17.5,24
Corsica,PADDED SLING,161125NTPS,SWIVEL ACTION LOUNGER,42.5,28,28,17.5,24
Corsica,PADDED SLING,161117PS,OTTOMAN,14.5,27.5,21.5,14.5,
Corsica,PADDED SLING,161116PS,DOUBLE GLIDER,41,51.5,33,18,24.5
Corsica,PADDED SLING,161127PS-28,BAR STOOL,47,25,29,28,34.5
Corsica,PADDED SLING,161132PS,CHAISE LOUNGE,45,28.5,81,15.5,21.5
Kenzo,CUSHION,391411,LOUNGE CHAIR,39,30,34,18,22.5
Kenzo,CUSHION,391425NT,SWIVEL ACTION LOUNGER,39,30,34,18,23.5
Kenzo,CUSHION,391417,OTTOMAN,13,30,22,15.5,13
Kenzo,CUSHION,391414,LOVE SEAT,39,55,34,18,22.5
Kenzo,CUSHION,391421,SOFA,39,79.5,34,18,22.5
Kenzo,CUSHION,391432,CHAISE LOUNGE,40,30.5,79,18,25
Kenzo,CUSHION,391810CC2,CRESCENT ARMLESS,,,,,
Kenzo,CUSHION,391410CL,CRESCENT LOVE SEAT,39,76.5,40,19,22.5
Kenzo,CUSHION,391410CS,CRESCENT SOFA,39,100.5,44.5,19,22.5
Kenzo,MODULAR,391610MR2,RIGHT ARM,,,,,
Kenzo,MODULAR,391610MC,ARMLESS MODULE,39,25,34.5,18,
Kenzo,MODULAR,391610SC,SQUARE CORNER MODULE,39,36.5,36.5,18,
Kenzo,MODULAR,391610ML2,LEFT ARM 2-SEAT MODULE,39,52.5,34.5,18,22.5
Kenzo,WOVEN,391611WS,LOUNGE CHAIR,39,30,34,18,22.5
Kenzo,WOVEN,391614WS,LOVE SEAT,39,55,34,18,22.5
Kenzo,WOVEN,391621WS,SOFA,39,79.5,34,18,22.5
Kenzo,WOVEN,391625NTWS,SWIVEL ACTION LOUNGER,39,30,34,18,23.5
Kenzo,SLING,381537,DINING CHAIR,35.5,25.5,30,17.5,23.5
Kenzo,SLING,381501,HIGH BACK DINING CHAIR,42,25.5,29,17.5,23.5
Kenzo,SLING,381569,SWIVEL ROCKER,35.5,25.5,30,17.5,23.5
Kenzo,SLING,381570,HIGH BACK SWIVEL ROCKER,42,25.5,29,17.5,23.5
Kenzo,SLING,381525NT,SWIVEL ACTION LOUNGER,41.5,28.5,29,17,23
Kenzo,SLING,381517,OTTOMAN,14.5,28.5,21,14.5,14
Kenzo,SLING,381527-28,SWIVEL BAR STOOL,48.5,25.5,28,28,34.5
Kenzo,SLING,381532,CHAISE LOUNGE,46,29,80.5,15,22
Kenzo,PADDED SLING,381537PS,DINING CHAIR,35.5,25.5,30,17.5,23.5
Kenzo,PADDED SLING,381501PS,HIGH BACK DINING CHAIR,42,25.5,29,17.5,23.5
Kenzo,PADDED SLING,381569PS,SWIVEL ROCKER,35.5,25.5,30,17.5,23.5
Kenzo,PADDED SLING,381570PS,HIGH BACK SWIVEL ROCKER,42,25.5,29,17.5,23.5
Kenzo,PADDED SLING,381525NTPS,SWIVEL ACTION LOUNGER,41.5,28.5,29,17,23
Kenzo,PADDED SLING,381517PS,OTTOMAN,14.5,28.5,21,14.5,14
Kenzo,PADDED SLING,381527PS-28,SWIVEL BAR STOOL,48.5,25.5,28,28,34.5
Kenzo,PADDED SLING,381532PS,CHAISE LOUNGE,46,29,80.5,15,22
Kenzo,PADDED SLING,381537WS,DINING CHAIR,35.5,25.5,30,17.5,23.5
Kenzo,PADDED SLING,381501WS,HIGH BACK DINING CHAIR,42,25.5,29.5,17.5,23.5
Kenzo,PADDED SLING,381569WS,SWIVEL ROCKER,35.5,25.5,30,17.5,23.5
Kenzo,PADDED SLING,381570WS,HIGH BACK SWIVEL ROCKER,42,25.5,29.5,17.5,23.5
Kenzo,PADDED SLING,381525NTWS,SWIVEL ACTION LOUNGER,41.5,28.5,29,17,23
Kenzo,PADDED SLING,381517WS,OTTOMAN,14.5,28.5,21,14.5,14
Kenzo,PADDED SLING,381527WS-28,SWIVEL BAR STOOL,48.5,25.5,30,28,34.5
Kenzo,PADDED SLING,381532WS,CHAISE LOUNGE,46,29,80.5,15,22
KOR,,901611AC,ARM CHAIR,32,31,34,19,21.5
KOR,,901650,LOUNGER,26.5,69,45.5,16.5,21
KOR,,901652,LOUNGER OTTOMAN,16.5,60,26,16.5,
KOR,,901650SD,LOUNGER W/ SHADE,58,69,45.5,16.5,21
KOR,MODULAR,901610MR,RIGHT ARM MODULE,32,28,34,19,22
KOR,MODULAR,901610MC,ARMLESS MODULE,32,25.5,32.5,19,
KOR,MODULAR,901610ML,LEFT ARM MODULE,32,28,34,19,22
KOR,MODULAR,901610CC,CURVED CORNER MODULE,32,49,30,19,
KOR,MODULAR,901710SC,SQUARE CORNER MODULE,32,34,34,19,
KOR,SLING,891814,LOVE SEAT TIGHT SLING,30.5,30,29,17,21
KOR,SLING,891821,SOFA TIGHT SLING,16.5,30,22,15,16.5
KOR,SLING,891732,TIGHT SLING,,,,,
KOR,SLING,891733,TIGHT SLING,,,,,
KOR,PADDED SLING,891524PS,DINING CHAIR 4,32,29,26.5,17.5,21.5
KOR,PADDED SLING,891528PS,SIDE CHAIR 4,32,25,25.5,17.5,
KOR,PADDED SLING,891513PS,SPA CHAIR 4,24.5,29,26.5,10,15
KOR,PADDED SLING,891820PS,ARMLESS RECLINER,41.5,29,48.5,16,
KOR,PADDED SLING,891511PS,LOUNGE CHAIR,30.5,30,29,17,21
KOR,PADDED SLING,891517PS,OTTOMAN,16.5,30,22,15,16.5
KOR,PADDED SLING,891814PS,LOVE SEAT,30.5,53.5,29,17,21
KOR,PADDED SLING,891821PS,SOFA,30.5,77,29,17,21
KOR,PADDED SLING,891526PS,BAR STOOL,43,29,26.5,28,32.5
KOR,PADDED SLING,891529PS,ARMLESS BAR STOOL,43,22.5,26,28,
KOR,PADDED SLING,891532PS,CHAISE LOUNGE 4,42,34,78.5,15.5,20
KOR,PADDED SLING,891533PS,ARMLESS CHAISE LOUNGE 4,42,28.5,78.5,15.5,
Lakeside,CUSHION,732325NT,SWIVEL ACTION LOUNGER,37,33,34,18,24
Lakeside,CUSHION,731370,HIGH BACK SWIVEL ROCKER,45,27,32,21.5,25.5
Lakeside,CUSHION,732311,LOUNGE CHAIR,37,30,34.5,20,25.5
Lakeside,CUSHION,732317,OTTOMAN,15.5,30,22,17,15.5
Lakeside,CUSHION,732314,LOVE SEAT,37,55,34.5,20,25.5
Lakeside,CUSHION,732321,SOFA,37,80,34.5,20,25.5
Lakeside,SLING,740501,HIGH BACK DINING CHAIR,41.5,25.5,29.5,17.5,25
Lakeside,SLING,740570,HIGH BACK SWIVEL ROCKER,41.5,25.5,29.5,17.5,25
Lakeside,SLING,740527-28,SWIVEL BAR STOOL,48.5,25.5,28.5,28,35.5
Lakeside,SLING,740532,CHAISE LOUNGE,46.5,29,80.5,15,22.5
Lakeside,PADDED SLING,740501PS,HIGH BACK DINING CHAIR,41.5,25.5,29.5,17.5,25
Lakeside,PADDED SLING,740570PS,HIGH BACK SWIVEL ROCKER,41.5,25.5,29.5,17.5,25
Lakeside,PADDED SLING,740527PS-28,SWIVEL BAR STOOL,48.5,25.5,28.5,28,35.5
Lakeside,PADDED SLING,741232PS,CHAISE LOUNGE,46.5,29,80.5,15,22.5
