id,sku,name,mfg_name,cat_name,available_online,quote_only,show_price_online,price,sale_price,is_active,priced,scope
5110,NGU550-L,Nova Replacement Top Cover,Frankford Umbrellas,Replacement Parts,True,False,True,810.00,729.00,True,True,OUT
5131,30-SA,Drill Bit Sand Auger,Frankford Umbrellas,Replacement Parts,True,False,True,145.00,131.00,True,True,OUT
5132,CB01,Navy Blue Cotton Beach Umbrella Carry Bag,Frankford Umbrellas,Replacement Parts,True,False,True,34.00,31.00,True,True,OUT
5134,CB87-B-SS (2),Stainless Steel Surface Mount L-Brackets,Frankford Umbrellas,Replacement Parts,True,False,True,120.00,108.00,True,True,OUT
5135,ECU/ARU-PC,Protective Cover (Eclipse/Aurora),Frankford Umbrellas,Replacement Parts,True,False,True,150.00,135.00,True,True,OUT
5136,NGU-PC,Protective Cover (NOVA),Frankford Umbrellas,Replacement Parts,True,False,True,396.00,357.00,True,True,OUT
5137,GS/876-PC,Protective Cover (G-Series/876),Frankford Umbrellas,Replacement Parts,True,False,True,150.00,135.00,True,True,OUT
5138,PC-SM,"Protective Cover - Small (60"" rib)",Frankford Umbrellas,Replacement Parts,True,False,True,116.00,105.00,True,True,OUT
5139,PC-LG,"Protective Cover - Large (74"" rib)",Frankford Umbrellas,Replacement Parts,True,False,True,129.00,117.00,True,True,OUT
5140,1170,Vinyl Cover 6-8ft,Frankford Umbrellas,Replacement Parts,True,False,True,70.00,63.00,True,True,OUT
5141,1174,Vinyl Cover 9-11ft,Frankford Umbrellas,Replacement Parts,True,False,True,78.00,71.00,True,True,OUT
5142,MCB01,Sleeve Carry Bag (Greenwich/Monterey),Frankford Umbrellas,Replacement Parts,True,False,True,75.00,68.00,True,True,OUT
5143,LED01,Led Light + Charging Kit,Frankford Umbrellas,Replacement Parts,True,False,True,99.00,90.00,True,True,OUT
5144,LED-C4,Eclipse v4 Cantilever Umbrella LED Clip,Frankford Umbrellas,Replacement Parts,True,False,True,9.00,9.00,True,True,OUT
