product_id,sku,name,manufacturer_id,category_id,display_order
2023,421-CC,Monterra Lounge Chair,13,43,0
2024,421-SB,Monterra Spring Base Lounge Chair,13,43,1
2025,421-SR,Monterra Swivel Rocker Lounge Chair,13,43,2
2026,427-2S,Monterra Love Seat,13,43,3
2027,426-2S,Monterra Crescent Love Seat,13,43,4
2028,427-3S,Monterra Sofa,13,43,5
2029,425-L,Monterra Left Sectional,13,43,6
2030,425-C,Monterra Center Sectional,13,43,7
2031,425-R,Monterra Right Sectional,13,43,8
2032,419-O,Monterra Ottoman,13,43,9
2033,424-MSB,Monterra Urban-Scale Spring Base Lounge Chair,13,43,10
2034,424-MSR,Monterra Urban-Scale Swivel Rocker Lounge Chair,13,43,11
2035,423-2MS,Monterra Urban-Scale Crescent Love Seat,13,43,12
2036,424-2MS,Monterra Urban Scale Love Seat,13,43,13
2037,424-3MS,Monterra Urban Scale Sofa,13,43,14
2038,4120-O,Monterra Urban Scale Ottoman,13,43,15
2039,404-A,Monterra Dining Arm Chair,13,44,16
2040,404-SR,Monterra Dining Swivel Rocker Arm Chair,13,44,17
2041,404-SCS,Monterra Swivel Counter Stool With Arms,13,44,18
2042,404-SBS,Monterra Swivel Bar Stool With Arms,13,44,19
2043,487-O,Monterra Curved Ottoman,13,43,20
2044,428-CH,Monterra Adjustable Chaise,13,43,21
2045,956-CCW,Classico Lounge Chair,13,43,22
2046,956-SRW,Classico Swivel Rocker Lounge Chair,13,43,23
2047,956-SBT,Classico Spring Base Lounge Chair,13,43,24
2048,937-SBW,Classico High-Back Spring Base Lounge Chair,13,43,25
2049,937-SRW,Classico High-Back Swivel Rocker Lounge Chair,13,43,26
2050,956-2SW,Classico Love Seat,13,43,27
2051,956-3SW,Classico Sofa,13,43,28
2052,950-OW,Classico Ottoman,13,43,29
2053,952-CHW,Classico Adjustable Chaise,13,43,30
2054,951-SCS,Classico Armless Swivel Counter Stool,13,44,31
2055,951-S,Classico Dining Side Chair,13,44,32
2056,953-AW,Classico Dining Arm Chair,13,44,33
2057,953-SRW,Classico Swivel Rocker Dining Arm Chair,13,44,34
2058,942-SRW,Classico Club Dining Swivel Rocker Arm Chair,13,44,35
2059,953-SCSW,Classico Swivel Counter Stool With Arms,13,44,36
2060,951-SBS,Classico Armless Swivel Bar Stool,13,44,37
2061,953-SBSW,Classico Swivel Bar Stool With Arms,13,44,38
2062,9-ST01,Classico 01 Side Table Base,13,52,39
2063,9-OT05,Classico 05 Occasional Table Base,13,52,40
2064,9-DT07,Classico Dining 07 Table Base,13,52,41
2065,9-DT03,Classico 03 Dining Table Base,13,52,42
2066,27175-CC,Aris Lounge Chair,13,43,43
2067,27175-SR,Aris Swivel Rocker Lounge Chair,13,43,44
2068,27275-SR,Aris Max Swivel Rocker Lounge Chair,13,43,45
2069,27175-2S,Aris Love Seat,13,43,46
2070,27276-2S,Aris Max Love Seat,13,43,47
2071,27175-3S,Aris Sofa,13,43,48
2072,27277-3S,Aris Max Sofa,13,43,49
2073,27170-O,Aris Ottoman,13,43,50
2074,27179-CH,Aris Adjustable Chaise,13,43,51
2075,2731-S,Aris Dining Side Chair,13,44,52
2076,2733-A,Aris Dining Arm Chair,13,44,53
2077,2733-SR,Aris Swivel Rocker Dining Arm Chair,13,44,54
2078,2731-MCS,Aris Backless Counter Stool,13,44,55
2079,2731-CS,Aris Armless Counter Stool,13,44,56
2080,2731-MBS,Aris Backless Bar Stool,13,44,57
2081,2731-BS,Aris Armless Bar Stool,13,44,58
2082,34184-CC,Arc Lounge Chair,13,43,59
2083,34184-SR,Arc Swivel Rocker Lounge Chair,13,43,60
2084,34184-2S,Arc Love Seat,13,43,61
2085,34184-3S,Arc Sofa,13,43,62
2086,34185-R,Arc Right Sectional,13,43,63
2087,34185-C,Arc Center Sectional,13,43,64
2088,34185-CR,Arc Corner Sectional,13,43,65
2089,34185-L,Arc Left Sectional,13,43,66
2090,34170-O,Arc Ottoman,13,43,67
2091,34198-CH,Arc Sling Adjustable Chaise Lounge,13,43,68
2092,3433-S,Arc Dining Side Chair,13,44,69
2093,3433-A,Arc Dining Arm Chair,13,44,70
2094,3433-SR,Arc Swivel Rocker Dining Arm Chair,13,44,71
2095,3433-CS,Arc Counter Stool,13,44,72
2096,3433-BS,Arc Bar Stool,13,44,73
2097,5110-2872O,Santorini Occasional Height Fire Pit,13,45,74
2098,5110-2872C,Santorini Chat Height Fire Pit,13,45,75
2099,5110-3050O,Santorini Occasional Height Fire Pit,13,45,76
2100,5110-3050C,Santorini Chat Height Fire Pit,13,45,77
2101,5110-30RDC,"Santorini 30"" Rd. Chat Height Fire Pit",13,45,78
2102,5110-36RDC,"Santorini 36"" Rd. Chat Height Fire Pit",13,45,79
2103,5110-42RDO,"Santorini 42"" Rd. Occasional Height Fire Pit",13,45,80
2104,5110-42RDC,"Santorini 42"" Rd. Chat Height Fire Pit",13,45,81
2105,5110-54RDO,"Santorini 54"" Rd. Occasional Height Fire Pit",13,45,82
2106,5110-54RDC,"Santorini 54"" Rd. Chat Height Fire Pit",13,45,83
2107,5110-3658O,Santorini Occasional Height Fire Pit,13,45,84
2108,5110-3658C,Santorini Chat Height Fire Pit,13,45,85
2109,5112-3050C,Capri Chat Height Fire Pit,13,45,86
2110,5112-42RDC,"Capri 42"" Rd. Chat Height Fire Pit",13,45,87
2111,5112-30RDC,"Capri 30"" Rd. Chat Height Fire Pit",13,45,88
2112,5112-36RDC,"Capri 36"" Rd. Chat Height Fire Pit",13,45,89
2113,5112-42RDO,"Capri 42"" Rd. Occasional Height Fire Pit",13,45,90
2114,5112-54RDO,"Capri 54"" Rd. Occasional Height Fire Pit",13,45,91
2115,5112-54RDC,"Capri 54"" Rd. Chat Height Fire Pit",13,45,92
2116,5112-3050O,Capri Occasional Height Fire Pit,13,45,93
2117,5112-2872O,Capri Occasional Height Fire Pit,13,45,94
2118,5112-2872C,Capri Chat Height Fire Pit,13,45,95
2119,5112-3658O,Capri Occasional Height Fire Pit,13,45,96
2120,5112-3658C,Capri Chat Height Fire Pit,13,45,97
2126,5122-30RDC,"Elba 30"" Rd. Chat Height Fire Pit",13,45,103
2127,5122-36RDC,"Elba 36"" Rd. Chat Height Fire Pit",13,45,104
2128,5122-42RDO,"Elba 42"" Rd. Occasional Height Fire Pit",13,45,105
2129,5122-42RDC,"Elba 42"" Rd. Chat Height Fire Pit",13,45,106
2130,5122-54RDC,"Elba 54"" Rd. Chat Height Fire Pit",13,45,107
2131,5122-54RDO,"Elba 54"" Rd. Occasional Height Fire Pit",13,45,108
2132,5122-54RDD,"Elba 54"" Rd. Dining Height Fire Pit",13,45,109
2133,5122-54RDK,"Elba 54"" Rd. Counter Height Fire Pit",13,45,110
2134,5122-2872O,Elba Occasional Height Fire Pit,13,45,111
2135,5122-2872C,Elba Chat Height Fire Pit,13,45,112
2136,5122-3050O,Elba Occasional Height Fire Pit,13,45,113
2137,5122-3050C,Elba Chat Height Fire Pit,13,45,114
2138,5122-3658O,Elba Occasional Height Fire Pit,13,45,115
2139,5122-3658C,Elba Chat Height Fire Pit,13,45,116
2140,5122-4272K,Elba Counter Height Fire Pit,13,45,117
2142,5153-2545O,Moda Occasional Height Fire Pit,13,45,122
2143,5153-2565O,Moda Occasional Height Fire Pit,13,45,123
2144,5152-2545O,Forma Occasional Height Fire Pit,13,45,124
2145,5152-2565O,Forma Occasional Height Fire Pit,13,45,125
2147,5123-42RDC,"Volante 42"" Rd. Chat Height Fire Pit",13,45,127
2150,QD-4587DT,Quadra Dining Table,13,52,158
2151,37-ST01,Table Bases Marin 01 Side Table Base,13,52,170
2152,37-OT05,Table Bases Marin 05 Occasional Table Base,13,52,171
2153,37-DT03,Table Bases Marin 03 Dining Table Base,13,52,172
2154,37-DT07,Table Bases Marin 07 Dining Table Base,13,52,173
2155,ST01-BASE,Table Bases Standard Iron 01 Side Table Base,13,52,174
2156,OT05-BASE,Table Bases Standard Iron 05 Occasional Table Base,13,52,175
2157,OT03-BASE,Table Bases Standard Iron 03 Occasional Table Base,13,52,176
2158,DT01-BASE,Table Bases Standard Iron 01 Dining Table Base,13,52,177
2159,DT03-BASE,Table Bases Standard Iron 03 Dining Table Base,13,52,178
2160,DT05-BASE,Table Bases Standard Iron 05 Dining Table Base,13,52,179
2161,DT07-BASE,Table Bases Standard Iron 07 Dining Table Base,13,52,180
2162,CT01-BASE,Table Bases Standard Iron 01 Counter Table Base,13,52,181
2163,CT03-BASE,Table Bases Standard Iron 03 Counter Table Base,13,52,182
2164,BT01-BASE,Table Bases Standard Iron 01 Bar Table Base,13,52,183
2165,BT03-BASE,Table Bases Standard Iron 03 Bar Table Base,13,52,184
2166,AT-DT03,Table Bases Standard Aluminum 03 Dining Table Base,13,52,185
2167,AT-DT01,Table Bases Standard Aluminum 01 Dining Table Base,13,52,186
2168,AT-DT07,Table Bases Standard Aluminum 07 Dining Table Base,13,52,187
2169,AT-DT10,Table Bases Standard Aluminum 10 Dining Table Base,13,52,188
2170,AT-CT01,Table Bases Standard Aluminum 01 Counter Table Base,13,52,189
2171,AT-CT03,Table Bases Standard Aluminum 03 Counter Table Base,13,52,190
2172,MA-BT05,Table Bases Modern Aluminum 05 Bar Table Base,13,52,191
2173,MA-CT05,Table Bases Modern Aluminum 05 Counter Table Base,13,52,192
2174,MA-DT10,Table Bases Modern Aluminum 10 Dining Table Base,13,52,193
2176,MA-ST01,Table Bases Modern Aluminum 01 Side Table Base,13,52,195
2177,MA-OT05,Table Bases Modern Aluminum 05 Occasional Table Base,13,52,196
2180,171311,Corsica Cushion Lounge Chair,25,41,0
2181,171325NT,Corsica Cushion Swivel Action Lounger,25,41,0
2182,171317,Corsica Cushion Ottoman,25,41,0
2183,171314,Corsica Cushion Love Seat,25,41,0
2184,171321,Corsica Cushion Sofa,25,41,0
2185,171310CL,Corsica Cushion Crescent Love Seat,25,41,0
2186,171310CS,Corsica Cushion Crescent Sofa,25,41,0
2187,660908C50,Corsica Cushion Crescent Ottoman Bench,25,41,0
2188,161537WS,Corsica Woven Dining Chair,25,44,0
2189,161501WS,Corsica Woven High Back Dining Chair,25,44,0
2190,161569WS,Corsica Woven Swivel Rocker,25,43,0
2191,161570WS,Corsica Woven High Back Swivel Rocker,25,43,0
2192,161525NTWS,Corsica Woven Swivel Action Lounger,25,43,0
2193,161517WS,Corsica Woven Ottoman,25,49,0
2194,161527WS-28,Corsica Woven Swivel Bar Stool,25,47,0
2195,161137,Corsica Sling Dining Chair,25,44,0
2196,161101,Corsica Sling High Back Dining Chair,25,44,0
2197,161169,Corsica Sling Swivel Rocker,25,43,0
2198,161170,Corsica Sling High Back Swivel Rocker,25,43,0
2199,161125NT,Corsica Sling Swivel Action Lounger,25,43,0
2200,161117,Corsica Sling Ottoman,25,49,0
2201,161116,Corsica Sling Double Glider,25,43,0
2202,161127-28,Corsica Sling Swivel Bar Stool,25,47,0
2203,161132,Corsica Sling Chaise Lounge,25,42,0
2204,161137PS,Corsica Padded Sling Dining Chair,25,44,0
2205,161101PS,Corsica Padded Sling High Back Dining Chair,25,44,0
2206,161169PS,Corsica Padded Sling Swivel Rocker,25,43,0
2207,161170PS,Corsica Padded Sling High Back Swivel Rocker,25,43,0
2208,161125NTPS,Corsica Padded Sling Swivel Action Lounger,25,43,0
2209,161117PS,Corsica Padded Sling Ottoman,25,49,0
2210,161116PS,Corsica Padded Sling Double Glider,25,43,0
2211,161127PS-28,Corsica Padded Sling Bar Stool,25,47,0
2212,161132PS,Corsica Padded Sling Chaise Lounge,25,42,0
2213,391411,Kenzo Cushion Lounge Chair,25,41,0
2214,391425NT,Kenzo Cushion Swivel Action Lounger,25,41,0
2215,391417,Kenzo Cushion Ottoman,25,41,0
2216,391414,Kenzo Cushion Love Seat,25,41,0
2217,391421,Kenzo Cushion Sofa,25,41,0
2218,391432,Kenzo Cushion Chaise Lounge,25,41,0
2219,391810CC2,Kenzo Cushion Crescent Armless,25,41,0
2220,391410CL,Kenzo Cushion Crescent Love Seat,25,41,0
2221,391410CS,Kenzo Cushion Crescent Sofa,25,41,0
2222,391610MR2,Kenzo Modular Right Arm,25,43,0
