id,sku,name,category_id,category_name,sub_category,display_order
4843,AKZPRTLX,STARLUX AKZ PLUS 10'x13',38,Umbrellas,Cantilever,1
4844,AKZP13,AKZ PLUS 13',38,Umbrellas,Cantilever,2
4845,AKZPRT,AKZ PLUS 10'x13',38,Umbrellas,Cantilever,3
4846,AKZPSQ11,AKZ PLUS 11.5',38,Umbrellas,Cantilever,4
4847,AKZP,AKZ PLUS 11',38,Umbrellas,Cantilever,5
4848,AG25TR,AG25T 11.5',38,Umbrellas,Cantilever,6
4849,AG25TSQR,AG25TSQ 10',38,Umbrellas,Cantilever,7
4850,AG25TR10,AG25T 10',38,Umbrellas,Cantilever,8
4851,ET3RT,EASY TRACK® 10'x13',38,Umbrellas,Specialty,9
4852,ET310,Easy Track®,38,Umbrellas,Specialty,10
4853,USA45-09,SHANGHAI COLLAR TILT 10',38,Umbrellas,Specialty,11
4854,UM851,TWIST 11',38,Umbrellas,Market,12
4855,UM850,TWIST 9',38,Umbrellas,Market,13
4856,UM800LX,STARLUX COLLAR TILT 9',38,Umbrellas,Market,14
4857,UM801,COLLAR TILT 11',38,Umbrellas,Market,15
4858,UM800,COLLAR TILT 9',38,Umbrellas,Market,16
4859,UM841,FLEX 11',38,Umbrellas,Market,17
4860,UM840,FLEX 9',38,Umbrellas,Market,18
4861,UM847SQ,FLEX 7.5',38,Umbrellas,Market,19
4862,UM812,AUTO TILT 11',38,Umbrellas,Market,20
4863,UM810,AUTO TILT 9',38,Umbrellas,Market,21
4864,UM8810RT,AUTO TILT 8'x10',38,Umbrellas,Market,22
4865,UM970,GLIDE TILT 9',38,Umbrellas,Market,23
4866,UM977,GLIDE TILT 7.5',38,Umbrellas,Market,24
4867,UM920,PUSH BUTTON TILT 9',38,Umbrellas,Market,25
4868,UM907,PUSH BUTTON TILT 7.5',38,Umbrellas,Market,26
4869,UM809-1H,QUAD PULLEY LIFT 9',38,Umbrellas,Market,27
4870,BA150,Commercial,39,Umbrella Bases,,28
4871,BSK120,Steel (with casters),39,Umbrella Bases,,29
4872,BTT100,Athens,39,Umbrella Bases,,30
4873,BRW100,Aurora,39,Umbrella Bases,,31
4874,BKM100,Monaco Round,39,Umbrella Bases,,32
4875,BKMSQ100,Monaco Square,39,Umbrella Bases,,33
4876,BG50,Garden,39,Umbrella Bases,,34
4877,BA50,Art Deco,39,Umbrella Bases,,35
4878,BW50,Classic,39,Umbrella Bases,,36
4879,BS359,Steel,39,Umbrella Bases,,37
4880,BW30,Add-On Weight,39,Umbrella Bases,,38
4881,BS70-2.0,Steel,39,Umbrella Bases,,39
4882,ZBWH-SM,Add-On Wheels,39,Umbrella Bases,,40
4883,BASE-13R-_,AKZ13 Rolling Base,39,Umbrella Bases,Cantilever,41
4884,ZB115,Z-Plate,39,Umbrella Bases,,42
4885,BASE-13-_,AKZ13 Base,39,Umbrella Bases,Cantilever,43
4886,BASE-AKZ-_,AKZ Base,39,Umbrella Bases,Cantilever,44
2024,421-SB,Monterra Spring Base Lounge Chair,43,Deep Seating,Lounge Chairs,1
2025,421-SR,Monterra Swivel Rocker Lounge Chair,43,Deep Seating,Lounge Chairs,2
2026,427-2S,Monterra Love Seat,43,Deep Seating,Love Seats,3
2027,426-2S,Monterra Crescent Love Seat,43,Deep Seating,Love Seats,4
2028,427-3S,Monterra Sofa,43,Deep Seating,Sofas,5
2029,425-L,Monterra Left Sectional,43,Deep Seating,Sectionals,6
2030,425-C,Monterra Center Sectional,43,Deep Seating,Lounge Chairs,7
2031,425-R,Monterra Right Sectional,43,Deep Seating,Sectionals,8
2032,419-O,Monterra Ottoman,43,Deep Seating,Ottomans,9
2033,424-MSB,Monterra Urban-Scale Spring Base Lounge Chair,43,Deep Seating,Lounge Chairs,10
2034,424-MSR,Monterra Urban-Scale Swivel Rocker Lounge Chair,43,Deep Seating,Lounge Chairs,11
2035,423-2MS,Monterra Urban-Scale Crescent Love Seat,43,Deep Seating,Love Seats,12
2036,424-2MS,Monterra Urban Scale Love Seat,43,Deep Seating,Love Seats,13
2037,424-3MS,Monterra Urban Scale Sofa,43,Deep Seating,Sofas,14
2038,4120-O,Monterra Urban Scale Ottoman,43,Deep Seating,Ottomans,15
2043,487-O,Monterra Curved Ottoman,43,Deep Seating,Ottomans,20
2044,428-CH,Monterra Adjustable Chaise,43,Deep Seating,Chaise,21
2045,956-CCW,Classico Lounge Chair,43,Deep Seating,Lounge Chairs,22
2046,956-SRW,Classico Swivel Rocker Lounge Chair,43,Deep Seating,Lounge Chairs,23
2047,956-SBT,Classico Spring Base Lounge Chair,43,Deep Seating,Lounge Chairs,24
2048,937-SBW,Classico High-Back Spring Base Lounge Chair,43,Deep Seating,Lounge Chairs,25
2049,937-SRW,Classico High-Back Swivel Rocker Lounge Chair,43,Deep Seating,Lounge Chairs,26
2050,956-2SW,Classico Love Seat,43,Deep Seating,Love Seats,27
