id,sku,name,collection,category_id,sub_category,manufacturer_id,display_order,featured,is_active,catalog_visible,available_online,quote_only,price,msrp,category_name,manufacturer_name
2293,845CAM,The Greenwich,,38,Market,28,0,False,True,True,True,False,1030.00,1030.00,Umbrellas,Frankford Umbrellas
2294,845FM,The Monterey Pulley Lift,,38,Market,28,0,False,True,True,True,False,566.00,566.00,Umbrellas,Frankford Umbrellas
2295,845FMC,The Monterey Crank Lift Non-Tilting,,38,Market,28,0,False,True,True,True,False,607.00,607.00,Umbrellas,Frankford Umbrellas
2296,845FMA,The Monterey Crank Lift Auto-Tilting,,38,Market,28,0,False,True,True,True,False,657.00,657.00,Umbrellas,Frankford Umbrellas
2297,880CAM,The Giant Greenwich,,38,Market,28,0,False,True,True,True,False,1875.00,1875.00,Umbrellas,Frankford Umbrellas
2298,880FM,The Giant Monterey,,38,Market,28,0,False,True,True,True,False,1682.00,1682.00,Umbrellas,Frankford Umbrellas
2299,868ARU,The Aurora Aluminum,,38,Cantilever,28,0,True,True,True,True,False,3851.00,3851.00,Umbrellas,Frankford Umbrellas
2300,868ECU,The Eclipse,,38,Cantilever,28,0,False,True,True,True,False,6040.00,6040.00,Umbrellas,Frankford Umbrellas
2301,844FA-01,The Catalina,,38,Market,28,0,True,True,True,True,False,456.00,456.00,Umbrellas,Frankford Umbrellas
2302,845A,The Laurel,,38,Market,28,0,False,True,True,True,False,373.00,373.00,Umbrellas,Frankford Umbrellas
3375,727,Deluxe Auto Tilt 7.5',,38,Market,29,0,False,True,True,True,False,640.00,640.00,Umbrellas,Galtech International
3376,737,Deluxe Auto Tilt Umbrella 9',,38,Market,29,0,False,True,True,True,False,815.00,815.00,Umbrellas,Galtech International
3377,779,Deluxe Auto Tilt Oval Umbrella 8'x11',,38,Market,29,0,False,True,True,True,False,1250.00,1250.00,Umbrellas,Galtech International
3378,789,Deluxe Auto Tilt Umbrella 11',,38,Market,29,0,False,True,True,True,False,1085.00,1085.00,Umbrellas,Galtech International
3379,799,Deluxe Auto Tilt Umbrella 10'x10',,38,Market,29,0,False,True,True,True,False,1440.00,1440.00,Umbrellas,Galtech International
3380,636,Manual Tilt Umbrella 9',,38,Market,29,0,False,True,True,True,False,480.00,480.00,Umbrellas,Galtech International
3381,736,Standard Auto Tilt Umbrella 9',,38,Market,29,0,False,True,True,True,False,620.00,620.00,Umbrellas,Galtech International
