manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Couture Jardin,couture-jardin,2570,AC17-GRIDGREEN0-0000,Decorative Pillow Grid Green,decorative-pillow-grid-green-cj,"• PRODUCT SPECIFICATIONS W- 42cm/16.5 “ L- 42cm/16.5 “

<ul>
  <li>PRODUCT SPECIFICATIONS W- 42cm/16.5 “ L- 42cm/16.5 “</li>
</ul>",• PRODUCT SPECIFICATIONS W- 42cm/16.5 “ L- 42cm/16.5 “,Accent Pieces,cat-accent-pieces,,,,,,,,,fixed,,W: 42cm/16.5 | D: 42cm/16.5,"{""Depth"":""42cm/16.5"",""Width"":""42cm/16.5""}","[""Accent pieces""]",false,true,false,true,false,,0,0,true,2026-05-30 02:18:03.848448+00,2026-06-08 21:38:21.904+00,[],[],[],"[{""finish_id"":207,""item_number"":null,""name"":""Anthracite"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":213,""item_number"":null,""name"":""Cover Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1},{""finish_id"":249,""item_number"":null,""name"":""White"",""description"":null,""collection"":null,""image_url"":null,""display_order"":2}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/AC17-GRIDGREEN0-0000.jpg"",""alt_text"":""Decorative Pillow Grid Green"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2571,AC17-GRIDGREY00-000,Decorative Pillow Grid Grey,decorative-pillow-grid-grey-cj,"• PRODUCT SPECIFICATIONS W- 42cm/16.5″ L- 42cm/16.5″

<ul>
  <li>PRODUCT SPECIFICATIONS W- 42cm/16.5″ L- 42cm/16.5″</li>
</ul>",• PRODUCT SPECIFICATIONS W- 42cm/16.5″ L- 42cm/16.5″,Accent Pieces,cat-accent-pieces,,,,,,,,,fixed,,W: 42cm/16.5 | D: 42cm/16.5,"{""Depth"":""42cm/16.5"",""Width"":""42cm/16.5""}","[""Accent pieces""]",false,true,false,true,false,,0,0,true,2026-05-30 02:18:04.129697+00,2026-06-08 21:38:21.176+00,[],[],[],"[{""finish_id"":207,""item_number"":null,""name"":""Anthracite"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":213,""item_number"":null,""name"":""Cover Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1},{""finish_id"":249,""item_number"":null,""name"":""White"",""description"":null,""collection"":null,""image_url"":null,""display_order"":2}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/AC17-GRIDGREY00-000.jpg"",""alt_text"":""Decorative Pillow Grid Grey"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2573,AC17-STARGREY00-0000,Decorative Pillow Star Grey,decorative-pillow-star-grey-cj,"• PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″

<ul>
  <li>PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″</li>
</ul>",• PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″,Accent Pieces,cat-accent-pieces,,,,,,,,,fixed,,W: 42cm/16.5 | D: 42cm/16.5,"{""Depth"":""42cm/16.5"",""Width"":""42cm/16.5""}","[""Accent pieces""]",false,true,false,true,false,,0,0,true,2026-05-30 02:18:04.772854+00,2026-06-08 21:38:21.183+00,[],[],[],"[{""finish_id"":207,""item_number"":null,""name"":""Anthracite"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":213,""item_number"":null,""name"":""Cover Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1},{""finish_id"":249,""item_number"":null,""name"":""White"",""description"":null,""collection"":null,""image_url"":null,""display_order"":2}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/AC17-STARGREY00-0000.jpg"",""alt_text"":""Decorative Pillow Star Grey"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2572,AC17-STARYELLOW-0000,Decorative Pillow Star Yellow,decorative-pillow-star-yellow-cj,"• PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″

<ul>
  <li>PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″</li>
</ul>",• PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″,Accent Pieces,cat-accent-pieces,,,,,,,,,fixed,,W: 42cm/16.5 | D: 42cm/16.5,"{""Depth"":""42cm/16.5"",""Width"":""42cm/16.5""}",[],false,true,false,true,false,,0,0,true,2026-05-30 02:18:04.452982+00,2026-06-08 21:38:21.18+00,[],[],[],"[{""finish_id"":207,""item_number"":null,""name"":""Anthracite"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":213,""item_number"":null,""name"":""Cover Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1},{""finish_id"":249,""item_number"":null,""name"":""White"",""description"":null,""collection"":null,""image_url"":null,""display_order"":2}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/AC17-STARYELLOW-0000.jpg"",""alt_text"":""Decorative Pillow Star Yellow"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2323,BL10-GREENSTOCK-0000,Billie Armchair,billie-armchair-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor faux leather

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>UV treated outdoor rope;</li>
  <li>High density foam;</li>
  <li>UV treated durable outdoor faux leather</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor faux leather",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,W: 70cm/27.6 | D: 79cm/31 | H: 76cm/30 | Seat H: 35cm/13.8 | Arm H: 61cm/24,"{""Depth"":""79cm/31"",""Width"":""70cm/27.6"",""Height"":""76cm/30"",""Arm Height"":""61cm/24"",""Seat Height"":""35cm/13.8""}","[""billie""]",false,true,false,true,false,,0,0,true,2026-05-30 02:17:10.45464+00,2026-06-08 21:38:21.322+00,[],[],[],"[{""finish_id"":229,""item_number"":null,""name"":""Green"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BL10-GREENSTOCK-0000.jpg"",""alt_text"":""Billie Armchair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2324,BL10-GREIGSTOCK-0000,Billie Armchair 2,billie-armchair-2-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor faux leather

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>UV treated outdoor rope;</li>
  <li>High density foam;</li>
  <li>UV treated durable outdoor faux leather</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor faux leather",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,W: 70cm/27.6 | D: 79cm/31 | H: 76cm/30 | Seat H: 35cm/13.8 | Arm H: 61cm/24,"{""Depth"":""79cm/31"",""Width"":""70cm/27.6"",""Height"":""76cm/30"",""Arm Height"":""61cm/24"",""Seat Height"":""35cm/13.8""}","[""billie""]",false,true,false,true,false,,0,0,true,2026-05-30 02:17:10.663644+00,2026-06-08 21:38:21.326+00,[],[],[],"[{""finish_id"":224,""item_number"":null,""name"":""Frame Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":247,""item_number"":null,""name"":""Weaving Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BL10-GREIGSTOCK-0000.jpg"",""alt_text"":""Billie Armchair 2"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2557,BR04-ANTHRSTOCK-0000,Breeze Coffee Table,breeze-coffee-table-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• HPL Table Top

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>HPL Table Top</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• HPL Table Top",Coffee & Side Tables,cat-coffee-side-tables,Aluminum,aluminum,,,,,,,fixed,,W: 70cm/27.6 | D: 114cm/45 | H: 35cm/13.8,"{""Depth"":""114cm/45"",""Width"":""70cm/27.6"",""Height"":""35cm/13.8""}","[""Breeze""]",false,true,false,true,false,,0,0,true,2026-05-30 02:18:01.316243+00,2026-06-08 21:38:21.866+00,[],[],[],"[{""finish_id"":224,""item_number"":null,""name"":""Frame Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":247,""item_number"":null,""name"":""Weaving Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BR04-ANTHRSTOCK-0000.jpg"",""alt_text"":""Breeze Coffee Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2325,BR10-ANTHRSTOCK-0000,Breeze Armchair,breeze-armchair-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>UV treated outdoor rope;</li>
  <li>High density foam;</li>
  <li>UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,W: 96cm/37.8 | D: 87cm/34.3 | H: 67cm/26.4 | Seat H: 40cm/15.7 | Arm H: 67cm/26.4,"{""Depth"":""87cm/34.3"",""Width"":""96cm/37.8"",""Height"":""67cm/26.4"",""Arm Height"":""67cm/26.4"",""Seat Height"":""40cm/15.7""}","[""Breeze""]",false,true,false,true,false,,0,0,true,2026-05-30 02:17:10.957722+00,2026-06-08 21:38:21.33+00,[],[],[],"[{""finish_id"":224,""item_number"":null,""name"":""Frame Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":247,""item_number"":null,""name"":""Weaving Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BR10-ANTHRSTOCK-0000.jpg"",""alt_text"":""Breeze Armchair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2328,BR22-ANTHRSTOCK-0000,Breeze Right Hand Sofa,breeze-right-hand-sofa-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>UV treated outdoor rope;</li>
  <li>High density foam;</li>
  <li>UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,W: 182cm/71.7 | D: 87cm/34.3 | H: 67cm/26.4 | Seat H: 40cm/15.7 | Arm H: 67cm/26.4,"{""Depth"":""87cm/34.3"",""Width"":""182cm/71.7"",""Height"":""67cm/26.4"",""Arm Height"":""67cm/26.4"",""Seat Height"":""40cm/15.7""}","[""Breeze""]",false,true,false,true,false,,0,0,true,2026-05-30 02:17:11.695475+00,2026-06-08 21:38:21.337+00,[],[],[],"[{""finish_id"":224,""item_number"":null,""name"":""Frame Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":247,""item_number"":null,""name"":""Weaving Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BR22-ANTHRSTOCK-0000.jpg"",""alt_text"":""Breeze Right Hand Sofa"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Couture Jardin,couture-jardin,2327,BR23-ANTHRSTOCK-0000,Breeze Left Hand Sofa,breeze-left-hand-sofa-cj,"• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”

<ul>
  <li>Contract-grade welded aluminum frame;</li>
  <li>Tiger brand powder coating;</li>
  <li>UV treated outdoor rope;</li>
  <li>High density foam;</li>
  <li>UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”</li>
</ul>","• Contract-grade welded aluminum frame;
• Tiger brand powder coating;
• UV treated outdoor rope;
• High density foam;
• UV treated durable outdoor acrylic fabric COUTUREtex, waterproof treat”",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,W: 182cm/71.7 | D: 87cm/34.3 | H: 67cm/26.4 | Seat H: 40cm/15.7 | Arm H: 67cm/26.4,"{""Depth"":""87cm/34.3"",""Width"":""182cm/71.7"",""Height"":""67cm/26.4"",""Arm Height"":""67cm/26.4"",""Seat Height"":""40cm/15.7""}","[""Breeze""]",false,true,false,true,false,,0,0,true,2026-05-30 02:17:11.443675+00,2026-06-08 21:38:21.334+00,[],[],[],"[{""finish_id"":224,""item_number"":null,""name"":""Frame Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":0},{""finish_id"":247,""item_number"":null,""name"":""Weaving Greige"",""description"":null,""collection"":null,""image_url"":null,""display_order"":1}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/couture-jardin/BR23-ANTHRSTOCK-0000.jpg"",""alt_text"":""Breeze Left Hand Sofa"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
