manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Frankford Umbrellas,frankford-umbrellas,5072,100A,100A Round,100a-round-frankford,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 8ST (table) or 18ST (freestanding) stem. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 8ST (table) or 18ST (freestanding) stem. Premium aluminum base.,Umbrella Bases,cat-umbrella-bases,,,590.00,531.00,,,590.00,,fixed,100.00,"24""/61cm dia. x 3.5""/9cm",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:26.039512+00,2026-06-16 18:26:26.039512+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/100a-round.jpg"",""alt_text"":""100A Round"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5073,100S,100S Square,100s-square-frankford,Steel plate wheel base. Freestanding with wheels.,Steel plate wheel base. Freestanding with wheels.,Umbrella Bases,cat-umbrella-bases,,,640.00,576.00,,,640.00,,fixed,100.00,"29.25""/74cm x 19""/48cm x 1.5""/3.8cm dia. stem",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:27.367929+00,2026-06-16 18:26:27.367929+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/100s-square.jpg"",""alt_text"":""100S Square"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5140,1170,Vinyl Cover 6-8ft,vinyl-cover-6-8ft-frankford,Vinyl protective cover for 6 to 8 foot umbrellas.,Vinyl protective cover for 6 to 8 foot umbrellas.,Replacement Parts,cat-replacement-parts,,,70.00,63.00,,,70.00,,fixed,,"6'-8""",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:53.114785+00,2026-06-16 18:26:53.114785+00,[],[],[],[],[],[],[]
Frankford Umbrellas,frankford-umbrellas,5141,1174,Vinyl Cover 9-11ft,vinyl-cover-9-11ft-frankford,Vinyl protective cover for 9 to 11 foot umbrellas.,Vinyl protective cover for 9 to 11 foot umbrellas.,Replacement Parts,cat-replacement-parts,,,78.00,71.00,,,78.00,,fixed,,"9'-11""",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:53.951687+00,2026-06-16 18:26:53.951687+00,[],[],[],[],[],[],[]
Frankford Umbrellas,frankford-umbrellas,5074,150A,150A Round,150a-round-frankford,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 18ST (freestanding or table) or 8ST (table) stem. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Must be paired with 18ST (freestanding or table) or 8ST (table) stem. Premium aluminum base.,Umbrella Bases,cat-umbrella-bases,,,970.00,873.00,,,970.00,,fixed,150.00,"30""/76cm dia. x 3.5""/9cm",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:27.546498+00,2026-06-16 18:26:27.546498+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/150a-round.jpg"",""alt_text"":""150A Round"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5103,150A+18ST2,150A+18ST2 Round,150a-18st2-round-frankford,Aluminum concrete-filled shell with rear hooded wheels. Premium aluminum base.,Aluminum concrete-filled shell with rear hooded wheels. Premium aluminum base.,Umbrella Bases,cat-umbrella-bases,,,970.00,873.00,,,970.00,,fixed,150.00,"30""/76cm dia. x 3.5""/9cm x 18ST2 stem (18""/45cm x 2""/5cm dia.)",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:37.46639+00,2026-06-16 18:26:37.46639+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/150a-18st2-round.jpg"",""alt_text"":""150A+18ST2 Round"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5087,18ST,18ST Stem,18st-stem-frankford,Stainless steel freestanding stem. Not available in powder-coated finishes.,Stainless steel freestanding stem. Not available in powder-coated finishes.,Umbrella Bases,cat-umbrella-bases,,,174.00,157.00,,,174.00,,fixed,,"18""/45cm x 1.5""/3.8cm dia.",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:31.811156+00,2026-06-16 18:26:31.811156+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/18st-stem.jpg"",""alt_text"":""18ST Stem"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5089,18ST2-Classic,18ST2 Stem (Classic),18st2-stem-classic-frankford,Stainless steel stem.,Stainless steel stem.,Umbrella Bases,cat-umbrella-bases,,,216.00,195.00,,,216.00,,fixed,,"18""/45cm x 2""/5cm dia.",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:32.081619+00,2026-06-16 18:26:32.081619+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/18st2-stem-classic.jpg"",""alt_text"":""18ST2 Stem (Classic)"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5117,18ST2-Giant,18ST2 Stem (Giant),18st2-stem-giant-frankford,Stainless steel freestanding stem. Not available in powder-coated finishes.,Stainless steel freestanding stem. Not available in powder-coated finishes.,Umbrella Bases,cat-umbrella-bases,,,216.00,195.00,,,216.00,,fixed,,"18""/45cm x 2""/5cm dia.",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:44.14205+00,2026-06-16 18:26:44.14205+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/18st2-stem-giant.jpg"",""alt_text"":""18ST2 Stem (Giant)"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Frankford Umbrellas,frankford-umbrellas,5083,20G-SQ,20G Square,20g-square-frankford,Galvanized steel plate base. Cannot be stacked. Table use with 8ST stem.,Galvanized steel plate base. Cannot be stacked. Table use with 8ST stem.,Umbrella Bases,cat-umbrella-bases,,,680.00,612.00,,,680.00,,fixed,70.00,"20""/50cm x 0.5""/12.7mm",,[],true,true,false,false,false,,0,0,true,2026-06-16 18:26:31.067172+00,2026-06-16 18:26:31.067172+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/frankford-non-umbrella/20g-square.jpg"",""alt_text"":""20G Square"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
