manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Hanamint,hanamint,3109,*Note,Storage Box Push Button,storage-box-push-button-hm,"Storage box push

<p>Storage box push button.</p>",Storage box push,Accent Pieces,cat-accent-pieces,,,,,,,,,fixed,,,,"[""Misc. Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:39.016449+00,2026-06-09 22:52:37.641+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/_Note/_Note_main.jpg"",""alt_text"":""Storage Box Push Button"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/_Note/_Note_2.jpg"",""alt_text"":""Storage Box Push Button"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3144,010440T30-06,Newport Table Base Plate,newport-table-base-plate-hm,"Newport table base plate, available in black or desert

<p>Newport table base plate, available in black or desert bronze.</p>","Newport table base plate, available in black or desert",Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:53.074734+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010440T30-06/010440T30-06_main.jpg"",""alt_text"":""Newport Table Base Plate"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010440T30-06/010440T30-06_2.jpg"",""alt_text"":""Newport Table Base Plate"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3145,010450T20,Newport/Chateau Table Leg,newport-chateau-table-leg-hm,"Newport Table Leg in Black or Desert Bronze. Fits Newport and Chateau Dining

<p>Newport Table Leg in Black or Desert Bronze. Fits Newport and Chateau Dining Tables.</p>",Newport Table Leg in Black or Desert Bronze. Fits Newport and Chateau Dining,Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:53.422947+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010450T20/010450T20_main.jpg"",""alt_text"":""Newport/Chateau Table Leg"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010450T20/010450T20_2.jpg"",""alt_text"":""Newport/Chateau Table Leg"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3132,010600T50-06,010600 Pedestal Table Base,010600-pedestal-table-base-hm,"Replacement pedestal table

<p>Replacement pedestal table base.</p>",Replacement pedestal table,Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:48.691572+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010600T50-06/010600T50-06_main.jpg"",""alt_text"":""010600 Pedestal Table Base"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010600T50-06/010600T50-06_2.jpg"",""alt_text"":""010600 Pedestal Table Base"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3142,010640T30-05,Newport Bar Table Center Plate,newport-bar-table-center-plate-hm,"Newport bar table center plate, available in

<p>Newport bar table center plate, available in black.</p>","Newport bar table center plate, available in",Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:52.31707+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010640T30-05/010640T30-05_main.jpg"",""alt_text"":""Newport Bar Table Center Plate"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010640T30-05/010640T30-05_2.jpg"",""alt_text"":""Newport Bar Table Center Plate"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3143,010650T30-18,Newport Square Side Table Center Plate,newport-square-side-table-center-plate-hm,"Newport Square Side Table Center Plate in Desert Bronze

<p>Newport Square Side Table Center Plate in Desert Bronze Finish.</p>",Newport Square Side Table Center Plate in Desert Bronze,Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:52.725797+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010650T30-18/010650T30-18_main.jpg"",""alt_text"":""Newport Square Side Table Center Plate"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/010650T30-18/010650T30-18_2.jpg"",""alt_text"":""Newport Square Side Table Center Plate"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2989,018011-06,"Tuscany 20""x 28"" Rect. Ice Bucket Table in Desert Bronze",tuscany-20-x-28-rect-ice-bucket-table-in-desert-bronze-hm,"Tuscany 20""x 28"" Rect. Ice Bucket Table in Desert

<p>Tuscany 20""x 28"" Rect. Ice Bucket Table in Desert Bronze</p>","Tuscany 20""x 28"" Rect. Ice Bucket Table in Desert",Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,,"[""Tuscany"",""Tables""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:21.182384+00,2026-06-09 22:52:37.657+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018011-06/018011-06_main.jpg"",""alt_text"":""Tuscany 20\""x 28\"" Rect. Ice Bucket Table in Desert Bronze"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018011-06/018011-06_2.jpg"",""alt_text"":""Tuscany 20\""x 28\"" Rect. Ice Bucket Table in Desert Bronze"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,2990,018062-05,"Tuscany 30"" Pedestal Counter Table in Black Finish",tuscany-30-pedestal-counter-table-in-black-finish-hm,"Tuscany 30"" Round Pedestal Counter Table in black. 37"" high - weight

<p>Tuscany 30"" Round Pedestal Counter Table in black. 37"" high - weight 77lbs</p>","Tuscany 30"" Round Pedestal Counter Table in black. 37"" high - weight",Dining,cat-dining,,,,,,,,,fixed,,,,"[""Tuscany"",""Tables""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:21.434175+00,2026-06-09 22:52:37.617+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018062-05/018062-05_main.jpg"",""alt_text"":""Tuscany 30\"" Pedestal Counter Table in Black Finish"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018062-05/018062-05_2.jpg"",""alt_text"":""Tuscany 30\"" Pedestal Counter Table in Black Finish"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3002,018280-06,Tuscany Swivel Counter Stool in Desert Bronze,tuscany-swivel-counter-stool-in-desert-bronze-hm,"Tuscany Swivel Counter Stool in Desert

<p>Tuscany Swivel Counter Stool in Desert Bronze</p>",Tuscany Swivel Counter Stool in Desert,Bar,cat-bar,,,,,,,,,fixed,,,,"[""Tuscany"",""Bar & Counter Stools""]",false,true,false,true,false,,0,0,true,2026-05-30 04:01:29.954329+00,2026-06-09 22:52:37.515+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018280-06/018280-06_main.jpg"",""alt_text"":""Tuscany Swivel Counter Stool in Desert Bronze"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018280-06/018280-06_2.jpg"",""alt_text"":""Tuscany Swivel Counter Stool in Desert Bronze"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
Hanamint,hanamint,3157,018450T20-156,Tuscany Standard Replacement Table Leg,tuscany-standard-replacement-table-leg-hm,"This Tuscany table leg fits all round, square and rectangular dining height tables. Tables with more than 4 legs would use this leg on the 4 corners and the middle leg would be the leg in this link: Tuscany Middle Replacement Table Leg - Hanamint Store It is available in Desert Mist

<p>This Tuscany table leg fits all round, square and rectangular dining height tables. Tables with more than 4 legs would use this leg on the 4 corners and the middle leg would be the leg in this link: Tuscany Middle Replacement Table Leg - Hanamint Store It is available in Desert Mist</p>","This Tuscany table leg fits all round, square and rectangular dining height tables. Tables with more than 4 legs would use this leg on the 4 corners and the middle leg would be the leg in this link: Tuscany Middle Replacement Table Leg - Hanamint Store It is available in Desert Mist",Replacement Parts,cat-replacement-parts,,,,,,,,,fixed,,,,"[""Table Parts"",""Parts & Hardware""]",false,true,false,true,false,,0,0,true,2026-05-30 04:02:57.204523+00,2026-06-09 22:52:36.83+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018450T20-156/018450T20-156_main.jpg"",""alt_text"":""Tuscany Standard Replacement Table Leg"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null},{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/hanamint/018450T20-156/018450T20-156_2.jpg"",""alt_text"":""Tuscany Standard Replacement Table Leg"",""is_primary"":false,""display_order"":1,""image_kind"":""gallery"",""variant_id"":null}]",[]
