manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
O.W. Lee,o-w-lee,4901,24 Round Dekton Top,"24"" Round Dekton Top",owlee-24-round-dekton-top-24-round-dekton-top,"Part of the O.W. Lee Tables, Tops & Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.","Tables, Tops & Bases collection · 24"" Round Dekton Top by O.W. Lee",Dining,cat-dining,,,,,,,,,fixed,,"W 24"" × D 24""","{""collection"":""Tables, Tops & Bases"",""source_url"":""https://www.owlee.com/collections/dekton-tops/24-round-dekton-top/"",""depth_length_in"":""24"",""width_diameter_in"":""24""}","[""o-w-lee"",""tables-tops-bases"",""made-in-usa"",""quote-only""]",false,true,true,true,false,,57,0,true,2026-06-02 00:19:51.079478+00,2026-06-02 00:19:51.079478+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee/TABLES TOPS BASES - 24 ROUND DEKTON TOP.jpg"",""alt_text"":""24\"" Round Dekton Top"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,4902,24 Round Micro Mesh Top,"24"" Round Micro Mesh Top",owlee-24-round-micro-mesh-top-24-round-micro-mesh-top,"Part of the O.W. Lee Tables, Tops & Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.","Tables, Tops & Bases collection · 24"" Round Micro Mesh Top by O.W. Lee",Dining,cat-dining,,,,,,,,,fixed,,"W 24"" × D 24""","{""collection"":""Tables, Tops & Bases"",""source_url"":""https://www.owlee.com/collections/micro-mesh-table-tops/24-round-mesh-top/"",""depth_length_in"":""24"",""width_diameter_in"":""24""}","[""o-w-lee"",""tables-tops-bases"",""made-in-usa"",""quote-only""]",false,true,true,true,false,,58,0,true,2026-06-02 00:19:51.338528+00,2026-06-02 00:19:51.338528+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee/TABLES TOPS BASES - 24 ROUND MICRO MESH TOP.jpg"",""alt_text"":""24\"" Round Micro Mesh Top"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,4903,24 Round Porcelain Top,"24"" Round Porcelain Top",owlee-24-round-porcelain-top-24-round-porcelain-top,"Part of the O.W. Lee Tables, Tops & Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.","Tables, Tops & Bases collection · 24"" Round Porcelain Top by O.W. Lee",Dining,cat-dining,,,,,,,,,fixed,,"W 24"" × D 24""","{""collection"":""Tables, Tops & Bases"",""source_url"":""https://www.owlee.com/collections/porcelain/24-round-city-top-porcelain-table-tops-city-series/"",""depth_length_in"":""24"",""width_diameter_in"":""24""}","[""o-w-lee"",""tables-tops-bases"",""made-in-usa"",""quote-only""]",false,true,true,true,false,,59,0,true,2026-06-02 00:19:51.631296+00,2026-06-02 00:19:51.631296+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee/TABLES TOPS BASES - 24 ROUND PORCELAIN TOP.jpg"",""alt_text"":""24\"" Round Porcelain Top"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,4904,24 Square Dekton Top,"24"" Square Dekton Top",owlee-24-square-dekton-top-24-square-dekton-top,"Part of the O.W. Lee Tables, Tops & Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.","Tables, Tops & Bases collection · 24"" Square Dekton Top by O.W. Lee",Dining,cat-dining,,,,,,,,,fixed,,"W 24"" × D 24""","{""collection"":""Tables, Tops & Bases"",""source_url"":""https://www.owlee.com/collections/dekton-tops/24-square-dekton-top/"",""depth_length_in"":""24"",""width_diameter_in"":""24""}","[""o-w-lee"",""tables-tops-bases"",""made-in-usa"",""quote-only""]",false,true,true,true,false,,60,0,true,2026-06-02 00:19:51.761355+00,2026-06-02 00:19:51.761355+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee/TABLES TOPS BASES - 24 SQUARE DEKTON TOP.jpg"",""alt_text"":""24\"" Square Dekton Top"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,4905,24 Square Porcelain Table Top,"24"" Square Porcelain Table Top",owlee-24-square-porcelain-table-top-24-square-porcelain-table-top,"Part of the O.W. Lee Tables, Tops & Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.","Tables, Tops & Bases collection · 24"" Square Porcelain Table Top by O.W. Lee",Dining,cat-dining,,,,,,,,,fixed,34.00,"W 24"" × D 24""","{""collection"":""Tables, Tops & Bases"",""source_url"":""https://www.owlee.com/collections/porcelain/24-square-porcelain-table-top/"",""weight_lbs"":""34"",""depth_length_in"":""24"",""width_diameter_in"":""24""}","[""o-w-lee"",""tables-tops-bases"",""made-in-usa"",""quote-only""]",false,true,true,true,false,,61,0,true,2026-06-02 00:19:51.968884+00,2026-06-02 00:19:51.968884+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee/TABLES TOPS BASES - 24 SQUARE PORCELAIN TABLE TOP.jpg"",""alt_text"":""24\"" Square Porcelain Table Top"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,2073,27170-O,Aris Ottoman,owlee-aris-ottoman-27170-o,"The O.W. Lee Aris Ottoman adds versatility and comfort to Aris seating arrangements. Its clean-lined form complements the collection’s modern aesthetic while functioning as a footrest or additional seating option. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Aris Ottoman adds versatility and comfort to Aris seating arrangements. Its clean-lined form complements the collection’s modern aesthetic while functioning as a footrest or additional seating option. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,27.00,"H 18"" × W 30"" × D 22""","{""height_in"":""18"",""collection"":""Aris"",""weight_lbs"":""27"",""arm_height_in"":""—"",""seat_height_in"":""—"",""spec_sheet_pdf"":""https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27170-O-Ottoman.pdf"",""depth_length_in"":""22"",""width_diameter_in"":""30""}","[""o-w-lee"",""aris"",""made-in-usa""]",false,true,true,true,false,,50,0,true,2026-05-03 01:40:46.923655+00,2026-06-17 00:27:47.619+00,[],[],[],"[{""finish_id"":11,""item_number"":""TG68"",""name"":""Carbon Black"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg"",""display_order"":0},{""finish_id"":12,""item_number"":""SP50"",""name"":""Copper Creek"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg"",""display_order"":0},{""finish_id"":13,""item_number"":""SP42"",""name"":""Espresso"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg"",""display_order"":0},{""finish_id"":14,""item_number"":""SP21"",""name"":""Graphite"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg"",""display_order"":0},{""finish_id"":15,""item_number"":""SP11"",""name"":""Rosewood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg"",""display_order"":0},{""finish_id"":16,""item_number"":""SP22"",""name"":""Sable"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg"",""display_order"":0},{""finish_id"":17,""item_number"":""AZ53"",""name"":""Sand Dollar"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg"",""display_order"":0},{""finish_id"":18,""item_number"":""TC20"",""name"":""Sandalwood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg"",""display_order"":0},{""finish_id"":19,""item_number"":""TG56"",""name"":""Shadow Grey"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg"",""display_order"":0},{""finish_id"":20,""item_number"":""VT25"",""name"":""Velvet White"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg"",""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee-v2/27170-O_Aris_Ottoman.jpg"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,2069,27175-2S,Aris Love Seat,owlee-aris-love-seat-27175-2s,"The O.W. Lee Aris Love Seat offers intimate seating with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Aris Love Seat offers intimate seating with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,100.00,"H 42.75"" × W 56"" × D 36""","{""height_in"":""42.75"",""collection"":""Aris"",""weight_lbs"":""100"",""arm_height_in"":""25.5"",""seat_height_in"":""18"",""spec_sheet_pdf"":""https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-2S-Love-Seat.pdf"",""depth_length_in"":""36"",""width_diameter_in"":""56""}","[""o-w-lee"",""aris"",""made-in-usa""]",false,true,true,true,false,,46,0,true,2026-05-03 01:40:46.910703+00,2026-06-17 00:27:47.597+00,[],[],[],"[{""finish_id"":11,""item_number"":""TG68"",""name"":""Carbon Black"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg"",""display_order"":0},{""finish_id"":12,""item_number"":""SP50"",""name"":""Copper Creek"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg"",""display_order"":0},{""finish_id"":13,""item_number"":""SP42"",""name"":""Espresso"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg"",""display_order"":0},{""finish_id"":14,""item_number"":""SP21"",""name"":""Graphite"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg"",""display_order"":0},{""finish_id"":15,""item_number"":""SP11"",""name"":""Rosewood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg"",""display_order"":0},{""finish_id"":16,""item_number"":""SP22"",""name"":""Sable"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg"",""display_order"":0},{""finish_id"":17,""item_number"":""AZ53"",""name"":""Sand Dollar"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg"",""display_order"":0},{""finish_id"":18,""item_number"":""TC20"",""name"":""Sandalwood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg"",""display_order"":0},{""finish_id"":19,""item_number"":""TG56"",""name"":""Shadow Grey"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg"",""display_order"":0},{""finish_id"":20,""item_number"":""VT25"",""name"":""Velvet White"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg"",""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee-v2/27175-2S_Aris_Love_Seat.jpg"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,2071,27175-3S,Aris Sofa,owlee-aris-sofa-27175-3s,"The O.W. Lee Aris Sofa offers intimate seating for 3 with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Aris Sofa offers intimate seating for 3 with classic Mid-Century Modern character. Its balanced proportions, refined lines, and comfortable cushions create an inviting outdoor love seat for relaxed conversation. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,,"H 42.75"" × W 82"" × D 36""","{""height_in"":""42.75"",""collection"":""Aris"",""weight_lbs"":""138 (pkg)"",""arm_height_in"":""25.5"",""seat_height_in"":""18"",""spec_sheet_pdf"":""https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-3S-Sofa.pdf"",""depth_length_in"":""36"",""width_diameter_in"":""82""}","[""o-w-lee"",""aris"",""made-in-usa""]",false,true,true,true,false,,48,0,true,2026-05-03 01:40:46.91726+00,2026-06-17 00:27:47.608+00,[],[],[],"[{""finish_id"":11,""item_number"":""TG68"",""name"":""Carbon Black"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg"",""display_order"":0},{""finish_id"":12,""item_number"":""SP50"",""name"":""Copper Creek"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg"",""display_order"":0},{""finish_id"":13,""item_number"":""SP42"",""name"":""Espresso"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg"",""display_order"":0},{""finish_id"":14,""item_number"":""SP21"",""name"":""Graphite"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg"",""display_order"":0},{""finish_id"":15,""item_number"":""SP11"",""name"":""Rosewood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg"",""display_order"":0},{""finish_id"":16,""item_number"":""SP22"",""name"":""Sable"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg"",""display_order"":0},{""finish_id"":17,""item_number"":""AZ53"",""name"":""Sand Dollar"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg"",""display_order"":0},{""finish_id"":18,""item_number"":""TC20"",""name"":""Sandalwood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg"",""display_order"":0},{""finish_id"":19,""item_number"":""TG56"",""name"":""Shadow Grey"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg"",""display_order"":0},{""finish_id"":20,""item_number"":""VT25"",""name"":""Velvet White"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg"",""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee-v2/27175-3S_Aris_Aris_Sofa.jpg"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,2066,27175-CC,Aris Lounge Chair,owlee-aris-lounge-chair-27175-cc,"O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,58.00,"H 42.75"" × W 30"" × D 36""","{""height_in"":""42.75"",""collection"":""Aris"",""weight_lbs"":""58"",""arm_height_in"":""25.5"",""seat_height_in"":""18"",""spec_sheet_pdf"":""https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-CC-Lounge-Chair.pdf"",""depth_length_in"":""36"",""width_diameter_in"":""30""}","[""o-w-lee"",""aris"",""made-in-usa""]",false,true,true,true,false,,43,0,true,2026-05-03 01:40:46.899215+00,2026-06-17 00:27:47.581+00,[],[],[],"[{""finish_id"":11,""item_number"":""TG68"",""name"":""Carbon Black"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg"",""display_order"":0},{""finish_id"":12,""item_number"":""SP50"",""name"":""Copper Creek"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg"",""display_order"":0},{""finish_id"":13,""item_number"":""SP42"",""name"":""Espresso"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg"",""display_order"":0},{""finish_id"":14,""item_number"":""SP21"",""name"":""Graphite"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg"",""display_order"":0},{""finish_id"":15,""item_number"":""SP11"",""name"":""Rosewood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg"",""display_order"":0},{""finish_id"":16,""item_number"":""SP22"",""name"":""Sable"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg"",""display_order"":0},{""finish_id"":17,""item_number"":""AZ53"",""name"":""Sand Dollar"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg"",""display_order"":0},{""finish_id"":18,""item_number"":""TC20"",""name"":""Sandalwood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg"",""display_order"":0},{""finish_id"":19,""item_number"":""TG56"",""name"":""Shadow Grey"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg"",""display_order"":0},{""finish_id"":20,""item_number"":""VT25"",""name"":""Velvet White"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg"",""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee-v2/27175-CC_Aris_Lounge_Chair.jpg"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
O.W. Lee,o-w-lee,2067,27175-SR,Aris Swivel Rocker Lounge Chair,owlee-aris-swivel-rocker-lounge-chair-27175-sr,"The O.W. Lee Aris Swivel Rocker Lounge Chair adds effortless motion to modern outdoor relaxation. Smooth swivel and gentle rocking enhance comfort while preserving the collection’s clean, retro-inspired aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Aris Swivel Rocker Lounge Chair adds effortless motion to modern outdoor relaxation. Smooth swivel and gentle rocking enhance comfort while preserving the collection’s clean, retro-inspired aesthetic. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, customers can easily customize each piece to seamlessly complement their individual style.",Deep Seating,cat-deep-seating,Aluminum,aluminum,,,,,,,fixed,68.00,"H 42.25"" × W 30"" × D 36""","{""height_in"":""42.25"",""collection"":""Aris"",""weight_lbs"":""68"",""arm_height_in"":""25.25"",""seat_height_in"":""17.5"",""spec_sheet_pdf"":""https://www.owlee.com/wp-content/uploads/2021/11/Aris_Retail_Spec_Sheets_2026_27175-SR-Swivel-Rocker-Lounge-Chair.pdf"",""depth_length_in"":""36"",""width_diameter_in"":""30""}","[""o-w-lee"",""aris"",""made-in-usa""]",false,true,true,true,false,,44,0,true,2026-05-03 01:40:46.902651+00,2026-06-17 00:27:47.586+00,[],[],[],"[{""finish_id"":11,""item_number"":""TG68"",""name"":""Carbon Black"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0001_TG68-Carbon-Black.jpg"",""display_order"":0},{""finish_id"":12,""item_number"":""SP50"",""name"":""Copper Creek"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0004_SP50-Copper-Creek.jpg"",""display_order"":0},{""finish_id"":13,""item_number"":""SP42"",""name"":""Espresso"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0005_SP42-Espresso.jpg"",""display_order"":0},{""finish_id"":14,""item_number"":""SP21"",""name"":""Graphite"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0007_SP21-Graphite.jpg"",""display_order"":0},{""finish_id"":15,""item_number"":""SP11"",""name"":""Rosewood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0008_SP11-Rosewood.jpg"",""display_order"":0},{""finish_id"":16,""item_number"":""SP22"",""name"":""Sable"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0006_SP22-Sable.jpg"",""display_order"":0},{""finish_id"":17,""item_number"":""AZ53"",""name"":""Sand Dollar"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0009_AZ53-Sand-Dollar.jpg"",""display_order"":0},{""finish_id"":18,""item_number"":""TC20"",""name"":""Sandalwood"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0003_TC20-Sandalwood.jpg"",""display_order"":0},{""finish_id"":19,""item_number"":""TG56"",""name"":""Shadow Grey"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0002_TG56-Shadow-Grey.jpg"",""display_order"":0},{""finish_id"":20,""item_number"":""VT25"",""name"":""Velvet White"",""description"":""Frame Finish"",""collection"":null,""image_url"":""https://www.owlee.com/wp-content/uploads/2025/12/finishes_0000_VT25-Velvet-White.jpg"",""display_order"":0}]",[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/owlee-v2/27175-SR_Aris_Swivel_Rocker_Lounge_Chair.jpg"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
