manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Shoreline,shoreline,4810,SL-abaco-club-chair,Abaco Club Chair,abaco-club-chair-shoreline,"Abaco Club Chair — Shoreline Craftworks. Available in 6 colors.

<p>Additional Fabric options available</p>",Abaco Club Chair — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Additional Fabric options available"",""Colors/Finishes"":""Black, Weatherwood, Charcoal, Dove Grey, White, Sea Glass""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.091112+00,2026-06-08 21:38:27.458+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_club_chair-hero.png"",""alt_text"":""Abaco Club Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4814,SL-abaco-deep-seating-sofa,Abaco Deep Seating Sofa,abaco-deep-seating-sofa-shoreline,Abaco Deep Seating Sofa by Shoreline Craftworks. Available in multiple colors and finishes.,Abaco Deep Seating Sofa — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""PLACEHOLDER -- product page not filled in by vendor"",""Colors/Finishes"":""Black, Charcoal, Dove Grey, Weatherwood, Sea Glass, White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.597716+00,2026-06-01 21:52:59.597716+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_deep_seating_sofa-hero.png"",""alt_text"":null,""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4815,SL-abaco-high-back-deep-seating,Abaco High Back Deep Seating,abaco-high-back-deep-seating-shoreline,"Abaco High Back Deep Seating — Shoreline Craftworks. Available in 6 colors.

<p>Length 80""</p>",Abaco High Back Deep Seating — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Length 80\"""",""Dimensions"":""Depth: 33\"" | Height: 39\"" | Back Height: 39\"""",""Colors/Finishes"":""Black, Dove Grey, Weatherwood, Sea Glass, White, Charcoal""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.719873+00,2026-06-08 21:38:27.475+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_high_back_deep_seating-hero.png"",""alt_text"":""Abaco High Back Deep Seating"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4817,SL-abaco-loveseat,Abaco Loveseat,abaco-loveseat-shoreline,"Abaco Loveseat — Shoreline Craftworks. Available in 6 colors.

<p>Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass</p>",Abaco Loveseat — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Dimensions"":""Width: 30\"" | Depth: 32\"" | Height: 33\"" | Back Height: 33\"""",""Colors/Finishes"":""Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:53:00.007402+00,2026-06-08 21:38:27.482+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_loveseat-hero.png"",""alt_text"":""Abaco Loveseat"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4813,SL-abaco-ottoman,Abaco Ottoman,abaco-ottoman-shoreline,"Abaco Ottoman — Shoreline Craftworks. Available in 6 colors.

<p>Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass</p>",Abaco Ottoman — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Colors/Finishes"":""Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.584351+00,2026-06-08 21:38:27.471+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_ottoman-hero.png"",""alt_text"":""Abaco Ottoman"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4816,SL-abaco-sectional,Abaco Sectional,abaco-sectional-shoreline,"Abaco Sectional — Shoreline Craftworks. Available in 6 colors.

<p>Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass</p>",Abaco Sectional — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Dimensions"":""Width: 30\"" | Depth: 32\"" | Height: 33\"" | Back Height: 33\"""",""Colors/Finishes"":""Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.87427+00,2026-06-08 21:38:27.478+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_sectional-hero.png"",""alt_text"":""Abaco Sectional"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4811,SL-abaco-swivel-club,Abaco Swivel Club,abaco-swivel-club-shoreline,"Abaco Swivel Club — Shoreline Craftworks. Available in 6 colors.

<p>Frame available in 6 colors  Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass</p>",Abaco Swivel Club — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Dimensions"":""Width: 30\"" | Depth: 32\"" | Height: 33\"" | Back Height: 33\"""",""Colors/Finishes"":""Weatherwood, White, Black, Charcoal, Dove Grey, Sea Glass""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:59.284205+00,2026-06-08 21:38:27.465+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/abaco_swivel_club-hero.png"",""alt_text"":""Abaco Swivel Club"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4809,SL-adirondack-dining-counter-bar-chair,Adirondack Dining-Counter-Bar Chair,adirondack-dining-counter-bar-chair-shoreline,"Adirondack Dining-Counter-Bar Chair — Shoreline Craftworks. Available in 16 colors.

<p>Dimensions</p>",Adirondack Dining-Counter-Bar Chair — Shoreline Craftworks. Available in 16 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Dimensions"",""Dimensions"":""Width: 29\"" | Height: 18\"" | Seat Height: 18\"" | Back Height: 38\"""",""Colors/Finishes"":""Whtie, Charcoal, Sea Glass, Weatherwood, Black Counter Height, Dove Grey Counter Height, White Counter Height, Weatherwood Counter Height, Sea Glass Counter Height, Charcoal Counter Height, Bar Height Black, Bar Height Charcoal, Bar Height Weatherwood, Bar Height Sea Glass, Bar Height Dove Grey, Bar Height White"",""Two-Tone Available"":""Yes""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:58.972823+00,2026-06-08 21:38:27.455+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/adirondack_dining_counter_bar_chair-hero.png"",""alt_text"":""Adirondack Dining-Counter-Bar Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4808,SL-adirondack-tete-a-tete,Adirondack Tete a Tete,adirondack-tete-a-tete-shoreline,"Adirondack Tete a Tete — Shoreline Craftworks. Available in 6 colors.

<p>Adirondack Tete a Tete available in Resort, Dining, Counter, and Bar Heights</p>",Adirondack Tete a Tete — Shoreline Craftworks. Available in 6 colors.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Tete a Tete can be added to both Traditional and Modern Adirondacks | Dimensions"",""Colors/Finishes"":""Dove Grey, Weatherwood, Sea Glass, White, Charcoal, Black""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:52:58.785957+00,2026-06-08 21:38:27.451+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/adirondack_tete_a_tete-hero.png"",""alt_text"":""Adirondack Tete a Tete"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Shoreline,shoreline,4838,SL-balcony-table,Balcony Table,balcony-table-shoreline,"Balcony Table — Shoreline Craftworks. Available in 6 colors.

<p>Dimensions</p>",Balcony Table — Shoreline Craftworks. Available in 6 colors.,Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,"{""Notes"":""Dimensions | Length 36\"" 48\"" 60\"""",""Dimensions"":""Width: 17\"" | Height: 36\"""",""Colors/Finishes"":""Dove Grey, Weatherwood, Sea Glass, Charcoal, Black, White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 21:53:03.671555+00,2026-06-08 21:38:27.553+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/shoreline/balcony_table-hero.png"",""alt_text"":""Balcony Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
