manufacturer,manufacturer_slug,product_id,sku,name,slug,description,short_description,category,category_slug,material,material_slug,price,sale_price,frame_only_price,cost,msrp,markup_percent,pricing_mode,weight,dimensions,specs,tags,show_price_online,available_online,in_store_only,quote_only,featured,featured_at,display_order,low_stock_threshold,is_active,created_at,updated_at,variants,fabric_options,fabric_pools,finish_options,finish_pools,images,attributes
Sunset West,sunset-west,4553,SW1101-1,Stackable Dining Chair,stackable-dining-chair-naples-sunset-west,"Stackable Dining Chair — Sunset West Naples collection.

<p>Stackable</p>",Stackable Dining Chair — Sunset West Naples collection.,Dining,cat-dining,,,,,,,,,fixed,,,"{""Notes"":""Stackable"",""Material"":""Aluminum/Sling"",""Dimensions"":""23\"" W x 25\"" D x 34\"" H"",""Frame Finish"":""Satin White / Frost Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.393582+00,2026-06-08 21:38:27.657+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-stackable-dining-chair.jpg"",""alt_text"":""Stackable Dining Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4550,SW1101-21,Stackable Club Chair,stackable-club-chair-naples-sunset-west,"Stackable Club Chair — Sunset West Naples collection.

<p>Stackable</p>",Stackable Club Chair — Sunset West Naples collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Stackable"",""Material"":""Aluminum/Sling"",""Dimensions"":""29\"" W x 28\"" D x 34\"" H"",""Frame Finish"":""Satin White / Frost Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:50.891585+00,2026-06-08 21:38:27.65+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-stackable-club-chair.jpg"",""alt_text"":""Stackable Club Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4554,SW1101-7B,Bar Stool,bar-stool-naples-sunset-west,Bar Stool — Sunset West Naples collection.,Bar Stool — Sunset West Naples collection.,Bar,cat-bar,,,,,,,,,fixed,,,"{""Material"":""Aluminum/Sling"",""Dimensions"":""23\"" W x 25\"" D x 47\"" H"",""Frame Finish"":""Satin White / Frost Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.572882+00,2026-06-01 20:29:51.572882+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-bar-stool.jpg"",""alt_text"":""Bar Stool"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4552,SW1101-9,Stackable Adjustable Chaise Lounge,stackable-adjustable-chaise-lounge-naples-sunset-west,"Stackable Adjustable Chaise Lounge — Sunset West Naples collection.

<p>Stackable</p>",Stackable Adjustable Chaise Lounge — Sunset West Naples collection.,Chaise Lounges,cat-chaise-lounges,,,,,,,,,fixed,,,"{""Notes"":""Stackable"",""Material"":""Aluminum/Sling"",""Dimensions"":""31\"" W x 85\"" L x 40\"" H"",""Frame Finish"":""Satin White / Frost Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.260286+00,2026-06-08 21:38:27.654+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-stackable-adjustable-chaise-lounge.jpg"",""alt_text"":""Stackable Adjustable Chaise Lounge"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4551,SW1101-ET,End Table,end-table-naples-sunset-west,End Table — Sunset West Naples collection.,End Table — Sunset West Naples collection.,Coffee & Side Tables,cat-coffee-side-tables,,,,,,,,,fixed,,,"{""Material"":""Aluminum"",""Dimensions"":""21\"" W x 21\"" D x 18\"" H"",""Frame Finish"":""Satin White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.074791+00,2026-06-01 20:29:51.074791+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-end-table.jpg"",""alt_text"":""End Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4557,SW1101-P36,Pub Table,pub-table-naples-sunset-west,Pub Table — Sunset West Naples collection.,Pub Table — Sunset West Naples collection.,Bar,cat-bar,,,,,,,,,fixed,,,"{""Material"":""Aluminum"",""Dimensions"":""36\"" W x 36\"" D x 41\"" H"",""Frame Finish"":""Satin White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:52.159203+00,2026-06-01 20:29:52.159203+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-pub-table.jpg"",""alt_text"":""Pub Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4555,SW1101-SQT36,"36"" Square Dining Table",36-square-dining-table-naples-sunset-west,"36"" Square Dining Table — Sunset West Naples collection.","36"" Square Dining Table — Sunset West Naples collection.",Dining,cat-dining,,,,,,,,,fixed,,,"{""Material"":""Aluminum"",""Dimensions"":""36\"" W x 36\"" D x 29\"" H"",""Frame Finish"":""Satin White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.764045+00,2026-06-01 20:29:51.764045+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-36-square-dining-table.jpg"",""alt_text"":""36\"" Square Dining Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4556,SW1101-T64,"36"" x 64"" Dining Table",36-x-64-dining-table-naples-sunset-west,"36"" x 64"" Dining Table — Sunset West Naples collection.","36"" x 64"" Dining Table — Sunset West Naples collection.",Dining,cat-dining,,,,,,,,,fixed,,,"{""Material"":""Aluminum"",""Dimensions"":""64\"" W x 36\"" D x 29\"" H"",""Frame Finish"":""Satin White""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:29:51.954026+00,2026-06-01 20:29:51.954026+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/naples-36-x-64-dining-table.jpg"",""alt_text"":""36\"" x 64\"" Dining Table"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4691,SW1201-1,Stackable Dining Chair,stackable-dining-chair-vegas-sunset-west,"Stackable Dining Chair — Sunset West Vegas collection.

<p>Stackable</p>",Stackable Dining Chair — Sunset West Vegas collection.,Dining,cat-dining,,,,,,,,,fixed,,,"{""Notes"":""Stackable"",""Material"":""Aluminum/Sling"",""Dimensions"":""23\"" W x 25\"" D x 34\"" H"",""Frame Finish"":""Graphite / Phifertex Graphite Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:30:30.17616+00,2026-06-08 21:38:27.695+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/vegas-stackable-dining-chair.jpg"",""alt_text"":""Stackable Dining Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
Sunset West,sunset-west,4688,SW1201-21,Stackable Club Chair,stackable-club-chair-vegas-sunset-west,"Stackable Club Chair — Sunset West Vegas collection.

<p>Stackable</p>",Stackable Club Chair — Sunset West Vegas collection.,Deep Seating,cat-deep-seating,,,,,,,,,fixed,,,"{""Notes"":""Stackable"",""Material"":""Aluminum/Sling"",""Dimensions"":""29\"" W x 28\"" D x 34\"" H"",""Frame Finish"":""Graphite / Phifertex Graphite Textilene""}",[],false,true,false,true,false,,0,0,true,2026-06-01 20:30:29.147305+00,2026-06-08 21:38:27.688+00,[],[],[],[],[],"[{""url"":""https://641bdd57-e650-4f10-a19f-628c07eb50b7-00-1e7i1aja8wnz9.worf.replit.dev/api/storage/objects/products/sunset-west/vegas-stackable-club-chair.jpg"",""alt_text"":""Stackable Club Chair"",""is_primary"":true,""display_order"":0,""image_kind"":""gallery"",""variant_id"":null}]",[]
