id,sku,is_active,available_online,show_price_online,quote_only,in_store_only
6046,254284BTMNU,True,False,False,False,False
6045,254284FTM,True,False,False,False,False
6047,254284FTMNU,True,False,False,False,False
6040,2542SBTM,True,False,False,False,False
6042,2542SBTMNU,True,False,False,False,False
6039,2542SFTM,True,False,False,False,False
6041,2542SFTMNU,True,False,False,False,False
6044,2548SBTMNU,True,False,False,False,False
6043,2548SFTMNU,True,False,False,False,False
6028,2721STM,True,False,False,False,False
6029,2722STM,True,False,False,False,False
6034,274284FTMNU,True,False,False,False,False
6031,2742SFTM,True,False,False,False,False
6033,2742SFTMNU,True,False,False,False,False
6021,3742RBTMNU,True,False,False,False,False
6020,3742RFTMNU,True,False,False,False,False
6023,3742SBTM,True,False,False,False,False
6025,3742SBTMNU,True,False,False,False,False
6022,3742SFTM,True,False,False,False,False
6024,3742SFTMNU,True,False,False,False,False
6027,3754RBTMNU,True,False,False,False,False
6026,3754RFTMNU,True,False,False,False,False
6016,42SQSLTT+89SNC,True,False,True,False,False
6105,6224S,True,False,False,False,False
6111,624274XBLT,True,False,False,False,False
6110,624274XFLT,True,False,False,False,False
6107,6242SBLT,True,False,False,False,False
6109,6242SBLTNU,True,False,False,False,False
6106,6242SFLT,True,False,False,False,False
6108,6242SFLTNU,True,False,False,False,False
6112,6254RBLT,True,False,False,False,False
6017,893252XSLTT+89XNC,True,False,True,False,False
6018,893660XSLTT+89XNC,True,False,True,False,False
6054,C0030RTM+2330B,True,False,False,False,False
6055,C0030RTM+2334B,True,False,False,False,False
6056,C0030RTM+2340B,True,False,False,False,False
6051,C0030RTMWH+2330B,True,False,False,False,False
6052,C0030RTMWH+2334B,True,False,False,False,False
6053,C0030RTMWH+2340B,True,False,False,False,False
6063,C0036RTM+2330B,True,False,False,False,False
6064,C0036RTM+2334B,True,False,False,False,False
6065,C0036RTM+2340B,True,False,False,False,False
6066,C0036RTMNU+2330B,True,False,False,False,False
6067,C0036RTMNU+2334B,True,False,False,False,False
6068,C0036RTMNU+2340B,True,False,False,False,False
6076,C0042RTM+3330B,True,False,False,False,False
6077,C0042RTM+3334B,True,False,False,False,False
6078,C0042RTM+3340B,True,False,False,False,False
6079,C0042RTMNU+2742RB,True,False,False,False,False
6080,C0042RTMNU+3330B,True,False,False,False,False
6081,C0042RTMNU+3334B,True,False,False,False,False
6082,C0042RTMNU+3340B,True,False,False,False,False
6048,C2424STM+2330B,True,False,False,False,False
6049,C2424STM+2334B,True,False,False,False,False
6050,C2424STM+2340B,True,False,False,False,False
6035,C2424STM+5723B,True,False,False,False,False
6036,C2644XTM+272644B,True,False,False,False,False
6037,C2644XTM+5744B,True,False,False,False,False
6060,C3030STM+2330B,True,False,False,False,False
6061,C3030STM+2334B,True,False,False,False,False
6062,C3030STM+2340B,True,False,False,False,False
6038,C3030STM+5723B,True,False,False,False,False
6057,C3030STMWH+2330B,True,False,False,False,False
6058,C3030STMWH+2334B,True,False,False,False,False
6059,C3030STMWH+2340B,True,False,False,False,False
6030,C3252XTM+273252B,True,False,False,False,False
6069,C3636STM+2330B,True,False,False,False,False
6070,C3636STM+2334B,True,False,False,False,False
6071,C3636STM+2340B,True,False,False,False,False
6072,C3636STMNU+2330B,True,False,False,False,False
6073,C3636STMNU+2334B,True,False,False,False,False
6074,C3636STMNU+2340B,True,False,False,False,False
6075,C3660XTM+273660B,True,False,False,False,False
6083,C4242STM+3330B,True,False,False,False,False
6084,C4242STM+3334B,True,False,False,False,False
6085,C4242STM+3340B,True,False,False,False,False
6032,C4242STMNU+2742SB,True,False,False,False,False
6086,C4242STMNU+3330B,True,False,False,False,False
6087,C4242STMNU+3334B,True,False,False,False,False
6088,C4242STMNU+3340B,True,False,False,False,False
5621,20G-SQ-TC,True,False,False,False,False
5622,24G-SQ-TC,True,False,False,False,False
5617,24G-TC,True,False,False,False,False
5618,30G-TC,True,False,False,False,False
5623,36G-SQ-TC,True,False,False,False,False
5619,36G-TC,True,False,False,False,False
5620,40G-TC,True,False,False,False,False
6274,9435P-2,True,False,False,False,False
6275,9437P-2,True,False,False,False,False
5577,ARU-RIB,True,True,True,True,False
5582,ARU-SP,True,True,True,True,False
5580,ARU-WS,True,True,True,True,False
5578,ARUF-RIB,True,True,True,True,False
5574,CAM-RIB,True,True,True,True,False
5575,CAM-RIB-G,True,True,True,True,False
5583,CANOPY-SS,True,True,True,True,False
5576,ECU-RIB,True,True,True,True,False
5572,FM-RIB,True,True,True,True,False
5573,FM-RIB-G,True,True,True,True,False
5584,ROPE,True,True,True,True,False
6282,51190,True,True,False,False,False
6281,51690,True,True,False,False,False
6285,51790,True,True,False,False,False
6283,51890,True,True,False,False,False
6284,51990,True,True,False,False,False
6272,94350-2,True,True,False,False,False
6273,94370-2,True,True,False,False,False
