id,sku,available_online,quote_only
6126,006086,True,True
5427,018010,True,True
5428,018011,True,True
5421,018062,True,True
5416,018067,True,True
5417,018081,True,True
5408,018130,True,True
5410,018140,True,True
5409,018240,True,True
5413,018250,True,True
5412,018280,True,True
5411,018300,True,True
5420,018410,True,True
5414,018450,True,True
5415,018480,True,True
5418,018530,True,True
5423,018600,True,True
5424,018620,True,True
5419,018670,True,True
5422,018690,True,True
5430,048091,True,True
5432,048410,True,True
5431,048412,True,True
5433,048422,True,True
5435,048432,True,True
5434,048452,True,True
5425,048610,True,True
5426,048630,True,True
3947,10180,True,True
6258,10190,True,True
6260,10201,True,True
6259,10202,True,True
3949,10301,True,True
3950,10302,True,True
3945,10680,True,True
6257,10690,True,True
3946,10880,True,True
6262,10890,True,True
3948,10980,True,True
6263,10990,True,True
3955,10AR392,True,True
3957,10AR392L,True,True
3958,10AR392R,True,True
3960,10AR422,True,True
3961,10AR422L,True,True
3962,10AR422R,True,True
3964,10AR432,True,True
3965,10AR432L,True,True
3966,10AR432R,True,True
3956,10AR902,True,True
3926,11300,True,True
6238,11300-2,True,True
3936,1130M,True,True
6246,1130M-2,True,True
3925,11310,True,True
6239,11310-2,True,True
3937,1131M,True,True
6247,1131M-2,True,True
3915,11350,True,True
3928,1135M,True,True
3917,11370,True,True
3927,11370WS,True,True
3930,1137M,True,True
3919,11380,True,True
3924,11430,True,True
3922,11450,True,True
3934,1145M,True,True
3923,11480,True,True
3935,1148M,True,True
3920,11550,True,True
3932,1155M,True,True
3921,11580,True,True
3933,1158M,True,True
3916,12350,True,True
6240,12350-2,True,True
3929,1235M,True,True
6248,1235M-2,True,True
3918,12370,True,True
6241,12370-2,True,True
3931,1237M,True,True
6249,1237M-2,True,True
3967,1310020,True,True
4194,13220,True,True
4195,132244,True,True
4196,13300,True,True
4227,1330RCT,True,True
4270,1330RLT,True,True
4211,1330RMD,True,True
4357,1330RSG,True,True
4301,1330RSH,True,True
4329,1330RSL,True,True
4382,1330RTM,True,True
4407,133252TT,True,True
4408,133660TT,True,True
6120,1344110B,True,True
6124,1344110BR,True,True
4210,1344110BRWH,True,True
4209,1344110BWH,True,True
6116,1344110F,True,True
4208,1344110FWH,True,True
6117,134444B,True,True
6121,134444BR,True,True
4201,134444BRWH,True,True
4200,134444BWH,True,True
4198,134444C,True,True
6113,134444F,True,True
4199,134444FWH,True,True
4197,134444L,True,True
6118,134466B,True,True
6122,134466BR,True,True
4204,134466BRWH,True,True
4203,134466BWH,True,True
6114,134466F,True,True
4202,134466FWH,True,True
6119,134488B,True,True
6123,134488BR,True,True
4207,134488BRWH,True,True
4206,134488BWH,True,True
6115,134488F,True,True
4205,134488FWH,True,True
2196,161101,True,True
2205,161101PS,True,True
2201,161116,True,True
2210,161116PS,True,True
2200,161117,True,True
2209,161117PS,True,True
2199,161125NT,True,True
2208,161125NTPS,True,True
2202,161127-28,True,True
2211,161127PS-28,True,True
2203,161132,True,True
2212,161132PS,True,True
2195,161137,True,True
2204,161137PS,True,True
2197,161169,True,True
2206,161169PS,True,True
2198,161170,True,True
2207,161170PS,True,True
4119,1612A,True,True
2189,161501WS,True,True
2193,161517WS,True,True
2192,161525NTWS,True,True
2194,161527WS-28,True,True
2188,161537WS,True,True
2190,161569WS,True,True
2191,161570WS,True,True
4115,1639A,True,True
4117,1642A,True,True
4118,1643A,True,True
4116,1690A,True,True
2185,171310CL,True,True
2186,171310CS,True,True
2180,171311,True,True
2183,171314,True,True
2182,171317,True,True
2184,171321,True,True
2181,171325NT,True,True
6139,1930R+2330B,True,True
6141,1930R+2334B,True,True
6143,1930R+2340B,True,True
6140,1930RNU+2330B,True,True
6142,1930RNU+2334B,True,True
6144,1930RNU+2340B,True,True
6145,1936R+2330B,True,True
6147,1936R+2334B,True,True
6149,1936R+2340B,True,True
6146,1936RNU+2330B,True,True
6148,1936RNU+2334B,True,True
6150,1936RNU+2340B,True,True
4127,1G240,True,True
4126,1G250,True,True
4125,1G320,True,True
4124,1G350,True,True
4190,1H10A-DC,True,True
4191,1H12A-DC,True,True
4187,1H35A-DC,True,True
4188,1H37A-DC,True,True
4189,1H37LR-DC,True,True
4111,1K180,True,True
6310,1K190,True,True
6311,1K200,True,True
4114,1K300,True,True
4109,1K680,True,True
6312,1K690,True,True
4113,1K781,True,True
6313,1K791,True,True
4110,1K880,True,True
6314,1K890,True,True
4112,1K980,True,True
6315,1K990,True,True
5362,208010,True,True
5363,208011,True,True
5367,208032,True,True
5368,208042,True,True
5356,208081,True,True
5357,208084,True,True
5365,208091,True,True
5366,208092,True,True
5341,208141,True,True
5345,208331,True,True
5342,208341,True,True
5344,208351,True,True
5343,208353,True,True
5346,208411,True,True
5347,208415,True,True
5348,208419,True,True
5352,208441,True,True
5350,208443,True,True
5351,208445,True,True
5353,208447,True,True
5349,208451,True,True
5359,208524,True,True
5354,208542,True,True
5355,208548,True,True
5360,208624,True,True
5364,208741,True,True
5361,208763,True,True
5358,208827,True,True
4080,21120,True,True
4078,21300,True,True
4079,21320,True,True
4077,21350,True,True
4076,2212B,True,True
4075,2299F,True,True
4220,2330B,True,True
4221,2334B,True,True
4222,2340B,True,True
4223,23UMBP,True,True
4162,24350,True,True
4163,24351,True,True
4164,24352,True,True
5388,247141,True,True
2948,247142,True,True
5390,247331,True,True
2932,247336,True,True
5389,247341,True,True
2933,247342,True,True
5392,247351,True,True
2998,247352,True,True
5391,247353,True,True
2999,247354,True,True
5394,247412,True,True
5395,247417,True,True
5399,247442,True,True
5397,247444,True,True
5398,247445,True,True
5396,247447,True,True
5393,247451,True,True
