db_id,sku,name
5460,263215,Bench
5459,263315,Armless Bar Stool
2994,263355,Hanamint Armless Counter Stool
5461,616615,Gas Valve
3085,616619,Round Glass Guard
3083,616621,Rectangular Glass Guard
3082,616690,NG Conversion Kit
5463,671550,Alumiron Umbrella Base
5464,672301,Ventura Cast Iron Umbrella Base
5465,677301,Add-on Weight
5325,722043,Carlisle Square Pedestal Counter Table
5326,722053,Carlisle Square Pedestal Bar Table
5324,722090,Carlisle Rectangular Enclosed Fire Pit Table
5319,722099,Carlisle Rectangular Extension Dining Table
5321,722548,Carlisle Round Dining Table
5327,722636,Carlisle Square Dining Table
5323,722765,Carlisle Rectangular Coffee Table
5320,722845,Carlisle Rectangular Dining Table
5309,309111,Cedar Dining Chair
5317,309112,Cedar Sling Dining Chair
5315,309331,Cedar Chaise Lounge
2914,309336,Cedar Sling Chaise Lounge
5310,309341,Cedar Swivel Rocker
5318,309342,Cedar Sling Swivel Rocker
5311,309411,Cedar Club Chair
5312,309418,Cedar Club Swivel Rocker
5313,309421,Cedar Loveseat
5314,309431,Cedar Sofa
5316,309451,Cedar Ottoman
5447,316010,Dominion Square Ice Bucket Side Table
5450,316063,Dominion Square Bar Table
5458,316098,Dominion Rectangular Counter Fire Pit Table
5455,316099,Dominion Rectangular Extension Dining Table
5454,316245,Dominion Bench
5448,316624,Dominion Square End Table
5451,316642,Dominion Square Dining Table
5453,316715,Dominion Counter Console Table
5452,316743,Dominion Rectangular Coffee Table
5456,316825,"Dominion Rectangular Dining Table 42"" x 68"""
5457,316827,"Dominion Rectangular Dining Table 42"" x 84"""
5432,048410,Grand Tuscany Club Swivel Rocker
5431,048412,Grand Tuscany Club Chair
5433,048422,Grand Tuscany Loveseat
5435,048432,Grand Tuscany Sofa
5434,048452,Grand Tuscany Ottoman
5425,048610,Grand Tuscany Square End Table
5426,048630,Grand Tuscany Rectangular Coffee Table
5407,725090,Inverness Rectangular Enclosed Fire Pit Table
5331,294333,Malibu Left Arm Chaise Lounge
5330,294334,Malibu Right Arm Chaise Lounge
5329,294411,Malibu Club Chair
5334,294441,Malibu Left Arm Club Chair
5332,294443,Malibu Right Arm Club Chair
5333,294445,Malibu Middle Club Chair
5336,294449,Malibu Corner Club Chair
5335,294451,Malibu Ottoman
5337,294621,Malibu Square End Table
5338,294639,Malibu Square Coffee Table
5339,294794,Malibu Rectangular Coffee Table
5362,208010,Mayfair Round Ice Bucket Side Table
5363,208011,Mayfair Rectangular Ice Bucket Table
5367,208032,Mayfair Round Pedestal Counter Table
5368,208042,Mayfair Round Pedestal Bar Table
5356,208081,Mayfair Rectangular Extension Dining Table
5357,208084,Mayfair Round Inlaid Lazy Susan Dining Table
5365,208091,Mayfair Oval Enclosed Fire Pit Table
