page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
37,,Cushion,Armless Center Chat Chair,5139N,,,24.75,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
81,,Cushion,Armless Center Chat Chair,1H35A,,,30,31.5,32,,18,,,-DC or -UC,
21,,Cushion,Armless Chat Chair,51AR352,,Aluminum,26.5,33,36,,18,,,Arm Ht: N/A,
21,,Cushion,Armless Loveseat,51AR422N,,Aluminum,52.5,33,36,,18,,,Arm Ht: N/A,
37,,Cushion,Armless Loveseat,5142N,,,48.75,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
21,,Cushion,Armless Sofa,51AR432N,,Aluminum,79,33,36,,18,,,Arm Ht: N/A,
37,,Cushion,Armless Sofa,5143N,,,72.75,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
13,,Cushion,Chat Chair,7237A,,,28.5,32,35,,18,23,,-DC or -UC,
25,,Cushion,Chat Chair,4239A,,,32.5,35.8,33.4,,19,24.4,,,
37,,Cushion,Chat Chair,5139A,,,35,33,35,,18,23.5,,-DC or -UC,
81,,Cushion,Chat Chair,1H37A,,,33.5,31.5,32,,18,28.5,,-DC or -UC,
37,,Cushion,Corner,5110A,,,33,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
81,,Cushion,Corner,1H10A,,,31.5,31.5,32,,18,28.5,,-DC or -UC,
37,,Cushion,High Back Chat Chair,5137A,,,30,33,41,,18,23.5,,-DC or -UC,
37,,Cushion,High Back Loveseat,5144A,,,54,33,41,,18,23.5,,-DC or -UC,
37,,Cushion,High Back Sofa,5145A,,,78,33,41,,18,23.5,,-DC or -UC,
51,,Cushion,High Back Swivel Rocker,2299F,,,24.5,30,44,,20,25.5,,,
37,,Cushion,High Back Swivel Rocker Chat Chair,5192A,,,30,33,41,,18,23.5,,-DC or -UC,
21,,Cushion,Left Arm Chat Chair,10AR392L,,Aluminum,30.5,33,36,,18,23,,,
37,,Cushion,Left Arm Chat Chair,5139L,,,27.5,33,35,,18,23.5,,-DC or -UC; *Units are not standalone pieces,
21,,Cushion,Left Arm Loveseat,10AR422L,,Aluminum,56.5,33,36,,18,23,,,
37,,Cushion,Left Arm Loveseat,5142L,,,51.5,33,35,,18,23.5,,-DC or -UC; *Units are not standalone pieces,
21,,Cushion,Left Arm Sofa,10AR432L,,Aluminum,83,33,36,,18,23,,,
37,,Cushion,Left Arm Sofa,5143L,,,75.5,33,35,,18,23.5,,-DC or -UC; *Units are not standalone pieces,
