id,sku,final_collection
4128,61AR350,Revive Air
4133,61AR42N,Revive Air
4137,61AR43N,Revive Air
4013,51AR902N,Edge Air
4019,51AR392,Elements Air
4129,61AR390,Revive Air
4021,51AR392L,Elements Air
4131,61AR39L,Revive Air
4135,61AR42L,Revive Air
4024,51AR422L,Elements Air
4139,61AR43L,Revive Air
4027,51AR432L,Elements Air
4023,51AR422,Elements Air
4134,61AR420,Revive Air
4022,51AR392R,Elements Air
4132,61AR39R,Revive Air
4136,61AR42R,Revive Air
4025,51AR422R,Elements Air
4028,51AR432R,Elements Air
4140,61AR43R,Revive Air
4026,51AR432,Elements Air
4138,61AR430,Revive Air
4020,51AR902,Elements Air
4130,61AR902,Revive Air
3925,11310,Allure
3926,11300,Allure
3920,11550,Allure
3922,11450,Allure
3915,11350,Allure
3916,12350,Allure
3921,11580,Allure
3923,11480,Allure
3919,11380,Allure
3917,11370,Allure
3918,12370,Allure
3924,11430,Allure
3927,11370WS,Allure
4223,23UMBP,Universal Bases
4224,33UMBP,Universal Bases
4221,2334B,Universal Bases
4222,2340B,Universal Bases
4218,5744B,Universal Bases
4219,272644B,Universal Bases
4220,2330B,Universal Bases
4217,5723B,Universal Bases
3950,10302,Blair
3949,10301,Blair
3952,KIT91,Blair
3947,10180,Blair
3948,10980,Blair
3945,10680,Blair
3946,10880,Blair
3951,99120,Blair
3953,KIT90,Blair
3967,1310020,Blair Air
3954,51AR352,Blair Air
3959,51AR422N,Blair Air
3963,51AR432N,Blair Air
3955,10AR392,Blair Air
3957,10AR392L,Blair Air
3961,10AR422L,Blair Air
3965,10AR432L,Blair Air
3960,10AR422,Blair Air
3958,10AR392R,Blair Air
3962,10AR422R,Blair Air
3966,10AR432R,Blair Air
3964,10AR432,Blair Air
3956,10AR902,Blair Air
3968,8439N-DC,Blair Cushion
3969,8439A-DC,Blair Cushion
3979,8410A-DC,Blair Cushion
3971,8439L-DC,Blair Cushion
3974,8442L-DC,Blair Cushion
3977,8443L-DC,Blair Cushion
3973,8442A-DC,Blair Cushion
3980,9914A-DC,Blair Cushion
3972,8439R-DC,Blair Cushion
3975,8442R-DC,Blair Cushion
3978,8443R-DC,Blair Cushion
3976,8443A-DC,Blair Cushion
3970,8490A-DC,Blair Cushion
3998,952972X,Bridger
3999,952994X,Bridger
3996,9538S,Bridger
3997,9546S,Bridger
4000,97350,Capri
4002,97380,Capri
4001,97370,Capri
4005,95250,Casper
4006,95480,Casper
4004,95380,Casper
4003,95350,Casper
4211,1330RMD,Mode Club
4212,132430X,Mode Club
4215,1342R,Mode Club
4214,1336R,Mode Club
4216,1348R,Mode Club
4213,1330R,Mode Club
4227,1330RCT,Concrete
4232,374262BCT,Concrete
4239,3754RBCT,Concrete
4230,3742RBCT,Concrete
4236,3748RBCT,Concrete
4234,374284BCT,Concrete
4237,3754RCCTNU,Concrete
4228,3742RCCTNU,Concrete
4233,374284FCT,Concrete
4231,374262FCT,Concrete
4235,3748RFCT,Concrete
4238,3754RFCT,Concrete
4229,3742RFCT,Concrete
4226,3723RCT,Concrete
4245,C3660XCT,Concrete
4243,C3252XCT,Concrete
4225,3724RCT,Concrete
4242,C0030RCTWH,Concrete
4241,C2644XCT,Concrete
4244,C0036RCT,Concrete
4246,C0042RCT,Concrete
4240,C2424SCT,Concrete
4247,C0048RCT,Concrete
3981,8539N-DC,Blair Slip Cover
3982,8539A-DC,Blair Slip Cover
3992,8510A-DC,Blair Slip Cover
3984,8539L-DC,Blair Slip Cover
3987,8542L-DC,Blair Slip Cover
3990,8543L-DC,Blair Slip Cover
3986,8542A-DC,Blair Slip Cover
3985,8539R-DC,Blair Slip Cover
3988,8542R-DC,Blair Slip Cover
3991,8543R-DC,Blair Slip Cover
3989,8543A-DC,Blair Slip Cover
3983,8590A-DC,Blair Slip Cover
4187,1H35A-DC,Willow Cushion
4176,83390,Urban Cushion
4179,83420,Urban Cushion
