id,sku,name,slug,collection,short_description,description,dimensions,specs,price,msrp,sale_price,category_id,is_active,available_online,created_at,updated_at
4105,SPL33112,Riser Set Only,12-riser-set-only-in-pool-series-homecrest,Series,"12"" Riser Set Only — Homecrest In-Pool Series collection.","12"" Riser Set Only — Homecrest In-Pool Series collection.

<p>All In-Pool products are available in a variety of colors and are suitable for use in both chlorinated and saltwater pools, as well as on all pool materials like concrete, vinyl liners, and gunite. They can be easily removed from the pool to be used on the pool deck. Each product has a recommended maximum water depth for best performance. • Maximum water depth of 17"" • Average thickness of material to be .20” or greater • Waterproof, rustproof, and 100% recyclable • Suitable for both indoor and year-round outdoor use • Products tested to support up to 750 lbs • Fully compounded color (not dry blended) with UV light stabilizer to increase longevity of color retention in direct sunlight applications Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:56.899275+00:00,2026-06-08 21:38:24.165000+00:00
4082,361235,End Table,12-x-35-end-table-infiniti-homecrest,Infiniti,"12"" x 35"" End Table — Homecrest Infiniti collection.","12"" x 35"" End Table — Homecrest Infiniti collection.

<p>Infiniti is designed for ease of use in any space: at work or at play. Its flowing silhouette maximizes the surface area of our premium sling fabric while still maintaining sleek visuals. In addition, because of our double layer sling technology, Infiniti provides an exceptionally comfortable sit without any of the maintenance that is required by traditional cushions. This beautiful collection is sure to transform any outdoor space to become more attractive and inviting. Paired with its intelligently designed side, coffee, and corner table companion pieces, our armless Infiniti chat chairs are ideal for energizing homeowners’ existing outdoor setups, as well as otherwise standard waiting rooms.</p>","12"" W x 35"" L x 21"" H",{'Material': 'All-Weather Poly | Aluminum'},,,,43,True,True,2026-06-01 06:36:53.742815+00:00,2026-06-08 21:38:23.993000+00:00
4100,SPLSIDETABLE,Side Table,15-5-side-table-in-pool-series-homecrest,Series,"15.5"" Side Table — Homecrest In-Pool Series collection.","15.5"" Side Table — Homecrest In-Pool Series collection.

<p>Adaptive and stylish, our In-Pool Series side table brings modern flexibility to your outdoor living space. Designed with ingenuity and practicality in mind, this sturdy, multifunctional side table doubles as a trendy seat or ottoman when you need extra seating for your gathering. This side table works in up to 10” of water without additional weight, or add optional coated diving weights to increase that depth to 15”. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:56.248592+00:00,2026-06-08 21:38:24.056000+00:00
4249,262348,Balcony Bench,15-5-x-48-balcony-bench-eden-homecrest,Eden,"15.5"" x 48"" Balcony Bench — Homecrest Eden collection.","15.5"" x 48"" Balcony Bench — Homecrest Eden collection.

<p>Eden's warmly functional design is sparked by Swedish simplicity, clean lines, and flawless craftsmanship. Constructed with HDPE materials, Eden is a slatted, teak-inspired top with an aluminum base that is available in all of Homecrest's textured powder-coated finishes. Available in dining, balcony, and bar heights, the modern appearance of the Eden collection bears the essence of cool sophistication and the welcoming warmth of comfort you expect from your Homecrest outdoor furniture. Eden gives discerning homeowners and designers a lot of creative control with its DuoTone style, meaning they can mix and match seat top colors to complement or contrast the frame finishes on the legs.</p>","15.5"" W x 48"" L x 23"" H","{'Notes': 'no hole', 'Material': 'All-Weather Poly | Aluminum'}",,,,52,True,True,2026-06-01 06:37:20.686162+00:00,2026-06-23 18:14:57.428150+00:00
4250,262948,Bar Bench/Sofa Table,15-5-x-48-bar-bench-sofa-table-eden-homecrest,Eden,"15.5"" x 48"" Bar Bench/Sofa Table — Homecrest Eden collection.","15.5"" x 48"" Bar Bench/Sofa Table — Homecrest Eden collection.

<p>Eden's warmly functional design is sparked by Swedish simplicity, clean lines, and flawless craftsmanship. Constructed with HDPE materials, Eden is a slatted, teak-inspired top with an aluminum base that is available in all of Homecrest's textured powder-coated finishes. Available in dining, balcony, and bar heights, the modern appearance of the Eden collection bears the essence of cool sophistication and the welcoming warmth of comfort you expect from your Homecrest outdoor furniture. Eden gives discerning homeowners and designers a lot of creative control with its DuoTone style, meaning they can mix and match seat top colors to complement or contrast the frame finishes on the legs.</p>","15.5"" W x 48"" L x 29"" H","{'Notes': 'no hole', 'Material': 'All-Weather Poly | Aluminum'}",,,,52,True,True,2026-06-01 06:37:20.928750+00:00,2026-06-23 18:14:57.428150+00:00
4248,261948,Dining Bench,15-5-x-48-dining-bench-eden-homecrest,Eden,"15.5"" x 48"" Dining Bench — Homecrest Eden collection.","15.5"" x 48"" Dining Bench — Homecrest Eden collection.

<p>Eden's warmly functional design is sparked by Swedish simplicity, clean lines, and flawless craftsmanship. Constructed with HDPE materials, Eden is a slatted, teak-inspired top with an aluminum base that is available in all of Homecrest's textured powder-coated finishes. Available in dining, balcony, and bar heights, the modern appearance of the Eden collection bears the essence of cool sophistication and the welcoming warmth of comfort you expect from your Homecrest outdoor furniture. Eden gives discerning homeowners and designers a lot of creative control with its DuoTone style, meaning they can mix and match seat top colors to complement or contrast the frame finishes on the legs.</p>","15.5"" W x 48"" L x 19"" H","{'Notes': 'no hole', 'Material': 'All-Weather Poly | Aluminum'}",,,,52,True,True,2026-06-01 06:37:20.539937+00:00,2026-06-23 18:14:57.428150+00:00
4267,501948,Dining Bench,16-x-48-dining-bench-latitude-homecrest,Latitude,"16"" x 48"" Dining Bench — Homecrest Latitude collection.","16"" x 48"" Dining Bench — Homecrest Latitude collection.

<p>Enjoy the beauty of the outdoors with Homecrest’s stunning Latitude collection. The attractive and functional Latitude tables feature an all-aluminum construction and are well-suited for both dining and deep seating applications. Whether for residential or commercial, Latitude combines style and function to create a fresh look in any outdoor space.</p>","19"" H","{'Notes': 'Post base', 'Material': 'Aluminum'}",,,,52,True,True,2026-06-01 06:37:23.848456+00:00,2026-06-23 18:14:57.428150+00:00
4099,SPL11601UM,Coffee Table/Bench,18-x-47-coffee-table-bench-in-pool-series-homecrest,Series,"18"" x 47"" Coffee Table/Bench — Homecrest In-Pool Series collection.","18"" x 47"" Coffee Table/Bench — Homecrest In-Pool Series collection.

<p>With impressive dimensions of 47"" long, 18"" wide, and a comfortable seat height of 16.5"", our In-Pool Series coffee table/bench offers ample space for relaxation. It features handy cupholders for convenience, as well as an umbrella hole to ensure easy relief from the sun’s rays. This coffee table/bench is an excellent addition to all poolside applications, and it works in water depths up to 10"". Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:56.122442+00:00,2026-06-08 21:38:24.053000+00:00
4164,24352,18° Inside Radius Chat Chair,18-inside-radius-chat-chair-surf-homecrest,Surf,18° Inside Radius Chat Chair — Homecrest Surf collection.,"18° Inside Radius Chat Chair — Homecrest Surf collection.

<p>With an emphasis on contemporary design and practical style, the nature-inspired Surf collection is an excellent option for heavy-use areas such as gardens, parks, college or corporate campuses, and more. Surf’s powder-coated aluminum frame and curving HDPE seat offer unmatched durability, ensuring this modular collection will stand the test of time against the elements.</p>","38"" W x 35.7"" D x 35"" H","{'Notes': 'Arm Ht: N/A', 'Material': 'All-Weather Poly | Aluminum'}",,,,43,True,True,2026-06-01 06:37:05.582365+00:00,2026-06-08 21:38:24.376000+00:00
4163,24351,18° Outside Radius Chat Chair,18-outside-radius-chat-chair-surf-homecrest,Surf,18° Outside Radius Chat Chair — Homecrest Surf collection.,"18° Outside Radius Chat Chair — Homecrest Surf collection.

<p>With an emphasis on contemporary design and practical style, the nature-inspired Surf collection is an excellent option for heavy-use areas such as gardens, parks, college or corporate campuses, and more. Surf’s powder-coated aluminum frame and curving HDPE seat offer unmatched durability, ensuring this modular collection will stand the test of time against the elements.</p>","38"" W x 35.7"" D x 35"" H","{'Notes': 'Arm Ht: N/A', 'Material': 'All-Weather Poly | Aluminum'}",,,,43,True,True,2026-06-01 06:37:05.448950+00:00,2026-06-08 21:38:24.373000+00:00
4223,23UMBP,18” Umbrella Base Plate,18-umbrella-base-plate-table-bases-homecrest,Bases,18” Umbrella Base Plate — Homecrest Table Bases collection.,"18” Umbrella Base Plate — Homecrest Table Bases collection.

<p>Homecrest has revamped the universal table base to an “easier to assemble” table base. This sleek new table base is composed of aluminum and is designed for the utmost in durability, convenience and maneuverability. No matter the size and/or shape of the table top you choose, Homecrest’s universal base is sure to please.</p>",,"{'Notes': 'Required with Umbrella; use with bases 2330B, 2334B, 2340B; 18"" umbrella base plate', 'Material': 'Zinc-Plated Solid Steel'}",,,,52,True,True,2026-06-01 06:37:16.412489+00:00,2026-06-23 18:14:57.428150+00:00
4095,SPL41007MX,Hex Bench (Stackable),19-25-x-21-85-hex-bench-stackable-in-pool-series-homecrest,Series,"19.25"" x 21.85"" Hex Bench (Stackable) — Homecrest In-Pool Series collection.","19.25"" x 21.85"" Hex Bench (Stackable) — Homecrest In-Pool Series collection.

<p>You’ll never run out of seating options with our In-Pool Series 15.5” hex lounge bench. Whether you need extra seats on your pool ledge or a few more settings for a backyard barbecue, this portable, cushioned seat offers a modern geometric style that is perfect for your space. The hex lounge bench is lightweight with an open bottom and dual handles for effortless placement. It sits still in up to 8” of water and is stackable for convenient storage. Available in Desert Sandstone*, Gray Granite*, Light Blue*, River Rock*, Surf Blue*, White*, White Granite, and Yellow* color options. *This color incurs a longer lead time of six weeks.</p>",,{'Material': 'Polyethylene'},,,,43,True,True,2026-06-01 06:36:55.581445+00:00,2026-06-08 21:38:24.040000+00:00
