id,sku,current_name,final_name,final_slug,method
4128,61AR350,Armless Chat Chair,Revive Air Armless Chat Chair,revive-air-armless-chat-chair,COLLECTION_ONLY
4133,61AR42N,Armless Loveseat,Revive Air Armless Loveseat,revive-air-armless-loveseat,COLLECTION_ONLY
4137,61AR43N,Armless Sofa,Revive Air Armless Sofa,revive-air-armless-sofa,COLLECTION_ONLY
4013,51AR902N,Armless Swivel Chat Chair,Edge Air Armless Swivel Chat Chair,edge-air-armless-swivel-chat-chair,COLLECTION_ONLY
4019,51AR392,Chat Chair,Elements Air Chat Chair,elements-air-chat-chair,COLLECTION_ONLY
4129,61AR390,Chat Chair,Revive Air Chat Chair,revive-air-chat-chair,COLLECTION_ONLY
4021,51AR392L,Left Arm Chat Chair,Elements Air Left Arm Chat Chair,elements-air-left-arm-chat-chair,COLLECTION_ONLY
4131,61AR39L,Left Arm Chat Chair,Revive Air Left Arm Chat Chair,revive-air-left-arm-chat-chair,COLLECTION_ONLY
4135,61AR42L,Left Arm Loveseat,Revive Air Left Arm Loveseat,revive-air-left-arm-loveseat,COLLECTION_ONLY
4024,51AR422L,Left Arm Loveseat,Elements Air Left Arm Loveseat,elements-air-left-arm-loveseat,COLLECTION_ONLY
4139,61AR43L,Left Arm Sofa,Revive Air Left Arm Sofa,revive-air-left-arm-sofa,COLLECTION_ONLY
4027,51AR432L,Left Arm Sofa,Elements Air Left Arm Sofa,elements-air-left-arm-sofa,COLLECTION_ONLY
4023,51AR422,Loveseat,Elements Air Loveseat,elements-air-loveseat,COLLECTION_ONLY
4134,61AR420,Loveseat,Revive Air Loveseat,revive-air-loveseat,COLLECTION_ONLY
4022,51AR392R,Right Arm Chat Chair,Elements Air Right Arm Chat Chair,elements-air-right-arm-chat-chair,COLLECTION_ONLY
4132,61AR39R,Right Arm Chat Chair,Revive Air Right Arm Chat Chair,revive-air-right-arm-chat-chair,COLLECTION_ONLY
4136,61AR42R,Right Arm Loveseat,Revive Air Right Arm Loveseat,revive-air-right-arm-loveseat,COLLECTION_ONLY
4025,51AR422R,Right Arm Loveseat,Elements Air Right Arm Loveseat,elements-air-right-arm-loveseat,COLLECTION_ONLY
