id,sku,name,slug,collection,category_id,category,specs,is_active,available_online
4225,3724RCT,Concrete Side Table,concrete-side-table,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}",True,True
4226,3723RCT,Concrete End Table,concrete-end-table,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}",True,True
4227,1330RCT,Concrete Adjustable Table,concrete-adjustable-table,Concrete,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '18.25""-30.75""'}",True,True
4228,3742RCCTNU,"Concrete 42"" Chat Table",concrete-42-chat-table,Concrete,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '21.25""'}",True,True
4229,3742RFCT,"Concrete 42"" Dining Table",concrete-42-dining-table,Concrete,44,Dining,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}",True,True
4230,3742RBCT,"Concrete 42"" Balcony Table",concrete-42-balcony-table,Concrete,47,Bar,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}",True,True
4231,374262FCT,"Concrete 42"" x 62"" Dining Table",concrete-42-x-62-dining-table,Concrete,44,Dining,"{'Depth': '62""', 'Width': '42""', 'Height': '29.25""'}",True,True
4232,374262BCT,"Concrete 42"" x 62"" Balcony Table",concrete-42-x-62-balcony-table,Concrete,47,Bar,"{'Depth': '62""', 'Width': '42""', 'Height': '34.25""'}",True,True
4233,374284FCT,"Concrete 42"" x 84"" Dining Table",concrete-42-x-84-dining-table,Concrete,44,Dining,"{'Depth': '84""', 'Width': '42""', 'Height': '29.25""'}",True,True
4234,374284BCT,"Concrete 42"" x 84"" Balcony Table",concrete-42-x-84-balcony-table,Concrete,47,Bar,"{'Depth': '84""', 'Width': '42""', 'Height': '34.25""'}",True,True
4235,3748RFCT,"Concrete 48"" Dining Table",concrete-48-dining-table,Concrete,44,Dining,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}",True,True
4236,3748RBCT,"Concrete 48"" Balcony Table",concrete-48-balcony-table,Concrete,47,Bar,"{'Depth': '48""', 'Width': '48""', 'Height': '34.25""'}",True,True
4237,3754RCCTNU,"Concrete 54"" Chat Table",concrete-54-chat-table,Concrete,52,Tables,"{'Depth': '54""', 'Width': '54""', 'Height': '21.25""'}",True,True
4238,3754RFCT,"Concrete 54"" Dining Table",concrete-54-dining-table,Concrete,44,Dining,"{'Depth': '54""', 'Width': '54""', 'Height': '29.25""'}",True,True
4239,3754RBCT,"Concrete 54"" Balcony Table",concrete-54-balcony-table,Concrete,47,Bar,"{'Depth': '54""', 'Width': '54""', 'Height': '34.25""'}",True,True
5701,3725RCT,"Concrete 24"" Round Side Table (4-Legged Base, no Hole)",concrete-24-round-side-table-4-legged-base-no-hole-3725rct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}",True,True
5702,3722RCT,"Concrete 24"" Round End Table (4-Legged Base, no Hole)",concrete-24-round-end-table-4-legged-base-no-hole-3722rct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}",True,True
5703,3721SCT,"Concrete 24"" Square Side Table (4-Legged Base, no Hole)",concrete-24-square-side-table-4-legged-base-no-hole-3721sct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}",True,True
5704,3722SCT,"Concrete 24"" Square End Table (4-Legged Base, no Hole)",concrete-24-square-end-table-4-legged-base-no-hole-3722sct-concrete-homecrest,Concrete,52,Tables,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}",True,True
