id,sku,name,collection,specs,description,short_description
4225,3724RCT,"Concrete Round Side Table 24"" (3-Legged Base)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '15.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4226,3723RCT,"Concrete Round End Table 24"" (3-Legged Base)",Concrete,"{'Depth': '24""', 'Width': '24""', 'Height': '19.5""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4227,1330RCT,"Concrete Round Adjustable Table 30""",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '18.25""-30.75""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4228,3742RCCTNU,"Concrete Round Chat Table 42"" (Universal Base, no Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '21.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4229,3742RFCT,"Concrete Round Dining Table 42"" (Universal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4230,3742RBCT,"Concrete Round Balcony Table 42"" (Universal Base, with Hole)",Concrete,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4231,374262FCT,"Concrete Rectangle Dining Table 42"" x 62"" (Universal Base, with Hole)",Concrete,"{'Depth': '62""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4232,374262BCT,"Concrete Rectangle Balcony Table 42"" x 62"" (Universal Base, with Hole)",Concrete,"{'Depth': '62""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4233,374284FCT,"Concrete Rectangle Dining Table 42"" x 84"" (Universal Base, with Hole)",Concrete,"{'Depth': '84""', 'Width': '42""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4234,374284BCT,"Concrete Rectangle Balcony Table 42"" x 84"" (Universal Base, with Hole)",Concrete,"{'Depth': '84""', 'Width': '42""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4235,3748RFCT,"Concrete Round Dining Table 48"" (Universal Base, with Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4236,3748RBCT,"Concrete Round Balcony Table 48"" (Universal Base, with Hole)",Concrete,"{'Depth': '48""', 'Width': '48""', 'Height': '34.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4237,3754RCCTNU,"Concrete Round Chat Table 54"" (Universal Base, no Hole)",Concrete,"{'Depth': '54""', 'Width': '54""', 'Height': '21.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
4238,3754RFCT,"Concrete Round Dining Table 54"" (Universal Base, with Hole)",Concrete,"{'Depth': '54""', 'Width': '54""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
