id,name,sku,collection,short_description,description,dimensions,specs,materials
3298,Anderson Extension Dining Table,NC2010-DT-87,Anderson,This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.,"This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.

<p>This teak extension dining table is the perfect size to seat up to 10 adults around. This naturally weather-resistant hardwood may be maintained to preserve the warm look as shown or allowed to weather naturally to a beautiful silvery gray patina. Plantation-grown teak.</p>

<ul>
  <li>Hardware is zinc-coated steel that has been plated in brass. The zinc helps minimize corrosion, steel was chosen for strength and brass for its luster.</li>
  <li>You may choose to allow your teak to weather to a beautiful silver-gray patina or treat it with an oil or sealer specifically made for teak twice a year to preserve the natural wood/teak’s rustic finish</li>
  <li>Plantation-grown teak is harvested from mature trees that are part of a replenished forestry program</li>
  <li>Base Material: Teak</li>
  <li>Top Color: Light Yellow</li>
  <li>Base Color: Light Yellow</li>
  <li>Seating Capacity When Fully Extended: 8</li>
  <li>Seating Capacity When Fully Collapsed: 10</li>
  <li>Table Mechanism: Drop Leaf</li>
  <li>Leaf Width Side to Side: 41″</li>
  <li>Leaf Length End to End: 31″</li>
  <li>Length when fully collapsed: 87″</li>
  <li>Length when fully extended: 118″</li>
  <li>Assembly Required: Yes</li>
  <li>Top Material: Teak</li>
  <li>Top Material Details: Plantation-grown teak</li>
</ul>","87/118""",,['Aluminum']
3216,Bainbridge Club Chair,NC275C,Bainbridge,"Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!

<p>Blending both style and comfort, the Bainbridge Wicker Club Chair will be your favorite chair, inside or outside! The wicker is UV-protected, and features subtly muddled tones for varied, natural look. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
</ul>",,,"['Aluminum', 'Wicker']"
3317,Bainbridge Corner End Table,NC275CET,Bainbridge,"The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>The Bainbridge Wicker Corner End Table and Glass is the perfect addition to your Bainbridge patio set as sectional corner. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Glass Top Included</li>
</ul>",,,"['Aluminum', 'Wicker']"
5544,Bainbridge End Table Glass Top,NC275ET-SQ-GL,Bainbridge,,,"20"" x 20""",,['Wicker']
3218,Bainbridge Loveseat,NC275LS,Bainbridge,"The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural","The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural

<p>The wicker has a half round design that creates a complex and luxurious look. The wicker is UV-protected, and features subtly muddled tones for varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Cush270/271</li>
  <li>Frame: 56 W x 32.5″ D x 33″ H</li>
  <li>Seat: 50″ W x 25″ D x 13″ H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3318,Bainbridge Rectangular Coffee Table,NC275CT-REC,Bainbridge,"Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural","Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural

<p>Wicker Rectangular Coffee Table. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Cleans with soap and water</li>
  <li>Glass Top Included</li>
</ul>",,,"['Aluminum', 'Wicker']"
5546,Bainbridge Rectangular Coffee Table Glass Top,NC275CT-REC-GL,Bainbridge,,,"44"" x 28""",,['Wicker']
3350,Bainbridge Rectangular Ottoman,NC275O-REC,Bainbridge,"The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.","The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.

<p>The Bainbridge Wicker Rectangular Ottoman is the perfect addition to your Bainbridge patio set as a footrest or extra seat. Put your feet up and relax. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. This square wicker ottoman includes a fade- and mildew-resistant Sunbrella® cushion.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>4″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Size: 29.5” x 20” x 16.5” ht.</li>
  <li>Seat Size: 24” x 20”, Deck Ht: 13”</li>
  <li>4″ Cushion Thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3214,Bainbridge Sectional 45 Degree Corner,NC275SCC-45,Bainbridge,"The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.","The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.

<p>The Bainbridge Wicker 45 Degree Corner Chair lets you expand your Bainbridge Sectional with a roomier seat than traditional sectional corners. The wicker is UV-protected, and features subtly muddled tones for a varied, natural look. Includes Sunbrella fabric cushions.</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Frame – 62.5″ D x 33.5 “W x 33” H</li>
  <li>Seat – 62.5″ D x 33.5 “W x 33” H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
3215,Bainbridge Sectional Corner Chair,NC275SCC,Bainbridge,"This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!","This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!

<p>This modular wicker is UV-protected, and features subtly muddled tones for varied, natural look. Can be used as a standalone or complimentary piece to other products in the Bainbridge patio furniture family. Includes Sunbrella fabric cushions, with quick-ship options for fast delivery!</p>

<ul>
  <li>Heavy duty rust proof powder coated aluminum frames</li>
  <li>6″ thick Outdoor cushions with Sunbrella fabrics included</li>
  <li>Ultra stain, water, UV, crack and split resistant</li>
  <li>Super comfortable suspension seating</li>
  <li>Mold, mildew and fade resistant</li>
  <li>Easy to maintain; Cleans with soap and water</li>
  <li>High-back seating for extra comfort</li>
  <li>Frame – 32.5 W x 32.5″ D x 33″ H</li>
  <li>Seat – 25″ W x 25″ D x 13″ H</li>
  <li>6″ Cushion thickness</li>
</ul>",,,"['Aluminum', 'Wicker']"
