id,sku,name,collection,mfr_id,mfr_slug,mfr_name
3298,NC2010-DT-87,Anderson Extension Dining Table,Anderson,17,northcape,NorthCape
3213,NC2753S,Bainbridge Sofa,Bainbridge,17,northcape,NorthCape
3216,NC275C,Bainbridge Club Chair,Bainbridge,17,northcape,NorthCape
3317,NC275CET,Bainbridge Corner End Table,Bainbridge,17,northcape,NorthCape
3318,NC275CT-REC,Bainbridge Rectangular Coffee Table,Bainbridge,17,northcape,NorthCape
5546,NC275CT-REC-GL,Bainbridge Rectangular Coffee Table Glass Top,Bainbridge,17,northcape,NorthCape
3319,NC275CT-SQ,Bainbridge Square Coffee Table,Bainbridge,17,northcape,NorthCape
5545,NC275CT-SQ-GL,Bainbridge Square Coffee Table Glass Top,Bainbridge,17,northcape,NorthCape
3320,NC275ET-SQ,Bainbridge Square End Table,Bainbridge,17,northcape,NorthCape
5544,NC275ET-SQ-GL,Bainbridge End Table Glass Top,Bainbridge,17,northcape,NorthCape
3217,NC275LL,Bainbridge Sectional Left Arm Loveseat,Bainbridge,17,northcape,NorthCape
3218,NC275LS,Bainbridge Loveseat,Bainbridge,17,northcape,NorthCape
3350,NC275O-REC,Bainbridge Rectangular Ottoman,Bainbridge,17,northcape,NorthCape
3351,NC275O-SQ,Bainbridge Square Ottoman,Bainbridge,17,northcape,NorthCape
3219,NC275RL,Bainbridge Sectional Right Arm Loveseat,Bainbridge,17,northcape,NorthCape
3215,NC275SCC,Bainbridge Sectional Corner Chair,Bainbridge,17,northcape,NorthCape
3214,NC275SCC-45,Bainbridge Sectional 45 Degree Corner,Bainbridge,17,northcape,NorthCape
3220,NC275SCM,Bainbridge Sectional Middle Chair,Bainbridge,17,northcape,NorthCape
3221,NC275SG,Bainbridge Swivel Glider Club Chair,Bainbridge,17,northcape,NorthCape
5538,NC415HBSG-P,Universal High Back Swivel Glider Premium,Bainbridge,17,northcape,NorthCape
5539,NC415RX,Universal Recliner,Bainbridge,17,northcape,NorthCape
5540,NC415RX-P,Universal Recliner Premium Weave,Bainbridge,17,northcape,NorthCape
3368,NC2030-SACL,Balboa Single Adjustable Chaise without Arms,Balboa,17,northcape,NorthCape
3367,NC2030-SACL-A,Balboa Single Adjustable Chaise with Arms,Balboa,17,northcape,NorthCape
3210,NC65103S,Biscayne Sofa,Biscayne 6510,17,northcape,NorthCape
3208,NC6510C,Biscayne Lounge Chair,Biscayne 6510,17,northcape,NorthCape
3310,NC6510CT-REC,Biscayne Rectangular Coffee Table,Biscayne 6510,17,northcape,NorthCape
5543,NC6510CT-REC-GL,Biscayne Rectangular Coffee Table Glass Top,Biscayne 6510,17,northcape,NorthCape
3311,NC6510ET-SQ,Biscayne Square End Table,Biscayne 6510,17,northcape,NorthCape
5542,NC6510ET-SQ-GL,Biscayne Square End Table Glass Top,Biscayne 6510,17,northcape,NorthCape
3209,NC6510LS,Biscayne Loveseat,Biscayne 6510,17,northcape,NorthCape
3349,NC6510O-REC,Biscayne Ottoman,Biscayne 6510,17,northcape,NorthCape
