series,variant_sku,size,umbrella_hole,tile,tile_finish_id,tier,msrp,sale,cost
Fresco,#P-24D,24x24,no,Canyon Taupe,25,standard,853.00,640.00,580.04
Fresco,#P-24D,24x24,no,Summit Grey,34,standard,853.00,640.00,580.04
Fresco,#P-24D,24x24,no,Cabaletta,24,upgrade,938.30,704.00,638.04
Fresco,#P-24D,24x24,no,Cavatina,26,upgrade,938.30,704.00,638.04
Fresco,#P-24D,24x24,no,Palazzo White,32,premium,1032.13,775.00,701.85
Fresco,#P-24D,24x24,no,Palazzo Black,31,premium,1032.13,775.00,701.85
Fresco,#P-30D,30x30,no,Canyon Taupe,25,standard,1164.00,873.00,791.52
Fresco,#P-30D,30x30,no,Summit Grey,34,standard,1164.00,873.00,791.52
Fresco,#P-30D,30x30,no,Cabaletta,24,upgrade,1280.40,961.00,870.67
Fresco,#P-30D,30x30,no,Cavatina,26,upgrade,1280.40,961.00,870.67
Fresco,#P-30D,30x30,no,Palazzo White,32,premium,1408.44,1057.00,957.74
Fresco,#P-30D,30x30,no,Palazzo Black,31,premium,1408.44,1057.00,957.74
Fresco,#P-42D,42x42,no,Canyon Taupe,25,standard,1991.00,1494.00,1353.88
Fresco,#P-42D,42x42,no,Summit Grey,34,standard,1991.00,1494.00,1353.88
Fresco,#P-42D,42x42,no,Cabaletta,24,upgrade,2190.10,1643.00,1489.27
Fresco,#P-42D,42x42,no,Cavatina,26,upgrade,2190.10,1643.00,1489.27
Fresco,#P-42D,42x42,no,Palazzo White,32,premium,2409.11,1807.00,1638.19
Fresco,#P-42D,42x42,no,Palazzo Black,31,premium,2409.11,1807.00,1638.19
Fresco,#P-42UD,42x42,YES,Canyon Taupe,25,standard,2092.00,1569.00,1422.56
Fresco,#P-42UD,42x42,YES,Summit Grey,34,standard,2092.00,1569.00,1422.56
Fresco,#P-42UD,42x42,YES,Cabaletta,24,upgrade,2301.20,1726.00,1564.82
Fresco,#P-42UD,42x42,YES,Cavatina,26,upgrade,2301.20,1726.00,1564.82
Fresco,#P-42UD,42x42,YES,Palazzo White,32,premium,2531.32,1899.00,1721.30
Fresco,#P-42UD,42x42,YES,Palazzo Black,31,premium,2531.32,1899.00,1721.30
Fresco,#P-54D,54x54,no,Canyon Taupe,25,standard,2901.00,2176.00,1972.68
Fresco,#P-54D,54x54,no,Summit Grey,34,standard,2901.00,2176.00,1972.68
Fresco,#P-54D,54x54,no,Cabaletta,24,upgrade,3191.10,2394.00,2169.95
Fresco,#P-54D,54x54,no,Cavatina,26,upgrade,3191.10,2394.00,2169.95
Fresco,#P-54D,54x54,no,Palazzo White,32,premium,3510.21,2633.00,2386.94
Fresco,#P-54D,54x54,no,Palazzo Black,31,premium,3510.21,2633.00,2386.94
Fresco,#P-54UD,54x54,YES,Canyon Taupe,25,standard,3003.00,2253.00,2042.04
Fresco,#P-54UD,54x54,YES,Summit Grey,34,standard,3003.00,2253.00,2042.04
Fresco,#P-54UD,54x54,YES,Cabaletta,24,upgrade,3303.30,2478.00,2246.24
Fresco,#P-54UD,54x54,YES,Cavatina,26,upgrade,3303.30,2478.00,2246.24
Fresco,#P-54UD,54x54,YES,Palazzo White,32,premium,3633.63,2726.00,2470.87
Fresco,#P-54UD,54x54,YES,Palazzo Black,31,premium,3633.63,2726.00,2470.87
Fresco,#P-2850RTD,28x50,no,Canyon Taupe,25,standard,1763.00,1323.00,1198.84
Fresco,#P-2850RTD,28x50,no,Summit Grey,34,standard,1763.00,1323.00,1198.84
Fresco,#P-2850RTD,28x50,no,Cabaletta,24,upgrade,1939.30,1455.00,1318.72
Fresco,#P-2850RTD,28x50,no,Cavatina,26,upgrade,1939.30,1455.00,1318.72
