manufacturer_id,manufacturer,total,price_set,sale_set,msrp_set,cost_set,frame_only_set,price_only,sale_only,real_sale,mirrored,sale_gt_price,both_null
12,Treasure Garden,120,119,119,119,0,0,0,0,119,0,0,1
13,O.W. Lee,269,2,59,59,59,0,2,59,0,0,0,208
14,Couture Jardin,270,0,0,0,0,0,0,0,0,0,0,270
15,Hanamint,162,0,0,0,0,0,0,0,0,0,0,162
16,Homecrest,971,1,1,1,0,0,0,0,0,1,0,970
17,NorthCape,226,0,0,0,0,0,0,0,0,0,0,226
19,Shoreline,40,0,0,0,0,0,0,0,0,0,0,40
20,Summerset,326,0,0,0,0,0,0,0,0,0,0,326
22,Sunset West,357,0,0,0,0,0,0,0,0,0,0,357
23,Telescope Casual,464,0,0,0,0,0,0,0,0,0,0,464
25,Tropitone,113,0,0,0,0,0,0,0,0,0,0,113
28,Frankford Umbrellas,148,141,141,141,0,0,0,0,137,4,0,7
29,Galtech International,95,85,95,95,0,0,0,10,85,0,0,0
