id,sku,name,slug,collection,category_id,sub_category,is_active,available_online
4802,SL-calirondack,Calirondack,calirondack-shoreline,,53,,True,True
4803,SL-classic-adirondack,Classic Adirondack,classic-adirondack-shoreline,,53,,True,True
4804,SL-rocking-adirondack-chair,Rocking Adirondack Chair,rocking-adirondack-chair-shoreline,,53,,True,True
4805,SL-classic-adirondack-ottoman,Classic Adirondack Ottoman,classic-adirondack-ottoman-shoreline,,53,,True,True
4806,SL-rocker-adirondack,Rocker Adirondack,rocker-adirondack-shoreline,,53,,True,True
4807,SL-modern-adirondack,Modern Adirondack,modern-adirondack-shoreline,,53,,True,True
4808,SL-adirondack-tete-a-tete,Adirondack Tete a Tete,adirondack-tete-a-tete-shoreline,,53,,True,True
4809,SL-adirondack-dining-counter-bar-chair,Adirondack Dining-Counter-Bar Chair,adirondack-dining-counter-bar-chair-shoreline,,53,,True,True
4810,SL-abaco-club-chair,Abaco Club Chair,abaco-club-chair-shoreline,Abaco,43,Lounge Chairs,True,True
4811,SL-abaco-swivel-club,Abaco Swivel Club,abaco-swivel-club-shoreline,Abaco,43,Lounge Chairs,True,True
4812,SL-high-back-abaco-swivel-club-chair,High Back Abaco Swivel Club Chair,high-back-abaco-swivel-club-chair-shoreline,Abaco,43,Lounge Chairs,True,True
4813,SL-abaco-ottoman,Abaco Ottoman,abaco-ottoman-shoreline,Abaco,43,Ottomans,True,True
4814,SL-abaco-deep-seating-sofa,Abaco Deep Seating Sofa,abaco-deep-seating-sofa-shoreline,Abaco,43,Sofas,True,True
4815,SL-abaco-high-back-deep-seating,Abaco High Back Deep Seating,abaco-high-back-deep-seating-shoreline,Abaco,43,Sofas,True,True
4816,SL-abaco-sectional,Abaco Sectional,abaco-sectional-shoreline,Abaco,43,Sectionals,True,True
4817,SL-abaco-loveseat,Abaco Loveseat,abaco-loveseat-shoreline,Abaco,43,Love Seats,True,True
4818,SL-high-back-abaco-club,High Back Abaco Club,high-back-abaco-club-shoreline,Abaco,43,Lounge Chairs,True,True
4819,SL-hopetown-armless-chaise,Hopetown Armless Chaise,hopetown-armless-chaise-shoreline,Hopetown,43,Chaise,True,True
4820,SL-hopetown-arm-chaise,Hopetown Arm Chaise,hopetown-arm-chaise-shoreline,Hopetown,43,Chaise,True,True
4821,SL-hopetown-arm-chaise-with-cushion,Hopetown Arm Chaise with Cushion,hopetown-arm-chaise-with-cushion-shoreline,Hopetown,43,Chaise,True,True
4822,SL-hopetown-armless-chaise-with-cushion,Hopetown Armless Chaise with Cushion,hopetown-armless-chaise-with-cushion-shoreline,Hopetown,43,Chaise,True,True
4823,SL-cafe-arm-dining-counter-bar-chair,Cafe Arm Dining-Counter-Bar Chair,cafe-arm-dining-counter-bar-chair-shoreline,,44,Dining Chair,True,True
4824,SL-cafe-armless-dining-counter-bar-chair,Cafe Armless Dining-Counter-Bar Chair,cafe-armless-dining-counter-bar-chair-shoreline,,44,Dining Chair,True,True
4825,SL-hopetown-dining-counter-bar-chair,Hopetown Dining-Counter-Bar Chair,hopetown-dining-counter-bar-chair-shoreline,Hopetown,44,Dining Chair,True,True
4826,SL-round-dining-table,Round Dining Table,round-dining-table-shoreline,,52,Dining Tables,True,True
4827,SL-square-dining-table,Square Dining Table,square-dining-table-shoreline,,52,Dining Tables,True,True
4828,SL-oval-dining-table,Oval Dining Table,oval-dining-table-shoreline,,52,Dining Tables,True,True
4829,SL-rectangle-dining-table,Rectangle Dining Table,rectangle-dining-table-shoreline,,52,Dining Tables,True,True
4830,SL-counter-height-stool,Counter Height Stool,counter-height-stool-shoreline,,44,Bar & Counter Stools,True,True
4831,SL-dining-bench,Dining Bench,dining-bench-shoreline,,44,Dining Chair,True,True
4832,SL-hampton-round-end-table,Hampton Round End Table,hampton-round-end-table-shoreline,Hampton,52,Coffee & Side Tables,True,True
4833,SL-hampton-end-table-square,Hampton End Table Square,hampton-end-table-square-shoreline,Hampton,52,Coffee & Side Tables,True,True
4834,SL-console-table,Console Table,console-table-shoreline,,52,Coffee & Side Tables,True,True
4835,SL-square-end-table-with-grooves,Square End Table with Grooves,square-end-table-with-grooves-shoreline,,52,Coffee & Side Tables,True,True
4836,SL-round-coffee-table,Round Coffee Table,round-coffee-table-shoreline,,52,Coffee & Side Tables,True,True
4837,SL-rectangle-coffee-table,Rectangle Coffee Table,rectangle-coffee-table-shoreline,,52,Coffee & Side Tables,True,True
4838,SL-balcony-table,Balcony Table,balcony-table-shoreline,,52,Coffee & Side Tables,True,True
4839,SL-spa-steps,Spa Steps,spa-steps-shoreline,,54,,True,True
4840,SL-spa-stool,Spa Stool,spa-stool-shoreline,,54,,True,True
4841,SL-spa-table,Spa Table,spa-table-shoreline,,54,,True,True
