type,manufacturer,slug,url,lastmod
static,,,https://oasisgardenandpatio.com/,
static,,,https://oasisgardenandpatio.com/shop,2026-07-18
static,,,https://oasisgardenandpatio.com/manufacturers/,2026-07-18
static,,,https://oasisgardenandpatio.com/materials/,
static,,,https://oasisgardenandpatio.com/commercial,
static,,,https://oasisgardenandpatio.com/contact,
category,,,https://oasisgardenandpatio.com/shop/category/accessories,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/adirondack,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/cat-accent-pieces,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/cat-bar,2026-07-14
category,,,https://oasisgardenandpatio.com/shop/category/cat-chaise,2026-07-16
category,,,https://oasisgardenandpatio.com/shop/category/cat-daybeds,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/cat-deep-seating,2026-07-16
category,,,https://oasisgardenandpatio.com/shop/category/cat-dining,2026-07-14
category,,,https://oasisgardenandpatio.com/shop/category/cat-fire-tables,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/cat-lighting,2026-07-02
category,,,https://oasisgardenandpatio.com/shop/category/cat-umbrella-bases,2026-07-18
category,,,https://oasisgardenandpatio.com/shop/category/cat-umbrellas,2026-07-16
category,,,https://oasisgardenandpatio.com/shop/category/outdoor-rugs,2026-06-09
category,,,https://oasisgardenandpatio.com/shop/category/pool,2026-07-13
category,,,https://oasisgardenandpatio.com/shop/category/protective-covers,2026-06-09
category,,,https://oasisgardenandpatio.com/shop/category/tables,2026-07-16
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/couture-jardin,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/frankford-umbrellas,2026-07-16
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/galtech-international,2026-07-01
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/hanamint,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/homecrest,2026-07-16
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/northcape,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/o-w-lee,2026-07-16
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/shoreline,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/sunset-west,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/telescope-casual,2026-07-14
manufacturer,,,https://oasisgardenandpatio.com/manufacturers/treasure-garden,2026-07-18
