type,category,item_number,name,grade,restriction,current_db_status
fabric,Sling,01D,Red,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,05D,Black,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,06D,White,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,11S,Bristol,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,13D,Navy,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,20D,Natural,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,22D,Forest Green,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,24D,Teal,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,28D,Pacific Blue,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,35D,Cobalt,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,38D,Lime,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,41D,Tangerine,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,42D,Sky,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,43D,Yellow,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,51D,Aqua,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,70D,Atlantis,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,71D,Bermuda,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,104,Pinstripe,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,107,Jute,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,108,Blazer,B,not on HDPL Attachable Pillow or Mesh Padded Sling,in finishes (misfiled) - migrate to fabrics
fabric,Sling,110,Bark,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,113,Creel,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,147,Birch,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,152,Balboa,B,not on HDPL Attachable Pillow or Mesh Padded Sling,in finishes (misfiled) - migrate to fabrics
fabric,Sling,177,Blueprint,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,178,Winter,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,179,Cactus,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,202,Moments Navy,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,209,Collect Indigo,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,214,River,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,219,Collect Charcoal,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,229,Augustine Shadow,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,231,Sand Dollar,B,not on HDPL Attachable Pillow or Mesh Padded Sling,in finishes (misfiled) - migrate to fabrics
fabric,Sling,255,Amalfi,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,257,Jewel,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,260,Fossil,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,262,Abalone,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,271,Augustine Fennel,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,306,Ferrera,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,310,Fiesta,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,316,Nickel,B,not on HDPL Attachable Pillow or Mesh Padded Sling,in finishes (misfiled) - migrate to fabrics
fabric,Sling,320,Luxe,A,not on HDPL Attachable Pillow or Mesh Padded Sling,in finishes (misfiled) - migrate to fabrics
fabric,Sling,321,Canyon,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,365,Baja,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,366,Reflection,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,368,Trout,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,369,Denver,B,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,396,Marlin,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,397,Brindle,A,,in finishes (misfiled) - migrate to fabrics
fabric,Sling,398,Niagara,A,,in finishes (misfiled) - migrate to fabrics
