variant_id,product_sku,variant_sku,variant_name,grade,msrp,sale_price
1249,AG25TR,AG25TR-09-DWV,Black (DWV),A,2345.00,1759.00
1249,AG25TR,AG25TR-09-DWV,Black (DWV),C,1835.00,1377.00
1248,AG25TR,AG25TR-00-DWV,Bronze (DWV),A,2345.00,1759.00
1248,AG25TR,AG25TR-00-DWV,Bronze (DWV),C,1835.00,1377.00
1253,AG25TR10,AG25TR10-09-DWV,Black (DWV),A,2160.00,1620.00
1253,AG25TR10,AG25TR10-09-DWV,Black (DWV),C,1720.00,1290.00
1252,AG25TR10,AG25TR10-00-DWV,Bronze (DWV),A,2160.00,1620.00
1252,AG25TR10,AG25TR10-00-DWV,Bronze (DWV),C,1720.00,1290.00
1251,AG25TSQR,AG25TSQR-09-SWV,Black (SWV),A,2245.00,1684.00
1251,AG25TSQR,AG25TSQR-09-SWV,Black (SWV),C,1770.00,1328.00
1250,AG25TSQR,AG25TSQR-00-SWV,Bronze (SWV),A,2245.00,1684.00
1250,AG25TSQR,AG25TSQR-00-SWV,Bronze (SWV),C,1770.00,1328.00
1246,AKZP,AKZP-02-DWV,Anthracite (DWV),A,2795.00,2097.00
1246,AKZP,AKZP-02-DWV,Anthracite (DWV),C,2235.00,1677.00
1247,AKZP,AKZP-09-DWV,Black (DWV),A,2795.00,2097.00
1247,AKZP,AKZP-09-DWV,Black (DWV),C,2235.00,1677.00
1245,AKZP,AKZP-00-DWV,Bronze (DWV),A,2795.00,2097.00
1245,AKZP,AKZP-00-DWV,Bronze (DWV),C,2235.00,1677.00
1234,AKZP13,AKZP13-02-DWV,Anthracite (DWV),A,3085.00,2314.00
1234,AKZP13,AKZP13-02-DWV,Anthracite (DWV),C,2410.00,1808.00
1235,AKZP13,AKZP13-09-DWV,Black (DWV),A,3085.00,2314.00
1235,AKZP13,AKZP13-09-DWV,Black (DWV),C,2410.00,1808.00
1233,AKZP13,AKZP13-00-DWV,Bronze (DWV),A,3085.00,2314.00
1233,AKZP13,AKZP13-00-DWV,Bronze (DWV),C,2410.00,1808.00
1236,AKZP13,AKZP13-SS-DWV,Silver Shadow (DWV),A,3240.00,2430.00
1236,AKZP13,AKZP13-SS-DWV,Silver Shadow (DWV),C,2525.00,1894.00
1237,AKZP13,AKZP13-WO-DWV,Weathered Oak (DWV),A,3240.00,2430.00
1237,AKZP13,AKZP13-WO-DWV,Weathered Oak (DWV),C,2525.00,1894.00
1230,AKZP13LX,AKZP13LX-09-DWV,Black (DWV),A,3605.00,2704.00
1230,AKZP13LX,AKZP13LX-09-DWV,Black (DWV),C,2805.00,2104.00
1229,AKZP13LX,AKZP13LX-00-DWV,Bronze (DWV),A,3605.00,2704.00
1229,AKZP13LX,AKZP13LX-00-DWV,Bronze (DWV),C,2805.00,2104.00
1239,AKZPRT,AKZPRT-02-SWV,Anthracite (SWV),A,3080.00,2310.00
1239,AKZPRT,AKZPRT-02-SWV,Anthracite (SWV),C,2400.00,1800.00
1240,AKZPRT,AKZPRT-09-SWV,Black (SWV),A,3080.00,2310.00
1240,AKZPRT,AKZPRT-09-SWV,Black (SWV),C,2400.00,1800.00
1238,AKZPRT,AKZPRT-00-SWV,Bronze (SWV),A,3080.00,2310.00
1238,AKZPRT,AKZPRT-00-SWV,Bronze (SWV),C,2400.00,1800.00
1241,AKZPRT,AKZPRT-SS-SWV,Silver Shadow (SWV),A,3235.00,2427.00
1241,AKZPRT,AKZPRT-SS-SWV,Silver Shadow (SWV),C,2520.00,1890.00
1242,AKZPRT,AKZPRT-WO-SWV,Weathered Oak (SWV),A,3235.00,2427.00
1242,AKZPRT,AKZPRT-WO-SWV,Weathered Oak (SWV),C,2520.00,1890.00
1232,AKZPRTLX,AKZPRTLX-09-SWV,Black (SWV),A,3600.00,2700.00
1232,AKZPRTLX,AKZPRTLX-09-SWV,Black (SWV),C,2800.00,2100.00
1231,AKZPRTLX,AKZPRTLX-00-SWV,Bronze (SWV),A,3600.00,2700.00
1231,AKZPRTLX,AKZPRTLX-00-SWV,Bronze (SWV),C,2800.00,2100.00
1244,AKZPSQ11,AKZPSQ11-09-SWV,Black (SWV),A,3015.00,2262.00
1244,AKZPSQ11,AKZPSQ11-09-SWV,Black (SWV),C,2380.00,1785.00
1243,AKZPSQ11,AKZPSQ11-00-SWV,Bronze (SWV),A,3015.00,2262.00
1243,AKZPSQ11,AKZPSQ11-00-SWV,Bronze (SWV),C,2380.00,1785.00
1257,ET310,ET310-09-SWV,Black (SWV),A,1420.00,1065.00
1257,ET310,ET310-09-SWV,Black (SWV),C,1020.00,765.00
1256,ET310,ET310-00-SWV,Bronze (SWV),A,1420.00,1065.00
1256,ET310,ET310-00-SWV,Bronze (SWV),C,1020.00,765.00
1255,ET3RT,ET3RT-09-SWV,Black (SWV),A,2250.00,1688.00
1255,ET3RT,ET3RT-09-SWV,Black (SWV),C,1520.00,1140.00
1254,ET3RT,ET3RT-00-SWV,Bronze (SWV),A,2250.00,1688.00
1254,ET3RT,ET3RT-00-SWV,Bronze (SWV),C,1520.00,1140.00
1204,UM800,UM800-02-DWV,Anthracite (DWV),A,825.00,619.00
1204,UM800,UM800-02-DWV,Anthracite (DWV),Awning,1355.00,1017.00
1204,UM800,UM800-02-DWV,Anthracite (DWV),C,620.00,465.00
